"dpd_ingredient","active_ingredient_code","basis_of_strength_ing","precise_ing","ccdd","top250name","ing_stem","hydrate","ntp_ing"
"VIGABATRIN",570,"VIGABATRIN","VIGABATRIN","","","vigabatrin",FALSE,"vigabatrin"
"INSULIN INJECTION PORK",7659,"INSULIN INJECTION PORK","INSULIN INJECTION PORK","","","insulin pork",FALSE,"insulin injection pork"
"RIFAXIMIN",22137,"RIFAXIMIN","RIFAXIMIN","","","rifaximin",FALSE,"rifaximin"
"SODIUM IOXITALAMATE",1203,"SODIUM IOXITALAMATE","SODIUM IOXITALAMATE","","","sodium ioxitalamate",FALSE,"sodium ioxitalamate"
"RITONAVIR",4,"RITONAVIR","RITONAVIR","","","ritonavir",FALSE,"ritonavir"
"LIPASE",649,"LIPASE","LIPASE","","","lipase",FALSE,"lipase"
"TRANEXAMIC ACID",1988,"TRANEXAMIC ACID","TRANEXAMIC ACID","","","tranexamic acid",FALSE,"tranexamic acid"
"LYSINE (LYSINE ACETATE)",9806,"LYSINE","LYSINE ACETATE","","","lysine (lysine acetate)",FALSE,"lysine (lysine acetate)"
"BETHANECHOL CHLORIDE",5440,"BETHANECHOL CHLORIDE","BETHANECHOL CHLORIDE","","","bethanechol chloride",FALSE,"bethanechol chloride"
"ALPHA 1-PROTEINASE INHIBITOR (HUMAN)",7762,"ALPHA 1-PROTEINASE INHIBITOR","HUMAN","","","alpha 1-proteinase inhibitor (human)",FALSE,"alpha 1-proteinase inhibitor (human)"
"THREONINE",2385,"THREONINE","THREONINE","","","threonine",FALSE,"threonine"
"EMPAGLIFLOZIN",22629,"EMPAGLIFLOZIN","EMPAGLIFLOZIN","","","empagliflozin",FALSE,"empagliflozin"
"INSULIN GLARGINE",12724,"INSULIN GLARGINE","INSULIN GLARGINE","Y","INSULIN GLARGINE","insulin glargine",FALSE,"insulin glargine"
"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 4",20533,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 4","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 4","","","pneumococcal polysaccharide serotype 4",FALSE,"pneumococcal polysaccharide serotype 4"
"DEXAMETHASONE (DEXAMETHASONE SODIUM PHOSPHATE)",7600,"DEXAMETHASONE","DEXAMETHASONE SODIUM PHOSPHATE","Y","DEXAMETHASONE","dexamethasone (base)",FALSE,"dexamethasone (dexamethasone sodium phosphate)"
"CERITINIB",22568,"CERITINIB","CERITINIB","","","ceritinib",FALSE,"ceritinib"
"INDOCYANINE GREEN",5920,"INDOCYANINE GREEN","INDOCYANINE GREEN","","","indocyanine green",FALSE,"indocyanine green"
"TRASTUZUMAB EMTANSINE",22146,"TRASTUZUMAB EMTANSINE","TRASTUZUMAB EMTANSINE","","","trastuzumab emtansine",FALSE,"trastuzumab emtansine"
"PREGABALIN",15568,"PREGABALIN","PREGABALIN","Y","PREGABALIN","pregabalin",FALSE,"pregabalin"
"LARONIDASE",13106,"LARONIDASE","LARONIDASE","","","laronidase",FALSE,"laronidase"
"MESALAZINE",14088,"MESALAZINE","MESALAZINE","Y","MESALAZINE","mesalazine",FALSE,"mesalazine"
"LANTHANUM (LANTHANUM CARBONATE HYDRATE)",20021,"LANTHANUM","LANTHANUM CARBONATE HYDRATE","","","lanthanum (lanthanum carbonate hydrate)",TRUE,"lanthanum (lanthanum carbonate hydrate)"
"RABIES VACCINE INACTIVATED (HUMAN DIPLOID-CELL CULTURE)",16202,"RABIES VACCINE INACTIVATED","HUMAN DIPLOID-CELL CULTURE","","","rabies vaccine inactivated (human diploid-cell culture)",FALSE,"rabies vaccine inactivated (human diploid-cell culture)"
"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 3",20539,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 3","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 3","","","pneumococcal polysaccharide serotype 3",FALSE,"pneumococcal polysaccharide serotype 3"
"IOVERSOL",1187,"IOVERSOL","IOVERSOL","","","ioversol",FALSE,"ioversol"
"CHLOROQUINE DIPHOSPHATE",6547,"CHLOROQUINE DIPHOSPHATE","CHLOROQUINE DIPHOSPHATE","","","chloroquine diphosphate",FALSE,"chloroquine diphosphate"
"CALCIUM SACCHARATE",18176,"CALCIUM SACCHARATE","CALCIUM SACCHARATE","","","calcium saccharate",FALSE,"calcium saccharate"
"BEZAFIBRATE",949,"BEZAFIBRATE","BEZAFIBRATE","","","bezafibrate",FALSE,"bezafibrate"
"AMILORIDE HYDROCHLORIDE",20230,"AMILORIDE HYDROCHLORIDE","AMILORIDE HYDROCHLORIDE","","","amiloride hydrochloride",FALSE,"amiloride hydrochloride"
"BUFFER SOLUTION",450,"BUFFER SOLUTION","BUFFER SOLUTION","","","buffer solution",FALSE,"buffer solution"
"ALLANTOIN",7150,"ALLANTOIN","ALLANTOIN","","","allantoin",FALSE,"allantoin"
"MEGESTROL ACETATE",7534,"MEGESTROL ACETATE","MEGESTROL ACETATE","","","megestrol acetate",FALSE,"megestrol acetate"
"NORMETHADONE HYDROCHLORIDE",2664,"NORMETHADONE HYDROCHLORIDE","NORMETHADONE HYDROCHLORIDE","Y","","normethadone",FALSE,"normethadone hydrochloride"
"HAEMAGGLUTININ-STRAIN B (Yamagata)",22251,"HAEMAGGLUTININ-STRAIN B","Yamagata","","","haemagglutinin-strain b (yamagata)",FALSE,"haemagglutinin-strain b (yamagata)"
"DEXAMETHASONE SODIUM PHOSPHATE",7598,"DEXAMETHASONE SODIUM PHOSPHATE","DEXAMETHASONE SODIUM PHOSPHATE","Y","DEXAMETHASONE","dexamethasone sodium phosphate",FALSE,"dexamethasone sodium phosphate"
"ERYTHROSINE",6817,"ERYTHROSINE","ERYTHROSINE","","","erythrosine",FALSE,"erythrosine"
"RHO D IMMUNE GLOBULIN HUMAN",7768,"RHO D IMMUNE GLOBULIN HUMAN","RHO D IMMUNE GLOBULIN HUMAN","","","rho d immune globulin human",FALSE,"rho d immune globulin human"
"LOPERAMIDE HYDROCHLORIDE",2251,"LOPERAMIDE HYDROCHLORIDE","LOPERAMIDE HYDROCHLORIDE","","","loperamide hydrochloride",FALSE,"loperamide hydrochloride"
"ASFOTASE ALFA",22632,"ASFOTASE ALFA","ASFOTASE ALFA","","","asfotase alfa",FALSE,"asfotase alfa"
"IMIGLUCERASE",11365,"IMIGLUCERASE","IMIGLUCERASE","","","imiglucerase",FALSE,"imiglucerase"
"FUSIDIC ACID",8504,"FUSIDIC ACID","FUSIDIC ACID","Y","FUSIDIC ACID","fusidic acid",FALSE,"fusidic acid"
"DANAZOL",2282,"DANAZOL","DANAZOL","","","danazol",FALSE,"danazol"
"Outer membrane vesicles (Neisseria meningitidis group B NZ98/254 strain)",22179,"Outer membrane vesicles","Neisseria meningitidis group B NZ98/254 strain","","","outer membrane vesicles (neisseria meningitidis group b nz98/254 strain)",FALSE,"outer membrane vesicles (neisseria meningitidis group b nz98/254 strain)"
"RUPATADINE (RUPATADINE FUMARATE)",22754,"RUPATADINE","RUPATADINE FUMARATE","","","rupatadine (rupatadine fumarate)",FALSE,"rupatadine (rupatadine fumarate)"
"SODIUM PHOSPHATE DIBASIC",4759,"SODIUM PHOSPHATE DIBASIC","SODIUM PHOSPHATE DIBASIC","","","sodium phosphate dibasic",FALSE,"sodium phosphate dibasic"
"CEFIXIME",1236,"CEFIXIME","CEFIXIME","","","cefixime",FALSE,"cefixime"
"NYLIDRIN HYDROCHLORIDE",9099,"NYLIDRIN HYDROCHLORIDE","NYLIDRIN HYDROCHLORIDE","","","nylidrin hydrochloride",FALSE,"nylidrin hydrochloride"
"ELTROMBOPAG (ELTROMBOPAG OLAMINE)",20661,"ELTROMBOPAG","ELTROMBOPAG OLAMINE","","","eltrombopag (eltrombopag olamine)",FALSE,"eltrombopag (eltrombopag olamine)"
"CARBACHOL",9622,"CARBACHOL","CARBACHOL","","","carbachol",FALSE,"carbachol"
"SERINE",9927,"SERINE","SERINE","","","serine",FALSE,"serine"
"ZIDOVUDINE",1185,"ZIDOVUDINE","ZIDOVUDINE","","","zidovudine",FALSE,"zidovudine"
"HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G2",19828,"HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G2","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G2","","","human-bovine rotavirus reassortant type g2",FALSE,"human-bovine rotavirus reassortant type g2"
"ZOLPIDEM TARTRATE",933,"ZOLPIDEM TARTRATE","ZOLPIDEM TARTRATE","","","zolpidem tartrate",FALSE,"zolpidem tartrate"
"INOSINE PRANOBEX",11879,"INOSINE PRANOBEX","INOSINE PRANOBEX","","","inosine pranobex",FALSE,"inosine pranobex"
"DESFLURANE",8,"DESFLURANE","DESFLURANE","","","desflurane",FALSE,"desflurane"
"SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE)",20179,"SITAGLIPTIN","SITAGLIPTIN PHOSPHATE MONOHYDRATE","Y","SITAGLIPTIN","sitagliptin",TRUE,"sitagliptin (sitagliptin phosphate)"
"NEPAFENAC",20215,"NEPAFENAC","NEPAFENAC",NA,NA,NA,NA,NA
"LEVOFLOXACIN",11705,"LEVOFLOXACIN","LEVOFLOXACIN","Y","LEVOFLOXACIN","levofloxacin",FALSE,"levofloxacin"
"CEFTOLOZANE (CEFTOLOZANE SULFATE)",22645,"CEFTOLOZANE","CEFTOLOZANE SULFATE","","","ceftolozane (ceftolozane sulfate)",FALSE,"ceftolozane (ceftolozane sulfate)"
"LYSINE (L-LYSINE HYDROCHLORIDE)",9806,"LYSINE","L-LYSINE HYDROCHLORIDE","","","lysine (l-lysine hydrochloride)",FALSE,"lysine (l-lysine hydrochloride)"
"BACITRACIN (BACITRACIN ZINC)",8502,"BACITRACIN","BACITRACIN ZINC","","","bacitracin (bacitracin zinc)",FALSE,"bacitracin (bacitracin zinc)"
"Fidaxomicin",21336,"Fidaxomicin","Fidaxomicin","","","fidaxomicin",FALSE,"fidaxomicin"
"TROLAMINE SALICYLATE",9329,"TROLAMINE SALICYLATE","TROLAMINE SALICYLATE","","","trolamine salicylate",FALSE,"trolamine salicylate"
"DEXTRAN",9969,"DEXTRAN","DEXTRAN","","","dextran",FALSE,"dextran"
"TERCONAZOLE",1197,"TERCONAZOLE","TERCONAZOLE","","","terconazole",FALSE,"terconazole"
"FLOCTAFENINE",2009,"FLOCTAFENINE","FLOCTAFENINE","","","floctafenine",FALSE,"floctafenine"
"Modified Vaccinia Virus (Ankara-Bavarian Nordic)",22173,"Modified Vaccinia Virus","Ankara-Bavarian Nordic","","","modified vaccinia virus (ankara-bavarian nordic)",FALSE,"modified vaccinia virus (ankara-bavarian nordic)"
"Lomitapide (Lomitapide Mesylate)",22241,"Lomitapide","Lomitapide Mesylate","","","lomitapide (lomitapide mesylate)",FALSE,"lomitapide (lomitapide mesylate)"
"FOLLITROPIN ALFA",11457,"FOLLITROPIN ALFA","FOLLITROPIN ALFA","","","follitropin alfa",FALSE,"follitropin alfa"
"IODOFORM",10011,"IODOFORM","IODOFORM","","","iodoform",FALSE,"iodoform"
"ANTAZOLINE PHOSPHATE",6614,"ANTAZOLINE PHOSPHATE","ANTAZOLINE PHOSPHATE","","","antazoline phosphate",FALSE,"antazoline phosphate"
"THROMBIN ALFA",20562,"THROMBIN ALFA","THROMBIN ALFA",NA,NA,NA,NA,NA
"CLIOQUINOL",9081,"CLIOQUINOL","CLIOQUINOL","","","clioquinol",FALSE,"clioquinol"
"COAGULATION FACTOR VII (HUMAN)",4235,"COAGULATION FACTOR VII","HUMAN","","","coagulation factor vii (human)",FALSE,"coagulation factor vii (human)"
"SODIUM FLUORIDE",219,"SODIUM FLUORIDE","SODIUM FLUORIDE","","","sodium fluoride",FALSE,"sodium fluoride"
"SURFACTANT-ASSOCIATED PROTEINS SP-B AND SP-C",12688,"SURFACTANT-ASSOCIATED PROTEINS SP-B AND SP-C","SURFACTANT-ASSOCIATED PROTEINS SP-B AND SP-C","","","surfactant-associated proteins sp-b and sp-c",FALSE,"surfactant-associated proteins sp-b and sp-c"
"POTASSIUM CITRATE",7132,"POTASSIUM CITRATE","POTASSIUM CITRATE","","","potassium citrate",FALSE,"potassium citrate"
"CHORIOGONADOTROPIN ALPHA",12389,"CHORIOGONADOTROPIN ALPHA","CHORIOGONADOTROPIN ALPHA","","","choriogonadotropin alpha",FALSE,"choriogonadotropin alpha"
"BEVACIZUMAB",16200,"BEVACIZUMAB","BEVACIZUMAB","","","bevacizumab",FALSE,"bevacizumab"
"HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G1",19827,"HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G1","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G1","","","human-bovine rotavirus reassortant type g1",FALSE,"human-bovine rotavirus reassortant type g1"
"TRIFLURIDINE",1923,"TRIFLURIDINE","TRIFLURIDINE","","","trifluridine",FALSE,"trifluridine"
"MODIFIED RAGWEED TYROSINE ADSORBATE",12719,"MODIFIED RAGWEED TYROSINE ADSORBATE","MODIFIED RAGWEED TYROSINE ADSORBATE","","","modified ragweed tyrosine adsorbate",FALSE,"modified ragweed tyrosine adsorbate"
"PAROMOMYCIN (PAROMOMYCIN SULFATE)",8625,"PAROMOMYCIN","PAROMOMYCIN SULFATE","","","paromomycin (paromomycin sulfate)",FALSE,"paromomycin (paromomycin sulfate)"
"TELAVANCIN (TELAVANCIN HYDROCHLORIDE)",20509,"TELAVANCIN","TELAVANCIN HYDROCHLORIDE","","","telavancin (telavancin hydrochloride)",FALSE,"telavancin (telavancin hydrochloride)"
"ENZACAMENE",20039,"ENZACAMENE","ENZACAMENE","","","enzacamene",FALSE,"enzacamene"
"SODIUM CITRATE DIHYDRATE",11969,"SODIUM CITRATE DIHYDRATE","SODIUM CITRATE DIHYDRATE","","","sodium citrate dihydrate",TRUE,"sodium citrate dihydrate"
"SAXAGLIPTIN (SAXAGLIPTIN HYDROCHLORIDE)",20524,"SAXAGLIPTIN","SAXAGLIPTIN HYDROCHLORIDE","Y","SAXAGLIPTIN","saxagliptin",FALSE,"saxagliptin (saxagliptin hydrochloride)"
"INTERFERON BETA-1B",172,"INTERFERON BETA-1B","INTERFERON BETA-1B","","","interferon beta-1b",FALSE,"interferon beta-1b"
"INSULIN LISPRO",11115,"INSULIN LISPRO","INSULIN LISPRO","Y","INSULIN LISPRO","insulin lispro",FALSE,"insulin lispro"
"VELPATASVIR",22733,"VELPATASVIR","VELPATASVIR","","","velpatasvir",FALSE,"velpatasvir"
"ISOPROPYL ALCOHOL",8881,"ISOPROPYL ALCOHOL","ISOPROPYL ALCOHOL","","","isopropyl alcohol",FALSE,"isopropyl alcohol"
"PROTEIN C",20131,"PROTEIN C","PROTEIN C","","","protein c",FALSE,"protein c"
"FLUVASTATIN (FLUVASTATIN SODIUM)",11388,"FLUVASTATIN","FLUVASTATIN SODIUM","","","fluvastatin (fluvastatin sodium)",FALSE,"fluvastatin (fluvastatin sodium)"
"L-ASPARTIC ACID",9397,"L-ASPARTIC ACID","L-ASPARTIC ACID","","","l-aspartic acid",FALSE,"l-aspartic acid"
"ERTAPENEM (ERTAPENEM SODIUM)",13153,"ERTAPENEM","ERTAPENEM SODIUM","","","ertapenem (ertapenem sodium)",FALSE,"ertapenem (ertapenem sodium)"
"CELECOXIB",11865,"CELECOXIB","CELECOXIB","Y","CELECOXIB","celecoxib",FALSE,"celecoxib"
"CHARCOAL ACTIVATED",78,"CHARCOAL ACTIVATED","CHARCOAL ACTIVATED","","","charcoal activated",FALSE,"charcoal activated"
"L-MENTHOL",418,"L-MENTHOL","L-MENTHOL","","","l-menthol",FALSE,"l-menthol"
"TETRAHYDROZOLINE HYDROCHLORIDE",6057,"TETRAHYDROZOLINE HYDROCHLORIDE","TETRAHYDROZOLINE HYDROCHLORIDE","","","tetrahydrozoline hydrochloride",FALSE,"tetrahydrozoline hydrochloride"
"BACITRACIN",8502,"BACITRACIN","BACITRACIN","","","bacitracin",FALSE,"bacitracin"
"ROSUVASTATIN (ROSUVASTATIN CALCIUM)",13123,"ROSUVASTATIN","ROSUVASTATIN CALCIUM","Y","ROSUVASTATIN","rosuvastatin",FALSE,"rosuvastatin (rosuvastatin calcium)"
"DENOSUMAB",20570,"DENOSUMAB","DENOSUMAB","","","denosumab",FALSE,"denosumab"
"SUMATRIPTAN (SUMATRIPTAN SUCCINATE)",11323,"SUMATRIPTAN","SUMATRIPTAN SUCCINATE","Y","SUMATRIPTAN","sumatriptan",FALSE,"sumatriptan (sumatriptan succinate)"
"TEDUGLUTIDE",22636,"TEDUGLUTIDE","TEDUGLUTIDE",NA,NA,NA,NA,NA
"AMIKACIN (AMIKACIN SULFATE)",11178,"AMIKACIN","AMIKACIN SULFATE","","","amikacin (amikacin sulfate)",FALSE,"amikacin (amikacin sulfate)"
"TENOFOVIR DISOPROXIL FUMARATE",12251,"TENOFOVIR DISOPROXIL FUMARATE","TENOFOVIR DISOPROXIL FUMARATE","","","tenofovir disoproxil fumarate",FALSE,"tenofovir disoproxil fumarate"
"OXAZEPAM",9956,"OXAZEPAM","OXAZEPAM","Y","OXAZEPAM","oxazepam",FALSE,"oxazepam"
"ATORVASTATIN (ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE)",11366,"ATORVASTATIN","ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE","Y","ATORVASTATIN","atorvastatin",FALSE,"atorvastatin (atorvastatin calcium)"
"TREPROSTINIL (TREPROSTINIL SODIUM)",12594,"TREPROSTINIL","TREPROSTINIL SODIUM","","","treprostinil (treprostinil sodium)",FALSE,"treprostinil (treprostinil sodium)"
"BRIMONIDINE (BRIMONIDINE TARTRATE)",22245,"BRIMONIDINE","BRIMONIDINE TARTRATE","","","brimonidine (brimonidine tartrate)",FALSE,"brimonidine (brimonidine tartrate)"
"STAVUDINE",66,"STAVUDINE","STAVUDINE","","","stavudine",FALSE,"stavudine"
"LOPINAVIR",12093,"LOPINAVIR","LOPINAVIR","","","lopinavir",FALSE,"lopinavir"
"NALOXONE HYDROCHLORIDE (NALOXONE HYDROCHLORIDE DIHYDRATE)",2474,"NALOXONE HYDROCHLORIDE","NALOXONE HYDROCHLORIDE DIHYDRATE","Y","NALOXONE","naloxone",TRUE,"naloxone hydrochloride"
"DIMERCAPROL",5643,"DIMERCAPROL","DIMERCAPROL","","","dimercaprol",FALSE,"dimercaprol"
"SALMETEROL (SALMETEROL XINAFOATE)",11282,"SALMETEROL","SALMETEROL XINAFOATE","Y","SALMETEROL","salmeterol",FALSE,"salmeterol (salmeterol xinafoate)"
"HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE P1(8)",19831,"HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE P1","8","","","human-bovine rotavirus reassortant type p1(8)",FALSE,"human-bovine rotavirus reassortant type p1(8)"
"NAPROXEN SODIUM",2037,"NAPROXEN SODIUM","NAPROXEN SODIUM","Y","NAPROXEN","naproxen",FALSE,"naproxen sodium"
"CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE)",8017,"CHLORPROMAZINE","CHLORPROMAZINE HYDROCHLORIDE","","","chlorpromazine (chlorpromazine hydrochloride)",FALSE,"chlorpromazine (chlorpromazine hydrochloride)"
"NITROGEN",2332,"NITROGEN","NITROGEN","","","nitrogen",FALSE,"nitrogen"
"EPIRUBICIN HYDROCHLORIDE",20259,"EPIRUBICIN HYDROCHLORIDE","EPIRUBICIN HYDROCHLORIDE","","","epirubicin hydrochloride",FALSE,"epirubicin hydrochloride"
"PETROLATUM",3566,"PETROLATUM","PETROLATUM","","","petrolatum",FALSE,"petrolatum"
"SODIUM LAURYL SULFOACETATE",3033,"SODIUM LAURYL SULFOACETATE","SODIUM LAURYL SULFOACETATE","","","sodium lauryl sulfoacetate",FALSE,"sodium lauryl sulfoacetate"
"MORPHINE HYDROCHLORIDE",9913,"MORPHINE HYDROCHLORIDE","MORPHINE HYDROCHLORIDE","Y","MORPHINE","morphine",FALSE,"morphine hydrochloride"
"DEXLANSOPRAZOLE",20625,"DEXLANSOPRAZOLE","DEXLANSOPRAZOLE","Y","DEXLANSOPRAZOLE","dexlansoprazole",FALSE,"dexlansoprazole"
"DARATUMUMAB",22729,"DARATUMUMAB","DARATUMUMAB","","","daratumumab",FALSE,"daratumumab"
"FLUORESCEIN SODIUM",5532,"FLUORESCEIN SODIUM","FLUORESCEIN SODIUM","","","fluorescein sodium",FALSE,"fluorescein sodium"
"FEBUXOSTAT",13271,"FEBUXOSTAT","FEBUXOSTAT","","","febuxostat",FALSE,"febuxostat"
"HALOPERIDOL (HALOPERIDOL DECANOATE)",10146,"HALOPERIDOL","HALOPERIDOL DECANOATE","Y","HALOPERIDOL","haloperidol",FALSE,"haloperidol (haloperidol decanoate)"
"LIOTHYRONINE (LIOTHYRONINE SODIUM)",9954,"LIOTHYRONINE","LIOTHYRONINE SODIUM","","","liothyronine (liothyronine sodium)",FALSE,"liothyronine (liothyronine sodium)"
"DIPHENHYDRAMINE CITRATE",1240,"DIPHENHYDRAMINE CITRATE","DIPHENHYDRAMINE CITRATE","","","diphenhydramine citrate",FALSE,"diphenhydramine citrate"
"VINORELBINE (VINORELBINE TARTRATE)",11350,"VINORELBINE","VINORELBINE TARTRATE","","","vinorelbine (vinorelbine tartrate)",FALSE,"vinorelbine (vinorelbine tartrate)"
"GEFITINIB",13090,"GEFITINIB","GEFITINIB","","","gefitinib",FALSE,"gefitinib"
"METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE)",7626,"METHYLPREDNISOLONE","METHYLPREDNISOLONE SODIUM SUCCINATE","","","methylprednisolone (methylprednisolone sodium succinate)",FALSE,"methylprednisolone (methylprednisolone sodium succinate)"
"METHADONE HYDROCHLORIDE",6417,"METHADONE HYDROCHLORIDE","METHADONE HYDROCHLORIDE","Y","METHADONE","methadone",FALSE,"methadone hydrochloride"
"MERADIMATE",13124,"MERADIMATE","MERADIMATE","","","meradimate",FALSE,"meradimate"
"IMIPRAMINE HYDROCHLORIDE",9267,"IMIPRAMINE HYDROCHLORIDE","IMIPRAMINE HYDROCHLORIDE","","","imipramine hydrochloride",FALSE,"imipramine hydrochloride"
"WATER",8826,"WATER","WATER","","","water",FALSE,"water"
"MAGNESIUM SULFATE",8750,"MAGNESIUM SULFATE","MAGNESIUM SULFATE","","","magnesium sulfate",FALSE,"magnesium sulfate"
"AZITHROMYCIN (AZITHROMYCIN ISOPROPANOLATE MONOHYDRATE)",424,"AZITHROMYCIN","AZITHROMYCIN ISOPROPANOLATE MONOHYDRATE","Y","AZITHROMYCIN","azithromycin",TRUE,"azithromycin (azithromycin isopropanolate)"
"CICLOPIROX OLAMINE",1913,"CICLOPIROX OLAMINE","CICLOPIROX OLAMINE","Y","CICLOPIROX","ciclopirox",FALSE,"ciclopirox olamine"
"ACENOCOUMAROL",9062,"ACENOCOUMAROL","ACENOCOUMAROL","","","acenocoumarol",FALSE,"acenocoumarol"
"TIGECYCLINE",19932,"TIGECYCLINE","TIGECYCLINE","","","tigecycline",FALSE,"tigecycline"
"MENINGOCOCCAL POLYSACCHARIDE VACCINE GRP C",7920,"MENINGOCOCCAL POLYSACCHARIDE VACCINE GRP C","MENINGOCOCCAL POLYSACCHARIDE VACCINE GRP C","","","meningococcal polysaccharide vaccine grp c",FALSE,"meningococcal polysaccharide vaccine grp c"
"SODIUM BISULFITE",1073,"SODIUM BISULFITE","SODIUM BISULFITE","","","sodium bisulfite",FALSE,"sodium bisulfite"
"DULAGLUTIDE",22660,"DULAGLUTIDE","DULAGLUTIDE","","","dulaglutide",FALSE,"dulaglutide"
"POLYMYXIN B SULFATE",8519,"POLYMYXIN B SULFATE","POLYMYXIN B SULFATE","","","polymyxin b sulfate",FALSE,"polymyxin b sulfate"
"THYMOL",10230,"THYMOL","THYMOL","","","thymol",FALSE,"thymol"
"Taliglucerase Alfa",22330,"Taliglucerase Alfa","Taliglucerase Alfa","","","taliglucerase alfa",FALSE,"taliglucerase alfa"
"PHENYLTOLOXAMINE",6044,"PHENYLTOLOXAMINE","PHENYLTOLOXAMINE","Y","","phenyltoloxamine",FALSE,"phenyltoloxamine"
"IODINE (SODIUM IODIDE)",7218,"IODINE","SODIUM IODIDE","","","iodine (sodium iodide)",FALSE,"iodine (sodium iodide)"
"simeprevir (Simeprevir sodium)",22171,"simeprevir","Simeprevir sodium","","","simeprevir (simeprevir sodium)",FALSE,"simeprevir (simeprevir sodium)"
"CARVEDILOL",1188,"CARVEDILOL","CARVEDILOL","Y","CARVEDILOL","carvedilol",FALSE,"carvedilol"
"IMMUNE GLOBULIN (HUMAN)",7773,"IMMUNE GLOBULIN","HUMAN","","","immune globulin (human)",FALSE,"immune globulin (human)"
"VITAMIN C (ASCORBIC ACID)",646,"VITAMIN C","ASCORBIC ACID","","","vitamin C (ascorbic acid)",FALSE,"vitamin C (ascorbic acid)"
"ESCITALOPRAM (ESCITALOPRAM OXALATE)",13585,"ESCITALOPRAM","ESCITALOPRAM OXALATE","Y","ESCITALOPRAM","escitalopram",FALSE,"escitalopram (escitalopram oxalate)"
"FLUOCINOLONE ACETONIDE",7578,"FLUOCINOLONE ACETONIDE","FLUOCINOLONE ACETONIDE","","","fluocinolone acetonide",FALSE,"fluocinolone acetonide"
"PHENOBARBITAL",8282,"PHENOBARBITAL","PHENOBARBITAL","Y","","phenobarbital",FALSE,"phenobarbital"
"POLLEN",5183,"POLLEN","POLLEN","","","pollen",FALSE,"pollen"
"NORELGESTROMIN",12172,"NORELGESTROMIN","NORELGESTROMIN","Y","NORELGESTROMIN","norelgestromin",FALSE,"norelgestromin"
"SAPROPTERIN DIHYDROCHLORIDE",20591,"SAPROPTERIN DIHYDROCHLORIDE","SAPROPTERIN DIHYDROCHLORIDE","","","sapropterin dihydrochloride",FALSE,"sapropterin dihydrochloride"
"ANIDULAFUNGIN",20177,"ANIDULAFUNGIN","ANIDULAFUNGIN","","","anidulafungin",FALSE,"anidulafungin"
"BEMOTRIZINOL",20447,"BEMOTRIZINOL","BEMOTRIZINOL","","","bemotrizinol",FALSE,"bemotrizinol"
"AMYLASE",253,"AMYLASE","AMYLASE","","","amylase",FALSE,"amylase"
"ALPRAZOLAM",2072,"ALPRAZOLAM","ALPRAZOLAM","Y","ALPRAZOLAM","alprazolam",FALSE,"alprazolam"
"INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 3 SAUKETT",7653,"INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 3 SAUKETT","V.C.O.","","","inactivated poliomyelitis vaccine (v.c.o.) type 3 saukett",FALSE,"inactivated poliomyelitis vaccine (v.c.o.) type 3 saukett"
"LINEZOLID",12110,"LINEZOLID","LINEZOLID","","","linezolid",FALSE,"linezolid"
"POTASSIUM PHOSPHATE MONOBASIC",6337,"POTASSIUM PHOSPHATE MONOBASIC","POTASSIUM PHOSPHATE MONOBASIC","","","potassium phosphate monobasic",FALSE,"potassium phosphate monobasic"
"SODIUM NITROPRUSSIDE",5525,"SODIUM NITROPRUSSIDE","SODIUM NITROPRUSSIDE","","","sodium nitroprusside",FALSE,"sodium nitroprusside"
"POTASSIUM CHLORIDE",53,"POTASSIUM CHLORIDE","POTASSIUM CHLORIDE","","","potassium chloride",FALSE,"potassium chloride"
"HYPROMELLOSE",12399,"HYPROMELLOSE","HYPROMELLOSE","","","hypromellose",FALSE,"hypromellose"
"DOXEPIN (DOXEPIN HYDROCHLORIDE)",11107,"DOXEPIN","DOXEPIN HYDROCHLORIDE","","","doxepin (doxepin hydrochloride)",FALSE,"doxepin (doxepin hydrochloride)"
