ccdd	top250name	dpd_ingredient	ing_stem	hydrate	ntp_ing
		DIDECYL DIMETHYL AMMONIUM CHLORIDE	DIDECYL DIMETHYL AMMONIUM CHLORIDE	FALSE	DIDECYL DIMETHYL AMMONIUM CHLORIDE
		Dienogest	Dienogest	FALSE	Dienogest
		DIFLUNISAL	DIFLUNISAL	FALSE	DIFLUNISAL
Y	DIGOXIN	DIGOXIN	DIGOXIN	FALSE	DIGOXIN
		DIGOXIN IMMUNE FAB (OVINE)	DIGOXIN IMMUNE FAB (OVINE)	FALSE	DIGOXIN IMMUNE FAB (OVINE)
		DIHYDROERGOTAMINE MESYLATE	DIHYDROERGOTAMINE MESYLATE	FALSE	DIHYDROERGOTAMINE MESYLATE
Y	DILTIAZEM	DILTIAZEM HYDROCHLORIDE	DILTIAZEM	FALSE	DILTIAZEM HYDROCHLORIDE
		DILUENT	DILUENT	FALSE	DILUENT
		DIMENHYDRINATE	DIMENHYDRINATE	FALSE	DIMENHYDRINATE
		DIMERCAPROL	DIMERCAPROL	FALSE	DIMERCAPROL
		DIMETHICONE	DIMETHICONE	FALSE	DIMETHICONE
		Dimethyl Fumarate	Dimethyl Fumarate	FALSE	Dimethyl Fumarate
		DIMETHYL SULFOXIDE	DIMETHYL SULFOXIDE	FALSE	DIMETHYL SULFOXIDE
		DINOPROST (DINOPROST TROMETHAMINE)	DINOPROST (DINOPROST TROMETHAMINE)	FALSE	DINOPROST (DINOPROST TROMETHAMINE)
		DINOPROSTONE	DINOPROSTONE	FALSE	DINOPROSTONE
		DIOCTYL DIMETHYL AMMONIUM CHLORIDE	DIOCTYL DIMETHYL AMMONIUM CHLORIDE	FALSE	DIOCTYL DIMETHYL AMMONIUM CHLORIDE
		DIPHENHYDRAMINE CITRATE	DIPHENHYDRAMINE CITRATE	FALSE	DIPHENHYDRAMINE CITRATE
		DIPHENHYDRAMINE HYDROCHLORIDE	DIPHENHYDRAMINE HYDROCHLORIDE	FALSE	DIPHENHYDRAMINE HYDROCHLORIDE
		DIPHENOXYLATE HYDROCHLORIDE	DIPHENOXYLATE HYDROCHLORIDE	FALSE	DIPHENOXYLATE HYDROCHLORIDE
		DIPHENYLPYRALINE HYDROCHLORIDE	DIPHENYLPYRALINE HYDROCHLORIDE	FALSE	DIPHENYLPYRALINE HYDROCHLORIDE
		DIPHTHERIA TOXOID	DIPHTHERIA TOXOID	FALSE	DIPHTHERIA TOXOID
		DIPHTHERIA TOXOID ADSORBED	DIPHTHERIA TOXOID ADSORBED	FALSE	DIPHTHERIA TOXOID ADSORBED
		DIPIVEFRIN HYDROCHLORIDE	DIPIVEFRIN HYDROCHLORIDE	FALSE	DIPIVEFRIN HYDROCHLORIDE
		DIPYRIDAMOLE	DIPYRIDAMOLE	FALSE	DIPYRIDAMOLE
		DISODIUM EDETATE	DISODIUM EDETATE	FALSE	DISODIUM EDETATE
		DISOPYRAMIDE	DISOPYRAMIDE	FALSE	DISOPYRAMIDE
		DL-METHIONINE	DL-METHIONINE	FALSE	DL-METHIONINE
		DOBUTAMINE (DOBUTAMINE HYDROCHLORIDE)	DOBUTAMINE (DOBUTAMINE HYDROCHLORIDE)	FALSE	DOBUTAMINE (DOBUTAMINE HYDROCHLORIDE)
		DOCETAXEL	DOCETAXEL	FALSE	DOCETAXEL
		DOCOSANOL	DOCOSANOL	FALSE	DOCOSANOL
		DOCUSATE CALCIUM	DOCUSATE CALCIUM	FALSE	DOCUSATE CALCIUM
		DOCUSATE SODIUM	DOCUSATE SODIUM	FALSE	DOCUSATE SODIUM
		DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT	DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT	FALSE	DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT
		DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT	DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT	FALSE	DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT
		DOLUTEGRAVIR (DOLUTEGRAVIR SODIUM)	DOLUTEGRAVIR (DOLUTEGRAVIR SODIUM)	FALSE	DOLUTEGRAVIR (DOLUTEGRAVIR SODIUM)
Y	DOMPERIDONE	DOMPERIDONE (DOMPERIDONE MALEATE)	DOMPERIDONE	FALSE	DOMPERIDONE (DOMPERIDONE MALEATE)
Y	DONEPEZIL	DONEPEZIL HYDROCHLORIDE	DONEPEZIL	FALSE	DONEPEZIL HYDROCHLORIDE
Y	DONEPEZIL	DONEPEZIL HYDROCHLORIDE (DONEPEZIL HYDROCHLORIDE MONOHYDRATE)	DONEPEZIL	TRUE	DONEPEZIL HYDROCHLORIDE
		DOPAMINE HYDROCHLORIDE	DOPAMINE HYDROCHLORIDE	FALSE	DOPAMINE HYDROCHLORIDE
		DORNASE ALFA	DORNASE ALFA	FALSE	DORNASE ALFA
Y	DORZOLAMIDE	DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE)	DORZOLAMIDE	FALSE	DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE)
Y	DOXAZOSIN	DOXAZOSIN (DOXAZOSIN MESYLATE)	DOXAZOSIN	FALSE	DOXAZOSIN (DOXAZOSIN MESYLATE)
		DOXEPIN (DOXEPIN HYDROCHLORIDE)	DOXEPIN (DOXEPIN HYDROCHLORIDE)	FALSE	DOXEPIN (DOXEPIN HYDROCHLORIDE)
		DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE	FALSE	DOXORUBICIN HYDROCHLORIDE
Y	DOXYCYCLINE	DOXYCYCLINE (DOXYCYCLINE HYCLATE)	DOXYCYCLINE	FALSE	DOXYCYCLINE (DOXYCYCLINE HYCLATE)
Y	DOXYCYCLINE	DOXYCYCLINE (Doxycycline Monohydrate)	DOXYCYCLINE	TRUE	DOXYCYCLINE
		DOXYLAMINE SUCCINATE	DOXYLAMINE SUCCINATE	FALSE	DOXYLAMINE SUCCINATE
		D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE)	D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE)	FALSE	D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE)
		"D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE, RIBOFLAVIN-5-PHOSPHATE)"	"D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE, RIBOFLAVIN-5-PHOSPHATE)"	FALSE	"D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE, RIBOFLAVIN-5-PHOSPHATE)"
		D-PENICILLAMINE	D-PENICILLAMINE	FALSE	D-PENICILLAMINE
		DROMETRIZOLE TRISILOXANE	DROMETRIZOLE TRISILOXANE	FALSE	DROMETRIZOLE TRISILOXANE
		DRONEDARONE (DRONEDARONE HYDROCHLORIDE)	DRONEDARONE (DRONEDARONE HYDROCHLORIDE)	FALSE	DRONEDARONE (DRONEDARONE HYDROCHLORIDE)
		DROPERIDOL	DROPERIDOL	FALSE	DROPERIDOL
Y	DROSPIRENONE	DROSPIRENONE	DROSPIRENONE	FALSE	DROSPIRENONE
		DULAGLUTIDE	DULAGLUTIDE	FALSE	DULAGLUTIDE
Y	DULOXETINE	DULOXETINE (DULOXETINE HYDROCHLORIDE)	DULOXETINE	FALSE	DULOXETINE (DULOXETINE HYDROCHLORIDE)
Y	DUTASTERIDE	DUTASTERIDE	DUTASTERIDE	FALSE	DUTASTERIDE
		DYCLONINE HYDROCHLORIDE	DYCLONINE HYDROCHLORIDE	FALSE	DYCLONINE HYDROCHLORIDE
		ECULIZUMAB	ECULIZUMAB	FALSE	ECULIZUMAB
		EDOXABAN (EDOXABAN TOSYLATE)	EDOXABAN (EDOXABAN TOSYLATE)	FALSE	EDOXABAN (EDOXABAN TOSYLATE)
		EFAVIRENZ	EFAVIRENZ	FALSE	EFAVIRENZ
		Efinaconazole	Efinaconazole	FALSE	Efinaconazole
		EFLORNITHINE HYDROCHLORIDE	EFLORNITHINE HYDROCHLORIDE	FALSE	EFLORNITHINE HYDROCHLORIDE
		ELBASVIR	ELBASVIR	FALSE	ELBASVIR
		ELETRIPTAN (ELETRIPTAN HYDROBROMIDE)	ELETRIPTAN (ELETRIPTAN HYDROBROMIDE)	FALSE	ELETRIPTAN (ELETRIPTAN HYDROBROMIDE)
		Elosulfase Alfa	Elosulfase Alfa	FALSE	Elosulfase Alfa
		ELTROMBOPAG (ELTROMBOPAG OLAMINE)	ELTROMBOPAG (ELTROMBOPAG OLAMINE)	FALSE	ELTROMBOPAG (ELTROMBOPAG OLAMINE)
		ELUXADOLINE	ELUXADOLINE	FALSE	ELUXADOLINE
		Elvitegravir	Elvitegravir	FALSE	Elvitegravir
		EMPAGLIFLOZIN	EMPAGLIFLOZIN	FALSE	EMPAGLIFLOZIN
		EMTRICITABINE	EMTRICITABINE	FALSE	EMTRICITABINE
Y	ENALAPRIL	ENALAPRIL MALEATE	ENALAPRIL	FALSE	ENALAPRIL MALEATE
Y	ENALAPRIL	ENALAPRIL SODIUM	ENALAPRIL	FALSE	ENALAPRIL SODIUM
Y	ENALAPRIL	ENALAPRIL SODIUM (ENALAPRIL MALEATE)	ENALAPRIL	FALSE	ENALAPRIL SODIUM (ENALAPRIL MALEATE)
		ENALAPRILAT	ENALAPRILAT	FALSE	ENALAPRILAT
		ENFUVIRTIDE	ENFUVIRTIDE	FALSE	ENFUVIRTIDE
		ENOXAPARIN SODIUM	ENOXAPARIN SODIUM	FALSE	ENOXAPARIN SODIUM
		ENSULIZOLE	ENSULIZOLE	FALSE	ENSULIZOLE
		ENTACAPONE	ENTACAPONE	FALSE	ENTACAPONE
		ENTECAVIR	ENTECAVIR	FALSE	ENTECAVIR
		ENTECAVIR (ENTECAVIR MONOHYDRATE)	ENTECAVIR (ENTECAVIR MONOHYDRATE)	TRUE	ENTECAVIR (ENTECAVIR MONOHYDRATE)
		ENZACAMENE	ENZACAMENE	FALSE	ENZACAMENE
		Enzalutamide	Enzalutamide	FALSE	Enzalutamide
		EPHEDRINE SULFATE	EPHEDRINE SULFATE	FALSE	EPHEDRINE SULFATE
Y	EPINEPHRINE	EPINEPHRINE	EPINEPHRINE	FALSE	EPINEPHRINE
Y	EPINEPHRINE	EPINEPHRINE (EPINEPHRINE BITARTRATE)	EPINEPHRINE	FALSE	EPINEPHRINE (EPINEPHRINE BITARTRATE)
Y	EPINEPHRINE	EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE)	EPINEPHRINE	FALSE	EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE)
Y	EPINEPHRINE	EPINEPHRINE BITARTRATE	EPINEPHRINE	FALSE	EPINEPHRINE BITARTRATE
Y	EPINEPHRINE	EPINEPHRINE RACEMIC	EPINEPHRINE	FALSE	EPINEPHRINE RACEMIC
		EPIRUBICIN HYDROCHLORIDE	EPIRUBICIN HYDROCHLORIDE	FALSE	EPIRUBICIN HYDROCHLORIDE
		EPLERENONE	EPLERENONE	FALSE	EPLERENONE
		EPOETIN ALFA	EPOETIN ALFA	FALSE	EPOETIN ALFA
		EPOPROSTENOL (EPOPROSTENOL SODIUM)	EPOPROSTENOL (EPOPROSTENOL SODIUM)	FALSE	EPOPROSTENOL (EPOPROSTENOL SODIUM)
		EPROSARTAN (EPROSARTAN MESYLATE)	EPROSARTAN (EPROSARTAN MESYLATE)	FALSE	EPROSARTAN (EPROSARTAN MESYLATE)
		EPTACOG ALFA (ACTIVATED)	EPTACOG ALFA (ACTIVATED)	FALSE	EPTACOG ALFA (ACTIVATED)
		EPTIFIBATIDE	EPTIFIBATIDE	FALSE	EPTIFIBATIDE
		ERGOLOID MESYLATES	ERGOLOID MESYLATES	FALSE	ERGOLOID MESYLATES
		ERGONOVINE MALEATE	ERGONOVINE MALEATE	FALSE	ERGONOVINE MALEATE
		ERGOTAMINE TARTRATE	ERGOTAMINE TARTRATE	FALSE	ERGOTAMINE TARTRATE
		Eribulin Mesylate	Eribulin Mesylate	FALSE	Eribulin Mesylate
		ERLOTINIB (ERLOTINIB HYDROCHLORIDE)	ERLOTINIB (ERLOTINIB HYDROCHLORIDE)	FALSE	ERLOTINIB (ERLOTINIB HYDROCHLORIDE)
		ERTAPENEM (ERTAPENEM SODIUM)	ERTAPENEM (ERTAPENEM SODIUM)	FALSE	ERTAPENEM (ERTAPENEM SODIUM)
Y	ERYTHROMYCIN	ERYTHROMYCIN	ERYTHROMYCIN	FALSE	ERYTHROMYCIN
Y	ERYTHROMYCIN	ERYTHROMYCIN (ERYTHROMYCIN ESTOLATE)	ERYTHROMYCIN	FALSE	ERYTHROMYCIN (ERYTHROMYCIN ESTOLATE)
Y	ERYTHROMYCIN	ERYTHROMYCIN (ERYTHROMYCIN ETHYLSUCCINATE)	ERYTHROMYCIN	FALSE	ERYTHROMYCIN (ERYTHROMYCIN ETHYLSUCCINATE)
Y	ERYTHROMYCIN	ERYTHROMYCIN (ERYTHROMYCIN LACTOBIONATE)	ERYTHROMYCIN	FALSE	ERYTHROMYCIN (ERYTHROMYCIN LACTOBIONATE)
Y	ERYTHROMYCIN	ERYTHROMYCIN (ERYTHROMYCIN STEARATE)	ERYTHROMYCIN	FALSE	ERYTHROMYCIN (ERYTHROMYCIN STEARATE)
		ERYTHROSINE	ERYTHROSINE	FALSE	ERYTHROSINE
Y	ESCITALOPRAM	ESCITALOPRAM	ESCITALOPRAM	FALSE	ESCITALOPRAM
Y	ESCITALOPRAM	ESCITALOPRAM (ESCITALOPRAM OXALATE)	ESCITALOPRAM	FALSE	ESCITALOPRAM (ESCITALOPRAM OXALATE)
Y	ESCULIN	ESCULIN	ESCULIN	FALSE	ESCULIN
		Eslicarbazepine acetate	Eslicarbazepine acetate	FALSE	Eslicarbazepine acetate
		ESMOLOL HYDROCHLORIDE	ESMOLOL HYDROCHLORIDE	FALSE	ESMOLOL HYDROCHLORIDE
Y	ESOMEPRAZOLE	ESOMEPRAZOLE (Esomeprazole magnesium dihydrate)	ESOMEPRAZOLE	TRUE	ESOMEPRAZOLE (Esomeprazole magnesium)
Y	ESOMEPRAZOLE	ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM TRIHYDRATE)	ESOMEPRAZOLE	TRUE	ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM)
Y	ESOMEPRAZOLE	ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM)	ESOMEPRAZOLE	FALSE	ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM)
Y	ESTRADIOL	ESTRADIOL	ESTRADIOL	FALSE	ESTRADIOL
Y	ESTRADIOL	ESTRADIOL (ESTRADIOL HEMIHYDRATE)	ESTRADIOL	TRUE	ESTRADIOL
		ESTRAMUSTINE PHOSPHATE SODIUM	ESTRAMUSTINE PHOSPHATE SODIUM	FALSE	ESTRAMUSTINE PHOSPHATE SODIUM
		ESTRONE	ESTRONE	FALSE	ESTRONE
		ETAFEDRIN HYDROCHLORIDE	ETAFEDRIN HYDROCHLORIDE	FALSE	ETAFEDRIN HYDROCHLORIDE
		ETANERCEPT	ETANERCEPT	FALSE	ETANERCEPT
		ETHACRYNIC ACID	ETHACRYNIC ACID	FALSE	ETHACRYNIC ACID
		ETHACRYNIC ACID (ETHACRYNATE SODIUM)	ETHACRYNIC ACID (ETHACRYNATE SODIUM)	FALSE	ETHACRYNIC ACID (ETHACRYNATE SODIUM)
		ETHAMBUTOL HYDROCHLORIDE	ETHAMBUTOL HYDROCHLORIDE	FALSE	ETHAMBUTOL HYDROCHLORIDE
Y	ETHINYL ESTRADIOL	ETHINYL ESTRADIOL	ETHINYL ESTRADIOL	FALSE	ETHINYL ESTRADIOL
		ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE)	ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE)	FALSE	ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE)
		ETHOSUXIMIDE	ETHOSUXIMIDE	FALSE	ETHOSUXIMIDE
		ETHYNODIOL DIACETATE	ETHYNODIOL DIACETATE	FALSE	ETHYNODIOL DIACETATE
		ETIDRONATE DISODIUM	ETIDRONATE DISODIUM	FALSE	ETIDRONATE DISODIUM
		ETODOLAC	ETODOLAC	FALSE	ETODOLAC
Y	ETONOGESTREL	ETONOGESTREL	ETONOGESTREL	FALSE	ETONOGESTREL
		ETOPOSIDE	ETOPOSIDE	FALSE	ETOPOSIDE
		ETRAVIRINE	ETRAVIRINE	FALSE	ETRAVIRINE
		EUCALYPTOL	EUCALYPTOL	FALSE	EUCALYPTOL
		EVEROLIMUS	EVEROLIMUS	FALSE	EVEROLIMUS
		EVOLOCUMAB	EVOLOCUMAB	FALSE	EVOLOCUMAB
		EXEMESTANE	EXEMESTANE	FALSE	EXEMESTANE
		EXENATIDE	EXENATIDE	FALSE	EXENATIDE
Y	EZETIMIBE	EZETIMIBE	EZETIMIBE	FALSE	EZETIMIBE
		FACTOR XIII	FACTOR XIII	FALSE	FACTOR XIII
		FAMCICLOVIR	FAMCICLOVIR	FALSE	FAMCICLOVIR
		FAMOTIDINE	FAMOTIDINE	FALSE	FAMOTIDINE
		FAMPRIDINE	FAMPRIDINE	FALSE	FAMPRIDINE
		FEBUXOSTAT	FEBUXOSTAT	FALSE	FEBUXOSTAT
Y	FELODIPINE	FELODIPINE	FELODIPINE	FALSE	FELODIPINE
Y	FENOFIBRATE	FENOFIBRATE	FENOFIBRATE	FALSE	FENOFIBRATE
Y	FENTANYL	FENTANYL	FENTANYL	FALSE	FENTANYL
Y	FENTANYL	FENTANYL (FENTANYL CITRATE)	FENTANYL	FALSE	FENTANYL (FENTANYL CITRATE)
		FESOTERODINE FUMARATE	FESOTERODINE FUMARATE	FALSE	FESOTERODINE FUMARATE
		FEXOFENADINE HYDROCHLORIDE	FEXOFENADINE HYDROCHLORIDE	FALSE	FEXOFENADINE HYDROCHLORIDE
		FIBRINOGEN (HUMAN)	FIBRINOGEN (HUMAN)	FALSE	FIBRINOGEN (HUMAN)
		Fidaxomicin	Fidaxomicin	FALSE	Fidaxomicin
		FILAMENTOUS HAEMAGGLUTININ	FILAMENTOUS HAEMAGGLUTININ	FALSE	FILAMENTOUS HAEMAGGLUTININ
		FILAMENTOUS HAEMAGGLUTININ ADSORBED	FILAMENTOUS HAEMAGGLUTININ ADSORBED	FALSE	FILAMENTOUS HAEMAGGLUTININ ADSORBED
		FILGRASTIM (R-METHUG-CSF)	FILGRASTIM (R-METHUG-CSF)	FALSE	FILGRASTIM (R-METHUG-CSF)
		FIMBRIAE	FIMBRIAE	FALSE	FIMBRIAE
		FIMBRIAE TYPES 2 AND 3 (FIM)	FIMBRIAE TYPES 2 AND 3 (FIM)	FALSE	FIMBRIAE TYPES 2 AND 3 (FIM)
Y	FINASTERIDE	FINASTERIDE	FINASTERIDE	FALSE	FINASTERIDE
		Fingolimod (Fingolimod Hydrochloride)	Fingolimod (Fingolimod Hydrochloride)	FALSE	Fingolimod (Fingolimod Hydrochloride)
		FISH OIL	FISH OIL	FALSE	FISH OIL
		FLAVOXATE HYDROCHLORIDE	FLAVOXATE HYDROCHLORIDE	FALSE	FLAVOXATE HYDROCHLORIDE
		FLECAINIDE ACETATE	FLECAINIDE ACETATE	FALSE	FLECAINIDE ACETATE
		FLOCTAFENINE	FLOCTAFENINE	FALSE	FLOCTAFENINE
		FLUCONAZOLE	FLUCONAZOLE	FALSE	FLUCONAZOLE
		FLUDARABINE PHOSPHATE	FLUDARABINE PHOSPHATE	FALSE	FLUDARABINE PHOSPHATE
		FLUDROCORTISONE 21-ACETATE	FLUDROCORTISONE 21-ACETATE	FALSE	FLUDROCORTISONE 21-ACETATE
		FLUMAZENIL	FLUMAZENIL	FALSE	FLUMAZENIL
		FLUMETHASONE PIVALATE	FLUMETHASONE PIVALATE	FALSE	FLUMETHASONE PIVALATE
		FLUNARIZINE (FLUNARIZINE HYDROCHLORIDE)	FLUNARIZINE (FLUNARIZINE HYDROCHLORIDE)	FALSE	FLUNARIZINE (FLUNARIZINE HYDROCHLORIDE)
		FLUNISOLIDE	FLUNISOLIDE	FALSE	FLUNISOLIDE
		FLUOCINOLONE ACETONIDE	FLUOCINOLONE ACETONIDE	FALSE	FLUOCINOLONE ACETONIDE
		FLUOCINONIDE	FLUOCINONIDE	FALSE	FLUOCINONIDE
		FLUORESCEIN SODIUM	FLUORESCEIN SODIUM	FALSE	FLUORESCEIN SODIUM
		FLUOROMETHOLONE	FLUOROMETHOLONE	FALSE	FLUOROMETHOLONE
		FLUOROURACIL	FLUOROURACIL	FALSE	FLUOROURACIL
Y	FLUOXETINE	FLUOXETINE (FLUOXETINE HYDROCHLORIDE)	FLUOXETINE	FALSE	FLUOXETINE (FLUOXETINE HYDROCHLORIDE)
		FLUPENTIXOL (FLUPENTIXOL DIHYDROCHLORIDE)	FLUPENTIXOL (FLUPENTIXOL DIHYDROCHLORIDE)	FALSE	FLUPENTIXOL (FLUPENTIXOL DIHYDROCHLORIDE)
		FLUPENTIXOL DECANOATE	FLUPENTIXOL DECANOATE	FALSE	FLUPENTIXOL DECANOATE
		FLUPHENAZINE DECANOATE	FLUPHENAZINE DECANOATE	FALSE	FLUPHENAZINE DECANOATE
		FLUPHENAZINE HYDROCHLORIDE	FLUPHENAZINE HYDROCHLORIDE	FALSE	FLUPHENAZINE HYDROCHLORIDE
Y	FLURAZEPAM	FLURAZEPAM HYDROCHLORIDE	FLURAZEPAM	FALSE	FLURAZEPAM HYDROCHLORIDE
		FLURBIPROFEN	FLURBIPROFEN	FALSE	FLURBIPROFEN
		FLUTAMIDE	FLUTAMIDE	FALSE	FLUTAMIDE
Y	FLUTICASONE	FLUTICASONE FUROATE	FLUTICASONE	FALSE	FLUTICASONE FUROATE
Y	FLUTICASONE	FLUTICASONE PROPIONATE	FLUTICASONE	FALSE	FLUTICASONE PROPIONATE
		FLUVASTATIN (FLUVASTATIN SODIUM)	FLUVASTATIN (FLUVASTATIN SODIUM)	FALSE	FLUVASTATIN (FLUVASTATIN SODIUM)
		FLUVOXAMINE MALEATE	FLUVOXAMINE MALEATE	FALSE	FLUVOXAMINE MALEATE
Y	FOLIC ACID	FOLIC ACID	FOLIC ACID	FALSE	FOLIC ACID
Y	FOLIC ACID	FOLIC ACID (SODIUM FOLATE)	FOLIC ACID	FALSE	FOLIC ACID (SODIUM FOLATE)
		FOLLITROPIN ALFA	FOLLITROPIN ALFA	FALSE	FOLLITROPIN ALFA
		FOLLITROPIN BETA	FOLLITROPIN BETA	FALSE	FOLLITROPIN BETA
		FOMEPIZOLE	FOMEPIZOLE	FALSE	FOMEPIZOLE
		FONDAPARINUX SODIUM	FONDAPARINUX SODIUM	FALSE	FONDAPARINUX SODIUM
Y	FORMOTEROL	FORMOTEROL FUMARATE	FORMOTEROL	FALSE	FORMOTEROL FUMARATE
Y	FORMOTEROL	FORMOTEROL FUMARATE DIHYDRATE	FORMOTEROL	TRUE	FORMOTEROL FUMARATE
		FOSAMPRENAVIR (FOSAMPRENAVIR CALCIUM)	FOSAMPRENAVIR (FOSAMPRENAVIR CALCIUM)	FALSE	FOSAMPRENAVIR (FOSAMPRENAVIR CALCIUM)
		FOSAPREPITANT (FOSAPREPITANT DIMEGLUMINE)	FOSAPREPITANT (FOSAPREPITANT DIMEGLUMINE)	FALSE	FOSAPREPITANT (FOSAPREPITANT DIMEGLUMINE)
		FOSFOMYCIN (FOSFOMYCIN TROMETHAMINE)	FOSFOMYCIN (FOSFOMYCIN TROMETHAMINE)	FALSE	FOSFOMYCIN (FOSFOMYCIN TROMETHAMINE)
Y	FOSINOPRIL	FOSINOPRIL SODIUM	FOSINOPRIL	FALSE	FOSINOPRIL SODIUM
		FOSPHENYTOIN SODIUM	FOSPHENYTOIN SODIUM	FALSE	FOSPHENYTOIN SODIUM
Y	FRAMYCETIN SULFATE	FRAMYCETIN SULFATE	FRAMYCETIN	FALSE	FRAMYCETIN SULFATE
		FROVATRIPTAN (Frovatriptan Succinate Monohydrate)	FROVATRIPTAN (Frovatriptan Succinate Monohydrate)	TRUE	FROVATRIPTAN (Frovatriptan Succinate Monohydrate)
		FROVATRIPTAN (FROVATRIPTAN SUCCINATE)	FROVATRIPTAN (FROVATRIPTAN SUCCINATE)	FALSE	FROVATRIPTAN (FROVATRIPTAN SUCCINATE)
		FULVESTRANT	FULVESTRANT	FALSE	FULVESTRANT
Y	FUROSEMIDE	FUROSEMIDE	FUROSEMIDE	FALSE	FUROSEMIDE
		FUSIDATE SODIUM	FUSIDATE SODIUM	FALSE	FUSIDATE SODIUM
Y	FUSIDIC ACID	FUSIDIC ACID	FUSIDIC ACID	FALSE	FUSIDIC ACID
Y	GABAPENTIN	GABAPENTIN	GABAPENTIN	FALSE	GABAPENTIN
		GADOBENATE DIMEGLUMINE	GADOBENATE DIMEGLUMINE	FALSE	GADOBENATE DIMEGLUMINE
		GADOBUTROL	GADOBUTROL	FALSE	GADOBUTROL
		GADODIAMIDE	GADODIAMIDE	FALSE	GADODIAMIDE
		GADOPENTETATE DIMEGLUMINE	GADOPENTETATE DIMEGLUMINE	FALSE	GADOPENTETATE DIMEGLUMINE
		GADOTERIDOL	GADOTERIDOL	FALSE	GADOTERIDOL
		GADOVERSETAMIDE	GADOVERSETAMIDE	FALSE	GADOVERSETAMIDE
		GADOXETATE DISODIUM	GADOXETATE DISODIUM	FALSE	GADOXETATE DISODIUM
Y	GALANTAMINE	GALANTAMINE (GALANTAMINE HYDROBROMIDE)	GALANTAMINE	FALSE	GALANTAMINE (GALANTAMINE HYDROBROMIDE)
		Galsulfase	Galsulfase	FALSE	Galsulfase
		GANCICLOVIR (GANCICLOVIR SODIUM)	GANCICLOVIR (GANCICLOVIR SODIUM)	FALSE	GANCICLOVIR (GANCICLOVIR SODIUM)
		GANIRELIX (GANIRELIX ACETATE)	GANIRELIX (GANIRELIX ACETATE)	FALSE	GANIRELIX (GANIRELIX ACETATE)
		GATIFLOXACIN	GATIFLOXACIN	FALSE	GATIFLOXACIN
		GEFITINIB	GEFITINIB	FALSE	GEFITINIB
		GELATIN	GELATIN	FALSE	GELATIN
		GEMCITABINE (GEMCITABINE HYDROCHLORIDE)	GEMCITABINE (GEMCITABINE HYDROCHLORIDE)	FALSE	GEMCITABINE (GEMCITABINE HYDROCHLORIDE)
		GEMFIBROZIL	GEMFIBROZIL	FALSE	GEMFIBROZIL
		GENTAMICIN (GENTAMICIN SULFATE)	GENTAMICIN (GENTAMICIN SULFATE)	FALSE	GENTAMICIN (GENTAMICIN SULFATE)
		GENTIAN VIOLET	GENTIAN VIOLET	FALSE	GENTIAN VIOLET
		GLATIRAMER ACETATE	GLATIRAMER ACETATE	FALSE	GLATIRAMER ACETATE
Y	GLICLAZIDE	GLICLAZIDE	GLICLAZIDE	FALSE	GLICLAZIDE
		GLIMEPIRIDE	GLIMEPIRIDE	FALSE	GLIMEPIRIDE
		GLUCAGON (RECOMBINANT DNA ORIGIN)	GLUCAGON (RECOMBINANT DNA ORIGIN)	FALSE	GLUCAGON (RECOMBINANT DNA ORIGIN)
		GLUCAGON (RECOMBINANT DNA ORIGIN) (GLUCAGON HYDROCHLORIDE)	GLUCAGON (RECOMBINANT DNA ORIGIN) (GLUCAGON HYDROCHLORIDE)	FALSE	GLUCAGON (RECOMBINANT DNA ORIGIN) (GLUCAGON HYDROCHLORIDE)
		GLUTAMIC ACID	GLUTAMIC ACID	FALSE	GLUTAMIC ACID
		GLUTATHIONE DISULFIDE	GLUTATHIONE DISULFIDE	FALSE	GLUTATHIONE DISULFIDE
Y	GLYBURIDE	GLYBURIDE	GLYBURIDE	FALSE	GLYBURIDE
		GLYCERINE	GLYCERINE	FALSE	GLYCERINE
