CCDD Flag,Top 250 Ingred - no multiples,DPD Medicinal Ingredient (E),Ingredient Stem,Ref / Comments
,,HAEMOPHILUS INFLUENZAE TYPE B-PRP,HAEMOPHILUS INFLUENZAE TYPE B-PRP,
,,HAEMOPHILUS INFLUENZAE TYPE B-PRP AND TETANUS TOXOID CONJUGATE (PRP-T),HAEMOPHILUS INFLUENZAE TYPE B-PRP AND TETANUS TOXOID CONJUGATE (PRP-T),
,,HALOBETASOL PROPIONATE,HALOBETASOL PROPIONATE,
Y,HALOPERIDOL,HALOPERIDOL,HALOPERIDOL,
Y,HALOPERIDOL,HALOPERIDOL (HALOPERIDOL DECANOATE),HALOPERIDOL,
,,HAMAMELIS VIRGINIANA,HAMAMELIS VIRGINIANA,
,,HELIUM,HELIUM,
,,HEPARIN (HEPARIN SODIUM),HEPARIN (HEPARIN SODIUM),
,,HEPARIN SODIUM,HEPARIN SODIUM,
,,"HEPATITIS A VACCINE, INACTIVATED","HEPATITIS A VACCINE, INACTIVATED",
,,HEPATITIS B IMMUNE GLOBULIN HUMAN,HEPATITIS B IMMUNE GLOBULIN HUMAN,
,,HEPATITIS B SURFACE ANTIGEN (RECOMBINANT),HEPATITIS B SURFACE ANTIGEN (RECOMBINANT),
,,HEXYLRESORCINOL,HEXYLRESORCINOL,
,,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE,
,,HISTIDINE,HISTIDINE,
,,HOMOSALATE,HOMOSALATE,
,,HONEY BEE VENOM PROTEIN,HONEY BEE VENOM PROTEIN,
,,HUMAN PLASMA PROTEINS,HUMAN PLASMA PROTEINS,
,,HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G1,HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G1,
,,HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G2,HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G2,
,,HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G3,HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G3,
,,HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G4,HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G4,
,,HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE P1(8),HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE P1(8),
,,HYDRALAZINE HYDROCHLORIDE,HYDRALAZINE HYDROCHLORIDE,
Y,HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,
,,HYDROCODONE,HYDROCODONE,
,,HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE,
Y,HYDROCORTISONE,HYDROCORTISONE,HYDROCORTISONE,
Y,HYDROCORTISONE,HYDROCORTISONE (HYDROCORTISONE ACETATE),HYDROCORTISONE,
Y,HYDROCORTISONE,HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE),HYDROCORTISONE,
Y,HYDROCORTISONE,HYDROCORTISONE ACETATE,HYDROCORTISONE,
Y,HYDROCORTISONE,HYDROCORTISONE VALERATE,HYDROCORTISONE,
Y,HYDROMORPHONE,HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE,
,,HYDROQUINONE,HYDROQUINONE,
,,HYDROXOCOBALAMIN,HYDROXOCOBALAMIN,
Y,HYDROXYCHLOROQUINE,HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE,
,,HYDROXYETHYL STARCH 130/0.4,HYDROXYETHYL STARCH 130/0.4,
,,HYDROXYUREA,HYDROXYUREA,
Y,HYDROXYZINE,HYDROXYZINE HYDROCHLORIDE,HYDROXYZINE,
,,HYOSCINE BUTYLBROMIDE,HYOSCINE BUTYLBROMIDE,
,,HYPROLOSE,HYPROLOSE,
,,HYPROMELLOSE,HYPROMELLOSE,
,,Hexaminolevulinate hydrochloride,Hexaminolevulinate hydrochloride,
Y,IBUPROFEN,IBUPROFEN,IBUPROFEN,
,,ICATIBANT (ICATIBANT ACETATE),ICATIBANT (ICATIBANT ACETATE),
,,ICODEXTRIN,ICODEXTRIN,
,,IDARUBICIN HYDROCHLORIDE,IDARUBICIN HYDROCHLORIDE,
,,IDARUCIZUMAB,IDARUCIZUMAB,
,,IDOXURIDINE,IDOXURIDINE,
,,IDURSULFASE,IDURSULFASE,
,,IFOSFAMIDE,IFOSFAMIDE,
,,IMATINIB (IMATINIB MESYLATE),IMATINIB (IMATINIB MESYLATE),
,,IMIGLUCERASE,IMIGLUCERASE,
,,IMIPENEM,IMIPENEM,
,,IMIPRAMINE HYDROCHLORIDE,IMIPRAMINE HYDROCHLORIDE,
,,IMIQUIMOD,IMIQUIMOD,
,,IMMUNE GLOBULIN (HUMAN),IMMUNE GLOBULIN (HUMAN),
,,INACT.JAPANESE ENCEPHAL VIRUS(ATTENUAT. STRAIN SA14-14-2 PRODUCED IN VERO CELLS),INACT.JAPANESE ENCEPHAL VIRUS(ATTENUAT. STRAIN SA14-14-2 PRODUCED IN VERO CELLS),
,,INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 1 MAHONEY,INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 1 MAHONEY,
,,INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 2 MEF1,INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 2 MEF1,
,,INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 3 SAUKETT,INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 3 SAUKETT,
,,INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 1 MAHONEY,INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 1 MAHONEY,
,,INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 2 MEF1,INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 2 MEF1,
,,INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 3 SAUKETT,INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 3 SAUKETT,
,,INACTIVATED POLIOVIRUS TYPE I,INACTIVATED POLIOVIRUS TYPE I,
,,INACTIVATED POLIOVIRUS TYPE II,INACTIVATED POLIOVIRUS TYPE II,
,,INACTIVATED POLIOVIRUS TYPE III,INACTIVATED POLIOVIRUS TYPE III,
Y,INDAPAMIDE,INDAPAMIDE,INDAPAMIDE,
,,INDIGO CARMINE,INDIGO CARMINE,
,,INDOCYANINE GREEN,INDOCYANINE GREEN,
Y,INDOMETHACIN,INDOMETHACIN,INDOMETHACIN,
,,INFLIXIMAB,INFLIXIMAB,
,,INOSINE PRANOBEX,INOSINE PRANOBEX,
,,INOSITOL,INOSITOL,
,,INSULIN,INSULIN,
Y,INSULIN ASPART,INSULIN ASPART,INSULIN ASPART,
,,INSULIN ASPART PROTAMINE,INSULIN ASPART PROTAMINE,
,,INSULIN BIOSYNTHETIC HUMAN BR,INSULIN BIOSYNTHETIC HUMAN BR,
Y,INSULIN DETEMIR,INSULIN DETEMIR,INSULIN DETEMIR,
Y,INSULIN GLARGINE,INSULIN GLARGINE,INSULIN GLARGINE,
,,INSULIN GLULISINE (RECOMBINANT DNA ORIGIN),INSULIN GLULISINE (RECOMBINANT DNA ORIGIN),
,,INSULIN INJECTION HUMAN BIOSYNTHETIC,INSULIN INJECTION HUMAN BIOSYNTHETIC,
Y,HUMAN INSULIN ISOPHANE,INSULIN INJECTION PORK,INSULIN INJECTION PORK,
Y,HUMAN INSULIN!HUMAN INSULIN ISOPHANE,INSULIN ISOPHANE (NPH),INSULIN ISOPHANE (NPH),
,,INSULIN ISOPHANE HUMAN BIOSYNTHETIC,INSULIN ISOPHANE HUMAN BIOSYNTHETIC,
,,INSULIN ISOPHANE INJECTION PORK,INSULIN ISOPHANE INJECTION PORK,
Y,INSULIN LISPRO,INSULIN LISPRO,INSULIN LISPRO,
,,INSULIN LISPRO PROTAMINE SUSPENSION,INSULIN LISPRO PROTAMINE SUSPENSION,
,,INSULIN NPH HUMAN DNA ORIGIN,INSULIN NPH HUMAN DNA ORIGIN,
,,INSULIN SEMI SYNTHETIC HUMAN,INSULIN SEMI SYNTHETIC HUMAN,
,,INTERFERON ALFA-2B,INTERFERON ALFA-2B,
,,INTERFERON BETA-1A,INTERFERON BETA-1A,
,,INTERFERON BETA-1B,INTERFERON BETA-1B,
,,IODIDE (SODIUM IODIDE),IODIDE (SODIUM IODIDE),
,,IODINE,IODINE,
,,IODINE (ETHIODIZED OIL),IODINE (ETHIODIZED OIL),
,,IODINE (POTASSIUM IODIDE),IODINE (POTASSIUM IODIDE),
,,IODINE (SODIUM IODIDE),IODINE (SODIUM IODIDE),
,,IODIXANOL,IODIXANOL,
,,IODOFORM,IODOFORM,
,,IOHEXOL,IOHEXOL,
,,IOPAMIDOL,IOPAMIDOL,
,,IOPROMIDE,IOPROMIDE,
,,IOTHALAMATE MEGLUMINE,IOTHALAMATE MEGLUMINE,
,,IOVERSOL,IOVERSOL,
Y,IPRATROPIUM,IPRATROPIUM BROMIDE,IPRATROPIUM,
Y,IPRATROPIUM,IPRATROPIUM BROMIDE (IPRATROPIUM BROMIDE MONOHYDRATE),IPRATROPIUM,
Y,IRBESARTAN,IRBESARTAN,IRBESARTAN,
,,IRINOTECAN HYDROCHLORIDE,IRINOTECAN HYDROCHLORIDE,
,,IRINOTECAN HYDROCHLORIDE (IRINOTECAN HYDROCHLORIDE TRIHYDRATE),IRINOTECAN HYDROCHLORIDE (IRINOTECAN HYDROCHLORIDE TRIHYDRATE),
,,IRON (FERROUS FUMARATE),IRON (FERROUS FUMARATE),
,,IRON (IRON DEXTRAN COMPLEX),IRON (IRON DEXTRAN COMPLEX),
,,IRON (IRON SUCROSE),IRON (IRON SUCROSE),
,,IRON (SODIUM FERRIC GLUCONATE COMPLEX IN SUCROSE INJECTION),IRON (SODIUM FERRIC GLUCONATE COMPLEX IN SUCROSE INJECTION),
,,ISOFLURANE,ISOFLURANE,
,,ISOLEUCINE,ISOLEUCINE,
,,ISONIAZID,ISONIAZID,
,,ISOPROPYL ALCOHOL,ISOPROPYL ALCOHOL,
,,ISOPROPYL MYRISTATE,ISOPROPYL MYRISTATE,
,,ISOPROTERENOL HYDROCHLORIDE,ISOPROTERENOL HYDROCHLORIDE,
Y,ISOSORBIDE-5-MONONITRATE,ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE,
Y,ISOSORBIDE-5-MONONITRATE,ISOSORBIDE-5-MONONITRATE,ISOSORBIDE-5-MONONITRATE,
,,ISOTRETINOIN,ISOTRETINOIN,
,,ITRACONAZOLE,ITRACONAZOLE,
,,IVABRADINE (IVABRADINE HYDROCHLORIDE),IVABRADINE (IVABRADINE HYDROCHLORIDE),
,,IVACAFTOR,IVACAFTOR,
,,IVERMECTIN,IVERMECTIN,
,,IXAZOMIB (IXAZOMIB CITRATE),IXAZOMIB (IXAZOMIB CITRATE),
,,IXEKIZUMAB,IXEKIZUMAB,
,,Ibrutinib,Ibrutinib,
,,Idelalisib,Idelalisib,
,,IncobotulinumtoxinA,IncobotulinumtoxinA,
,,Indacaterol (Indacaterol Maleate),Indacaterol (Indacaterol Maleate),
,,Influenza Virus Type A (H1N1),Influenza Virus Type A (H1N1),
,,Influenza Virus Type A (H3N2),Influenza Virus Type A (H3N2),
,,Influenza virus type B (Victoria),Influenza virus type B (Victoria),
,,Influenza virus type B (Yamagata),Influenza virus type B (Yamagata),
,,Ingenol Mebutate,Ingenol Mebutate,
,,Ipilimumab,Ipilimumab,
,,KETAMINE (KETAMINE HYDROCHLORIDE),KETAMINE (KETAMINE HYDROCHLORIDE),
,,KETOCONAZOLE,KETOCONAZOLE,
,,KETOPROFEN,KETOPROFEN,
Y,KETOROLAC,KETOROLAC TROMETHAMINE,KETOROLAC ,SRS
,,KETOTIFEN (KETOTIFEN FUMARATE),KETOTIFEN (KETOTIFEN FUMARATE),
,,KETOTIFEN FUMARATE,KETOTIFEN FUMARATE,
,,L-ALANINE,L-ALANINE,
,,L-ARGININE,L-ARGININE,
,,L-ASPARTIC ACID,L-ASPARTIC ACID,
,,L-CYSTEINE,L-CYSTEINE,
,,L-CYSTEINE (L-CYSTEINE HYDROCHLORIDE),L-CYSTEINE (L-CYSTEINE HYDROCHLORIDE),
,,L-ISOLEUCINE,L-ISOLEUCINE,
,,L-LEUCINE,L-LEUCINE,
,,L-LEUCINE HYDROCHLORIDE,L-LEUCINE HYDROCHLORIDE,
,,L-LYSINE,L-LYSINE,
,,L-LYSINE (L-LYSINE ACETATE),L-LYSINE (L-LYSINE ACETATE),
,,L-LYSINE (L-LYSINE HYDROCHLORIDE),L-LYSINE (L-LYSINE HYDROCHLORIDE),
,,L-LYSINE (LYSINE ACETATE),L-LYSINE (LYSINE ACETATE),
,,L-LYSINE HYDROCHLORIDE,L-LYSINE HYDROCHLORIDE,
,,L-MENTHOL,L-MENTHOL,
,,L-ORNITHINE DIHYDROCHLORIDE,L-ORNITHINE DIHYDROCHLORIDE,
,,L-PHENYLALANINE,L-PHENYLALANINE,
,,L-PHENYLALANINE HYDROCHLORIDE,L-PHENYLALANINE HYDROCHLORIDE,
,,L-PROLINE,L-PROLINE,
,,L-THREONINE,L-THREONINE,
,,L-TYROSINE,L-TYROSINE,
,,L-VALINE,L-VALINE,
,,LABETALOL HYDROCHLORIDE,LABETALOL HYDROCHLORIDE,
,,LACOSAMIDE,LACOSAMIDE,
,,LACTIC ACID,LACTIC ACID,
,,LACTULOSE,LACTULOSE,
,,LAMIVUDINE,LAMIVUDINE,
Y,LAMOTRIGINE,LAMOTRIGINE,LAMOTRIGINE,
,,LANOLIN,LANOLIN,
,,LANREOTIDE (LANREOTIDE ACETATE),LANREOTIDE (LANREOTIDE ACETATE),
Y,LANSOPRAZOLE,LANSOPRAZOLE,LANSOPRAZOLE,
,,LANTHANUM (LANTHANUM CARBONATE HYDRATE),LANTHANUM (LANTHANUM CARBONATE HYDRATE),
,,LAPATINIB (LAPATINIB DITOSYLATE MONOHYDRATE),LAPATINIB (LAPATINIB DITOSYLATE MONOHYDRATE),
,,LARONIDASE,LARONIDASE,
Y,LATANOPROST,LATANOPROST,LATANOPROST,
,,LEFLUNOMIDE,LEFLUNOMIDE,
,,LENALIDOMIDE,LENALIDOMIDE,
,,LENVATINIB (LENVATINIB MESYLATE),LENVATINIB (LENVATINIB MESYLATE),
,,LETROZOLE,LETROZOLE,
,,LEUCINE,LEUCINE,
,,LEUCOVORIN (LEUCOVORIN CALCIUM),LEUCOVORIN (LEUCOVORIN CALCIUM),
,,LEUPROLIDE ACETATE,LEUPROLIDE ACETATE,
Y,LEVETIRACETAM,LEVETIRACETAM,LEVETIRACETAM,
,,LEVOBUNOLOL HYDROCHLORIDE,LEVOBUNOLOL HYDROCHLORIDE,
,,LEVOCABASTINE (LEVOCABASTINE HYDROCHLORIDE),LEVOCABASTINE (LEVOCABASTINE HYDROCHLORIDE),
,,LEVOCARNITINE,LEVOCARNITINE,
Y,LEVODOPA,LEVODOPA,LEVODOPA,
Y,LEVOFLOXACIN,LEVOFLOXACIN,LEVOFLOXACIN,
Y,LEVOFLOXACIN,LEVOFLOXACIN (LEVOFLOXACIN HEMIHYDRATE),LEVOFLOXACIN,
,,LEVOMILNACIPRAN (LEVOMILNACIPRAN HYDROCHLORIDE),LEVOMILNACIPRAN (LEVOMILNACIPRAN HYDROCHLORIDE),
Y,LEVONORGESTREL,LEVONORGESTREL,LEVONORGESTREL,
Y,LEVOTHYROXINE,LEVOTHYROXINE SODIUM,LEVOTHYROXINE,
,,LIDOCAINE,LIDOCAINE,
,,LIDOCAINE (LIDOCAINE HYDROCHLORIDE),LIDOCAINE (LIDOCAINE HYDROCHLORIDE),
,,LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,
,,LIDOCAINE HYDROCHLORIDE (LIDOCAINE HYDROCHLORIDE MONOHYDRATE),LIDOCAINE HYDROCHLORIDE (LIDOCAINE HYDROCHLORIDE MONOHYDRATE),
,,LINAGLIPTIN,LINAGLIPTIN,
,,LINEZOLID,LINEZOLID,
,,LIOTHYRONINE (LIOTHYRONINE SODIUM),LIOTHYRONINE (LIOTHYRONINE SODIUM),
,,LIPASE,LIPASE,
,,LIRAGLUTIDE,LIRAGLUTIDE,
Y,LISDEXAMFETAMINE,LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,
Y,LISINOPRIL,LISINOPRIL,LISINOPRIL,
Y,LISINOPRIL,LISINOPRIL (LISINOPRIL DIHYDRATE),LISINOPRIL ,
Y,LITHIUM,LITHIUM (LITHIUM CITRATE),LITHIUM (LITHIUM CITRATE),
Y,LITHIUM,LITHIUM CARBONATE,LITHIUM CARBONATE,
,,LOMUSTINE,LOMUSTINE,
,,LOPERAMIDE HYDROCHLORIDE,LOPERAMIDE HYDROCHLORIDE,
,,LOPINAVIR,LOPINAVIR,
,,LORATADINE,LORATADINE,
Y,LORAZEPAM,LORAZEPAM,LORAZEPAM,
Y,LOSARTAN,LOSARTAN POTASSIUM,LOSARTAN,
,,LOTEPREDNOL ETABONATE,LOTEPREDNOL ETABONATE,
,,LOVASTATIN,LOVASTATIN,
,,LOXAPINE (LOXAPINE HYDROCHLORIDE),LOXAPINE (LOXAPINE HYDROCHLORIDE),
,,LOXAPINE (LOXAPINE SUCCINATE),LOXAPINE (LOXAPINE SUCCINATE),
,,LUMACAFTOR,LUMACAFTOR,
,,LUTROPIN ALFA,LUTROPIN ALFA,
,,LYMPHOCYTE IMMUNE GLOBULIN ANTI-THYMOCYTE GLOBULIN (EQUINE),LYMPHOCYTE IMMUNE GLOBULIN ANTI-THYMOCYTE GLOBULIN (EQUINE),
,,LYSINE (L-LYSINE ACETATE),LYSINE (L-LYSINE ACETATE),
,,LYSINE (L-LYSINE HYDROCHLORIDE),LYSINE (L-LYSINE HYDROCHLORIDE),
,,LYSINE (LYSINE ACETATE),LYSINE (LYSINE ACETATE),
,,LYSINE (LYSINE MONOHYDROCHLORIDE),LYSINE (LYSINE MONOHYDROCHLORIDE),
,,Ledipasvir,Ledipasvir,
,,Levomefolate Calcium,Levomefolate Calcium,
,,Linaclotide,Linaclotide,
,,Lomitapide (Lomitapide Mesylate),Lomitapide (Lomitapide Mesylate),
,,Lurasidone Hydrochloride,Lurasidone Hydrochloride,
,,MACITENTAN,MACITENTAN,
,,MACROGOL,MACROGOL,
,,MAGNESIUM (MAGNESIUM OXIDE),MAGNESIUM (MAGNESIUM OXIDE),
,,MAGNESIUM ACETATE,MAGNESIUM ACETATE,
,,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,
,,MAGNESIUM HYDROXIDE,MAGNESIUM HYDROXIDE,
,,MAGNESIUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL),MAGNESIUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL),
,,MAGNESIUM OXIDE,MAGNESIUM OXIDE,
,,MAGNESIUM SULFATE,MAGNESIUM SULFATE,
,,MANGANESE (MANGANESE GLUCONATE),MANGANESE (MANGANESE GLUCONATE),
,,MANGANESE (MANGANESE SULFATE),MANGANESE (MANGANESE SULFATE),
,,MANGANESE CHLORIDE,MANGANESE CHLORIDE,
,,MANNITOL,MANNITOL,
,,MAPROTILINE HYDROCHLORIDE,MAPROTILINE HYDROCHLORIDE,
,,MARAVIROC,MARAVIROC,
,,MEASLES VIRUS VACCINE LIVE ATTENUATED,MEASLES VIRUS VACCINE LIVE ATTENUATED,
,,MEASLES VIRUS VACCINE LIVE ATTENUATED (EDMONSTON B STRAIN),MEASLES VIRUS VACCINE LIVE ATTENUATED (EDMONSTON B STRAIN),
,,MEBENDAZOLE,MEBENDAZOLE,
,,MEDIUM CHAIN TRIGLYCERIDES (MCT),MEDIUM CHAIN TRIGLYCERIDES (MCT),
Y,MEDROXYPROGESTERONE,MEDROXYPROGESTERONE ACETATE,MEDROXYPROGESTERONE,
,,MEFENAMIC ACID,MEFENAMIC ACID,
,,MEFLOQUINE (MEFLOQUINE HYDROCHLORIDE),MEFLOQUINE (MEFLOQUINE HYDROCHLORIDE),
,,MEGESTROL ACETATE,MEGESTROL ACETATE,
,,MEGLUMINE IODIPAMIDE,MEGLUMINE IODIPAMIDE,
,,MEGLUMINE IOXITALAMATE,MEGLUMINE IOXITALAMATE,
Y,MELOXICAM,MELOXICAM,MELOXICAM,
,,MELPHALAN (MELPHALAN HYDROCHLORIDE),MELPHALAN (MELPHALAN HYDROCHLORIDE),
,,MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,
,,MENINGOCOCCAL GROUP A OLIGOSACCHARIDE,MENINGOCOCCAL GROUP A OLIGOSACCHARIDE,
,,MENINGOCOCCAL GROUP C OLIGOSACCHARIDE,MENINGOCOCCAL GROUP C OLIGOSACCHARIDE,
,,MENINGOCOCCAL GROUP W-135 OLIGOSACCHARIDE,MENINGOCOCCAL GROUP W-135 OLIGOSACCHARIDE,
,,MENINGOCOCCAL GROUP Y OLIGOSACCHARIDE,MENINGOCOCCAL GROUP Y OLIGOSACCHARIDE,
,,MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP A,MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP A,
,,MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C,MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C,
,,MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP W-135,MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP W-135,
,,MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y,MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y,
,,MENINGOCOCCAL POLYSACCHARIDE VACCINE GRP C,MENINGOCOCCAL POLYSACCHARIDE VACCINE GRP C,
,,"MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP A","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP A",
,,"MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP C","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP C",
,,"MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP W 135","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP W 135",
,,"MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP Y","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP Y",
,,MENOTROPINS,MENOTROPINS,
,,MENTHOL,MENTHOL,
,,MEPERIDINE (MEPERIDINE HYDROCHLORIDE),MEPERIDINE (MEPERIDINE HYDROCHLORIDE),
,,MEPERIDINE HYDROCHLORIDE,MEPERIDINE HYDROCHLORIDE,
,,MEPIVACAINE HYDROCHLORIDE,MEPIVACAINE HYDROCHLORIDE,
,,MEPOLIZUMAB,MEPOLIZUMAB,
,,MERADIMATE,MERADIMATE,
,,MERCAPTOPURINE,MERCAPTOPURINE,
,,MEROPENEM,MEROPENEM,
,,MEROPENEM (MEROPENEM TRIHYDRATE),MEROPENEM (MEROPENEM TRIHYDRATE),
,,MESALAZINE,MESALAZINE,
,,MESNA,MESNA,
Y,METFORMIN,METFORMIN HYDROCHLORIDE,METFORMIN,
,,METHACHOLINE CHLORIDE,METHACHOLINE CHLORIDE,
Y,METHADONE,METHADONE HYDROCHLORIDE,METHADONE,
,,METHAZOLAMIDE,METHAZOLAMIDE,
,,METHENAMINE MANDELATE,METHENAMINE MANDELATE,
,,METHIONINE,METHIONINE,
,,METHOCARBAMOL,METHOCARBAMOL,
Y,METHOTREXATE,METHOTREXATE,METHOTREXATE,
Y,METHOTREXATE,METHOTREXATE (METHOTREXATE SODIUM),METHOTREXATE,
,,METHOTRIMEPRAZINE (METHOTRIMEPRAZINE HYDROCHLORIDE),METHOTRIMEPRAZINE (METHOTRIMEPRAZINE HYDROCHLORIDE),
,,METHOTRIMEPRAZINE (METHOTRIMEPRAZINE MALEATE),METHOTRIMEPRAZINE (METHOTRIMEPRAZINE MALEATE),
,,METHOXSALEN,METHOXSALEN,
,,METHYL AMINOLEVULINATE (METHYL AMINOLEVULINATE HYDROCHLORIDE),METHYL AMINOLEVULINATE (METHYL AMINOLEVULINATE HYDROCHLORIDE),
,,METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL,METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL,
,,METHYLDOPA,METHYLDOPA,
,,METHYLENE BLUE,METHYLENE BLUE,
,,METHYLNALTREXONE BROMIDE,METHYLNALTREXONE BROMIDE,
Y,METHYLPHENIDATE,METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE,
,,METHYLPREDNISOLONE,METHYLPREDNISOLONE,
,,METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE),METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE),
,,METHYLPREDNISOLONE ACETATE,METHYLPREDNISOLONE ACETATE,
Y,METOCLOPRAMIDE,METOCLOPRAMIDE HYDROCHLORIDE,METOCLOPRAMIDE,
,,METOLAZONE,METOLAZONE,
Y,METOPROLOL,METOPROLOL TARTRATE,METOPROLOL ,
Y,METRONIDAZOLE,METRONIDAZOLE,METRONIDAZOLE,
,,MICAFUNGIN SODIUM,MICAFUNGIN SODIUM,
,,MICONAZOLE NITRATE,MICONAZOLE NITRATE,
,,MIDAZOLAM,MIDAZOLAM,
,,MIDAZOLAM (MIDAZOLAM HYDROCHLORIDE),MIDAZOLAM (MIDAZOLAM HYDROCHLORIDE),
,,MIDODRINE HYDROCHLORIDE,MIDODRINE HYDROCHLORIDE,
,,MIFEPRISTONE,MIFEPRISTONE,
,,MIGLUSTAT,MIGLUSTAT,
,,MILRINONE (MILRINONE LACTATE),MILRINONE (MILRINONE LACTATE),
,,MINERAL OIL,MINERAL OIL,
,,MINERAL OIL LIGHT,MINERAL OIL LIGHT,
Y,MINOCYCLINE,MINOCYCLINE (MINOCYCLINE HYDROCHLORIDE),MINOCYCLINE,
,,MINOXIDIL,MINOXIDIL,
Y,MIRTAZAPINE,MIRTAZAPINE,MIRTAZAPINE,
Y,MISOPROSTOL,MISOPROSTOL,MISOPROSTOL,
,,MITOMYCIN,MITOMYCIN,
,,MITOTANE,MITOTANE,
,,MITOXANTRONE (MITOXANTRONE HYDROCHLORIDE),MITOXANTRONE (MITOXANTRONE HYDROCHLORIDE),
,,MOCLOBEMIDE,MOCLOBEMIDE,
,,MODAFINIL,MODAFINIL,
,,MODIFIED RAGWEED TYROSINE ADSORBATE,MODIFIED RAGWEED TYROSINE ADSORBATE,
Y,MOMETASONE,MOMETASONE FUROATE,MOMETASONE ,
Y,MOMETASONE,MOMETASONE FUROATE (MOMETASONE FUROATE MONOHYDRATE),MOMETASONE,
Y,MONTELUKAST,MONTELUKAST (MONTELUKAST SODIUM),MONTELUKAST,
,,MOROCTOCOG ALFA,MOROCTOCOG ALFA,
Y,MORPHINE,MORPHINE HYDROCHLORIDE,MORPHINE,
Y,MORPHINE,MORPHINE SULFATE,MORPHINE,
Y,MOXIFLOXACIN,MOXIFLOXACIN (MOXIFLOXACIN HYDROCHLORIDE),MOXIFLOXACIN ,
,,MUMPS VIRUS VACCINE LIVE ATTENUATED (JERYL LYNN STRAIN),MUMPS VIRUS VACCINE LIVE ATTENUATED (JERYL LYNN STRAIN),
,,MUPIROCIN,MUPIROCIN,
