"ntp_dosage_form_code","ntp_dosage_form","route_of_administration_code","route_of_administration","route_of_administration_f","pharm_form_code","pharmaceutical_form","pharmaceutical_form_f","ntp_dosage_form_fr"
"40016","powder for suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire,Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intraveineuse,Sous-cutanée","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intraveineuse,Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire,Sous-cutanée","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire,Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","31-49-65","INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS","Intrathécale,Intraveineuse,Sous-cutanée","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","31-49-65","INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS","Intrathécale,Intraveineuse,Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","49","INTRAVENOUS","Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","49-65","INTRAVENOUS, SUBCUTANEOUS","Intraveineuse,Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","65","SUBCUTANEOUS","Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40021","pressurized inhalation","29","INHALATION","Inhalation","162","AEROSOL, METERED DOSE","Aérosol, dose mesurée","inhalation en flacon pressurisé"
"40021","pressurized inhalation","29","INHALATION","Inhalation","1","METERED-DOSE AEROSOL","Aérosol à dose mesurée","inhalation en flacon pressurisé"
"40021","pressurized inhalation","29-56","INHALATION, ORAL","Inhalation,Orale","1","METERED-DOSE AEROSOL","Aérosol à dose mesurée","inhalation en flacon pressurisé"
"40021","pressurized inhalation","56","ORAL","Orale","1","METERED-DOSE AEROSOL","Aérosol à dose mesurée","inhalation en flacon pressurisé"
"40055","prolonged-release eye drops","55","OPHTHALMIC","Ophtalmique","101","SOLUTION (LONG-ACTING)","","gouttes ophtalmiques à libération prolongée"
"40062","prolonged-release oral capsule","56","ORAL","Orale","141","CAPSULE (EXTENDED RELEASE)","Capsule (à libération prolongée)","capsule orale à libération prolongée"
"40062","prolonged-release oral capsule","56","ORAL","Orale","68","CAPSULE (SUSTAINED-RELEASE)","Capsule (à libération prolongée","capsule orale à libération prolongée"
"40083","prolonged-release oral tablet","56","ORAL","Orale","75","TABLET (EXTENDED-RELEASE)","Comprimé (à libération prolongée)","comprimé oral à libération prolongée"
"40103","prolonged-release periodontal powder","89","SUBGINGIVAL","Sous-gingivale","152","POWDER (EXTENDED RELEASE)","Poudre (à libération prolongée)","poudre périodontale à libération prolongée"
"40020","prolonged-release suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale,Intramusculaire,Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale,Intraveineuse,Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intracavitaire,Intramusculaire,Intraveineuse,Intraventriculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse,Intraventriculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intradermique,Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intradermique,Intralésionnelle,Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","Intra-articulaire,Intralésionnelle,Intramusculaire,Intrasynoviale","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intralésionnelle,Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","Intra-articulaire,Intralésionnelle,Intramusculaire,Intraveineuse,Injection dans les tissus mous","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire,Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire,Intramusculaire,Intrasynoviale,Injection dans les tissus mous","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire,Intramusculaire,Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque,Intramusculaire,Intratrachéale,Intraveineuse,Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","22","INTRAMUSCULAR","Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapéritonéale,Intraveineuse,Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapleurale,Intraveineuse,Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire,Intrasynoviale,Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire,Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intraveineuse,Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire,Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40020","prolonged-release suspension for injection","31-49-65","INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS","Intrathécale,Intraveineuse,Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)","suspension injectable à libération prolongée"
"40099","rectal cream","62","RECTAL","Rectale","9","CREAM","Crème","crème rectale"
"40091","rectal foam","62","RECTAL","Rectale","2","AEROSOL","Aérosol","mousse rectale"
"40091","rectal foam","62","RECTAL","Rectale","166","AEROSOL, FOAM","Aérosol, mousse","mousse rectale"
"40093","rectal gel","62","RECTAL","Rectale","114","GEL","Gel","gel rectal"
"40093","rectal gel","62-70","RECTAL, TOPICAL","Rectale,Topique","114","GEL","Gel","gel rectal"
"40092","rectal liquid","62","RECTAL","Rectale","20","ENEMA","Lavement","liquide rectal"
"40095","rectal ointment","62","RECTAL","Rectale","43","OINTMENT","Pommade","pommade rectale"
"40095","rectal ointment","62-70","RECTAL, TOPICAL","Rectale,Topique","43","OINTMENT","Pommade","pommade rectale"
"40094","rectal solution","62","RECTAL","Rectale","34","LIQUID","Liquide","solution rectale"
"40098","rectal suspension","62","RECTAL","Rectale","79","SUSPENSION","Suspension","suspension rectale"
"40140","ring (slow release)","74","VAGINAL","Vaginale","104","RING (SLOW-RELEASE)","Anneau (à libération lente)","anneau à libération lente"
"40032","solution for cardioplegia","39","INSTILLATION","Instillation","134","SOLUTION","Solution","solution de cardioplégie"
"40013","solution for haemodialysis","6","DIALYSIS","Dialyse","34","LIQUID","Liquide","solution pour hémodialyse"
"40013","solution for haemodialysis","6","DIALYSIS","Dialyse","134","SOLUTION","Solution","solution pour hémodialyse"
"40001","solution for injection","1","BLOCK/INFILTRATION","Bloc/Infiltration","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","1","BLOCK/INFILTRATION","Bloc/Infiltration","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","1-7","BLOCK/INFILTRATION, EPIDURAL","Bloc/Infiltration,Épidurale","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","1-7","BLOCK/INFILTRATION, EPIDURAL","Bloc/Infiltration,Épidurale","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","7","EPIDURAL","Épidurale","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","7","EPIDURAL","Épidurale","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","7-4","EPIDURAL, INTRACAUDAL","Épidurale,Intracaudale","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale,Intramusculaire,Intraveineuse","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale,Intramusculaire,Intraveineuse","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","7-49","EPIDURAL, INTRAVENOUS","Épidurale,Intraveineuse","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","7-49","EPIDURAL, INTRAVENOUS","Épidurale,Intraveineuse","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale,Intraveineuse,Sous-cutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale,Intraveineuse,Sous-cutanée","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","7-60","EPIDURAL, RETROBULBAR","Épidurale,Rétrobulbaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","11","INTRA-AMNIOTIC","Intra-amniotique","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","12","INTRA-ARTERIAL","Intra-artérielle","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","12","INTRA-ARTERIAL","Intra-artérielle","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intracavitaire,Intramusculaire,Intraveineuse,Intraventriculaire","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intracavitaire,Intramusculaire,Intraveineuse,Intraventriculaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse,Intraventriculaire","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse,Intraventriculaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intraveineuse","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intraveineuse","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","12-49","INTRA-ARTERIAL, INTRAVENOUS","Intra-artérielle,Intraveineuse","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","12-49","INTRA-ARTERIAL, INTRAVENOUS","Intra-artérielle,Intraveineuse","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","10","INTRA-ARTICULAR","Intra-articulaire","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","10","INTRA-ARTICULAR","Intra-articulaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","10-21-22","INTRA-ARTICULAR,  INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intralésionnelle,Intramusculaire","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","10-13","INTRA-ARTICULAR, INTRABURSAL","Intra-articulaire,Intrabursique","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intradermique,Intramusculaire","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intradermique,Intramusculaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","10-13-19-42","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","Intra-articulaire,Intrabursique,Intradermique,Intrasynoviale","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","10-13-19-42","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","Intra-articulaire,Intrabursique,Intradermique,Intrasynoviale","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intramusculaire","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intramusculaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intradermique,Intralésionnelle,Intramusculaire","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intradermique,Intralésionnelle,Intramusculaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","Intra-articulaire,Intralésionnelle,Intramusculaire,Intrasynoviale","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","Intra-articulaire,Intralésionnelle,Intramusculaire,Intrasynoviale","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intralésionnelle,Intramusculaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","Intra-articulaire,Intralésionnelle,Intramusculaire,Intraveineuse,Injection dans les tissus mous","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","Intra-articulaire,Intralésionnelle,Intramusculaire,Intraveineuse,Injection dans les tissus mous","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire,Intramusculaire","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire,Intramusculaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire,Intramusculaire,Intrasynoviale,Injection dans les tissus mous","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire,Intramusculaire,Intrasynoviale,Injection dans les tissus mous","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire,Intramusculaire,Intraveineuse","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire,Intramusculaire,Intraveineuse","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","13","INTRABURSAL","Intrabursique","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","14","INTRACARDIAC","Intracardiaque","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque,Intramusculaire,Intratrachéale,Intraveineuse,Sous-cutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque,Intramusculaire,Intratrachéale,Intraveineuse,Sous-cutanée","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","14-49","INTRACARDIAC, INTRAVENOUS","Intracardiaque,Intraveineuse","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","4","INTRACAUDAL","Intracaudale","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","84","INTRACAVERNOSAL","Intracaverneuse","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","17","INTRACAVITARY","Intracavitaire","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","16","INTRACRANIAL","Intracrâniale","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","18","INTRACUTANEOUS","Intracutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","18","INTRACUTANEOUS","Intracutanée","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","18-65","INTRACUTANEOUS, SUBCUTANEOUS","Intracutanée,Sous-cutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","18-65","INTRACUTANEOUS, SUBCUTANEOUS","Intracutanée,Sous-cutanée","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","19","INTRADERMAL","Intradermique","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","19","INTRADERMAL","Intradermique","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","19-85-65","INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS","Intradermique,Percutanée,Sous-cutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","19-85-65","INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS","Intradermique,Percutanée,Sous-cutanée","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","19-65","INTRADERMAL, SUBCUTANEOUS","Intradermique,Sous-cutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","19-65","INTRADERMAL, SUBCUTANEOUS","Intradermique,Sous-cutanée","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","19-70","INTRADERMAL, TOPICAL","Intradermique,Topique","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","82","INTRAGANGLIONAL","Intraganglionnaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","21","INTRALESIONAL","Intralésionnelle","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","22","INTRAMUSCULAR","Intramusculaire","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","22","INTRAMUSCULAR","Intramusculaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapéritonéale,Intraveineuse,Sous-cutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapéritonéale,Intraveineuse,Sous-cutanée","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapleurale,Intraveineuse,Sous-cutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapleurale,Intraveineuse,Sous-cutanée","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire,Intrasynoviale,Intraveineuse","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire,Intrasynoviale,Intraveineuse","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire,Intraveineuse","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire,Intraveineuse","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intraveineuse,Sous-cutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intraveineuse,Sous-cutanée","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire,Sous-cutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire,Sous-cutanée","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","32","INTRAOCULAR","Intraoculaire","12","DROPS","Gouttes","solution injectable"
"40001","solution for injection","32","INTRAOCULAR","Intraoculaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","33-36","INTRAPERITONEAL, IRRIGATION","Intrapéritonéale,Irrigation","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","33-36","INTRAPERITONEAL, IRRIGATION","Intrapéritonéale,Irrigation","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","40","INTRASPINAL","Intrarachidienne","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","42","INTRASYNOVIAL","Intrasynoviale","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","42","INTRASYNOVIAL","Intrasynoviale","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","31","INTRATHECAL","Intrathécale","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","31-49-65","INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS","Intrathécale,Intraveineuse,Sous-cutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","31-49-65","INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS","Intrathécale,Intraveineuse,Sous-cutanée","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","48","INTRAUTERINE","Intra-utérine","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","97","INTRAVASCULAR","Intravasculaire","34","LIQUID","Liquide","solution injectable"
