"ccdd","top250name","dpd_ingredient","ing_stem","hydrate","ntp_ing","CCDD.status","Comments","DPD_Ingredient_FR","ing_stem_fr","ntp_ing_fr"
"Y","RISPERIDONE","RISPERIDONE","risperidone","FALSE","risperidone","Released","","Rispéridone","rispéridone","rispéridone"
"Y","RISPERIDONE","RISPERIDONE (RISPERIDONE TARTRATE)","risperidone","FALSE","risperidone (risperidone tartrate)","Released","","Rispéridone (Tartrate de rispéridone)","rispéridone","rispéridone (tartrate de rispéridone)"
"Y","","RITONAVIR","ritonavir","FALSE","ritonavir","Released","","Ritonavir","ritonavir","ritonavir"
"Y","","RITUXIMAB","rituximab","FALSE","rituximab","Released","","Rituximab","rituximab","rituximab"
"Y","RIVAROXABAN","RIVAROXABAN","rivaroxaban","FALSE","rivaroxaban","Released","","Rivaroxaban","rivaroxaban","rivaroxaban"
"Y","RIVASTIGMINE","RIVASTIGMINE","rivastigmine","FALSE","rivastigmine","Released","","Rivastigmine","rivastigmine","rivastigmine"
"Y","RIVASTIGMINE","RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE)","rivastigmine","FALSE","rivastigmine (rivastigmine hydrogen tartrate)","Released","","Rivastigmine (Tartrate hydrogénée de rivastigmine)","rivastigmine","rivastigmine (tartrate hydrogéné de rivastigmine)"
"Y","RIZATRIPTAN","RIZATRIPTAN (RIZATRIPTAN BENZOATE)","rizatriptan","FALSE","rizatriptan (rizatriptan benzoate)","Released","","Rizatriptan (Benzoate de rizatriptan)","rizatriptan","rizatriptan (benzoate de rizatriptan)"
"Y","","ROCURONIUM BROMIDE","rocuronium","FALSE","rocuronium bromide","Released","","Bromure de rocuronium","rocuronium","bromure de rocuronium"
"Y","","ROFLUMILAST","roflumilast","FALSE","roflumilast","Released","","Roflumilast","roflumilast","roflumilast"
"Y","","ROMIDEPSIN","romidepsin","FALSE","romidepsin","Released","","Romidepsine","romidepsine","romidepsine"
"Y","","ROMIPLOSTIM","romiplostim","FALSE","romiplostim","Released","","Romiplostim","romiplostim","romiplostim"
"Y","","ROPINIROLE (ROPINIROLE HYDROCHLORIDE)","ropinirole","FALSE","ropinirole (ropinirole hydrochloride)","Released","","Ropinirole (Chlorhydrate de ropinirole)","ropinirole","ropinirole (chlorhydrate de ropinirole)"
"Y","","ROPIVACAINE HYDROCHLORIDE","ropivacaine","FALSE","ropivacaine hydrochloride","Released","","Chlorhydrate de ropivacaïne","ropivacaïne","chlorhydrate de ropivacaïne"
"Y","ROSIGLITAZONE","ROSIGLITAZONE (ROSIGLITAZONE MALEATE)","rosiglitazone","FALSE","rosiglitazone (rosiglitazone maleate)","Released","","Rosiglitazone (Maléate de rosiglitazone)","rosiglitazone","rosiglitazone (maléate de rosiglitazone)"
"Y","ROSUVASTATIN","ROSUVASTATIN (ROSUVASTATIN CALCIUM)","rosuvastatin","FALSE","rosuvastatin (rosuvastatin calcium)","Released","","Rosuvastatine (Rosuvastatine calcique)","rosuvastatine","rosuvastatine (rosuvastatine calcique)"
"","","ROTAVIRUS VACCINE (RIX4414 STRAIN), LIVE, ORAL, ATTENUATED (HUMAN)","rotavirus vaccine (rix4414 strain), live, oral, attenuated (human)","FALSE","rotavirus vaccine (rix4414 strain), live, oral, attenuated (human)","Immunologic","","Vaccin antirotavirus (souche rix4414), vivant, oral, atténué (humain)","rotavirus vaccine (rix4414 strain), live, oral, attenuated (human)","rotavirus vaccine (rix4414 strain), live, oral, attenuated (human)"
"Y","","ROTIGOTINE","rotigotine","FALSE","rotigotine","Released","","Rotigotine","rotigotine","rotigotine"
"","","RUBELLA VIRUS VACCINE LIVE ATTENUATED (WISTAR RA27/3 STRAIN)","rubella virus vaccine live attenuated (wistar ra27/3 strain)","FALSE","rubella virus vaccine live attenuated (wistar ra27/3 strain)","Immunologic","","Vaccin antirubéoleux vivant atténué (souche wistar ra27/3)","rubella virus vaccine live attenuated (wistar ra27/3 strain)","rubella virus vaccine live attenuated (wistar ra27/3 strain)"
"Y","","RUFINAMIDE","rufinamide","FALSE","rufinamide","Released","","Rufinamide","rufinamide","rufinamide"
"Y","","RUPATADINE (RUPATADINE FUMARATE)","rupatadine","FALSE","rupatadine (rupatadine fumarate)","Released","","Rupatadine (Fumarate de rupatadine)","rupatadine","rupatadine (fumarate de rupatadine)"
"Y","","RUXOLITINIB (RUXOLITINIB PHOSPHATE)","ruxolitinib","FALSE","ruxolitinib (ruxolitinib phosphate)","Released","","Ruxolitinib (Phosphate de Ruxolitinib)","ruxolitinib","ruxolitinib (phosphate de ruxolitinib)"
"Y","","SACUBITRIL (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX)","sacubitril","FALSE","sacubitril (sacubitril valsartan sodium hydrate complex)","Released","","Sacubitril (Complexe sodique hydraté de sacubitril/valsartan)","sacubitril","sacubitril (complexe sodique hydraté de sacubitril et valsartan)"
"Y","SALBUTAMOL","SALBUTAMOL","salbutamol","FALSE","salbutamol","Released","","Salbutamol","salbutamol","salbutamol"
"Y","SALBUTAMOL","SALBUTAMOL (SALBUTAMOL SULFATE)","salbutamol","FALSE","salbutamol (salbutamol sulfate)","Released","","Salbutamol (Sulfate de salbutamol)","salbutamol","salbutamol (sulfate de salbutamol)"
"Y","","SALICYLIC ACID","salicylic acid","FALSE","salicylic acid","Released","Combinations only","Acide salicylique","acide salicylique","acide salicylique"
"Y","SALMETEROL","SALMETEROL (SALMETEROL XINAFOATE)","salmeterol","FALSE","salmeterol (salmeterol xinafoate)","Released","","Salmétérol (Xinafoate de salmétérol)","salmétérol","salmétérol (xinafoate de salmétérol)"
"","","SALMONELLA TYPHI VI CAPSULAR POLYSACCHARIDE VACCINE","salmonella typhi vi capsular polysaccharide vaccine","FALSE","salmonella typhi vi capsular polysaccharide vaccine","Immunologic","","Vaccin polysaccharidique capsulaire vi contre salmonella typhi","salmonella typhi vi capsular polysaccharide vaccine","salmonella typhi vi capsular polysaccharide vaccine"
"Y","","SAPROPTERIN DIHYDROCHLORIDE","sapropterin","FALSE","sapropterin dihydrochloride","Released","","Dichlorhydrate de saproptérine","saproptérine","dichlorhydrate de saproptérine"
"Y","","SAQUINAVIR (SAQUINAVIR MESYLATE)","saquinavir","FALSE","saquinavir (saquinavir mesylate)","Released","","Saquinavir (Mésylate de saquinavir)","saquinavir","saquinavir (mésylate de saquinavir)"
"Y","","SARILUMAB","sarilumab","FALSE","sarilumab","Released","","Sarilumab","sarilumab","sarilumab"
"Y","SAXAGLIPTIN","SAXAGLIPTIN (SAXAGLIPTIN HYDROCHLORIDE)","saxagliptin","FALSE","saxagliptin (saxagliptin hydrochloride)","Released","","Saxagliptine (Chlorhydrate de saxagliptine)","saxagliptine","saxagliptine (chlorhydrate de saxagliptine)"
"Y","","SCOPOLAMINE HYDROBROMIDE","scopolamine hydrobromide","FALSE","scopolamine hydrobromide","Released","","Bromhydrate de scopolamine","bromhydrate de scopolamine","bromhydrate de scopolamine"
"","","SEALER PROTEIN (HUMAN)","sealer protein (human)","FALSE","sealer protein (human)","Haematology","","Protéine scellante (humaine)","sealer protein (human)","sealer protein (human)"
"Y","","SEBELIPASE ALFA","sebelipase alfa","FALSE","sebelipase alfa","Released","","Sébélipase alfa","sébélipase alfa","sébélipase alfa"
"Y","","SECUKINUMAB","secukinumab","FALSE","secukinumab","Released","","Secukinumab","sécukinumab","sécukinumab"
"Y","","SELEGILINE HYDROCHLORIDE","selegiline","FALSE","selegiline hydrochloride","Released","","Chlorhydrate de sélégiline","sélégiline","chlorhydrate de sélégiline"
"Y","","SELENIUM (SELENIOUS ACID)","selenium","FALSE","selenium (selenious acid)","Released","","Sélénium (Acide sélénieux)","sélénium","sélénium (acide sélénieux)"
"Y","","SELENIUM (SELENIUM HVP CHELATE)","selenium","FALSE","selenium (selenium hvp chelate)","Released","","Sélénium (Chélate de sélénium et de protéine végétale hydrolysée)","sélénium","sélénium (chélate de sélénium et de protéine végétale hydrolysée)"
"Y","","SELEXIPAG","selexipag","FALSE","selexipag","Released","","Sélexipag","sélexipag","sélexipag"
"Y","","SEMAGLUTIDE","semaglutide","FALSE","semaglutide","Released","","Sémaglutide","sémaglutide","sémaglutide"
"Y","SENNA","SENNOSIDES","sennosides","FALSE","sennosides","Released","Combination only","Sennosides","sennosides","sennosides"
"Y","SENNA","SENNOSIDES (SENNA)","sennosides","FALSE","sennosides (senna)","Released","Combination only","Sennosides (Séné)","sennosides","sennosides (séné)"
"","","SERINE","serine","FALSE","serine","TPN","","Sérine","sérine","sérine"
"Y","SERTRALINE","SERTRALINE (SERTRALINE HYDROCHLORIDE)","sertraline","FALSE","sertraline (sertraline hydrochloride)","Released","","Sertraline (Chlorhydrate de sertraline)","sertraline","sertraline (chlorhydrate de sertraline)"
"Y","","SEVELAMER CARBONATE","sevelamer","FALSE","sevelamer carbonate","Released","","Carbonate de sévélamer","sévélamer","carbonate de sévélamer"
"Y","","SEVELAMER HYDROCHLORIDE","sevelamer","FALSE","sevelamer hydrochloride","Released","","Chlorhydrate de sévélamer","sévélamer","chlorhydrate de sévélamer"
"","","SEVOFLURANE","sevoflurane","FALSE","sevoflurane","Anaesthetic","","Sévoflurane","sevoflurane","sevoflurane"
"Y","SILDENAFIL","SILDENAFIL (SILDENAFIL CITRATE)","sildenafil","FALSE","sildenafil (sildenafil citrate)","Released","","Sildénafil (Citrate de sildénafil)","sildénafil","sildénafil (citrate de sildénafil)"
"","","SILICON DIOXIDE","silicon dioxide","FALSE","silicon dioxide","Query","Toothpastes with fluoride and triclosan","Dioxyde de silicium","silicon dioxide","silicon dioxide"
"Y","","SILICONE","silicone","FALSE","silicone","Released","","Silicone","silicone","silicone"
"Y","","SILODOSIN","silodosin","FALSE","silodosin","Released","","Silodosine","silodosine","silodosine"
"Y","","SILTUXIMAB","siltuximab","FALSE","siltuximab","Released","","SILTUXIMAB","siltuximab","siltuximab"
"Y","","SILVER SULFADIAZINE","silver sulfadiazine","FALSE","silver sulfadiazine","Released","","Sulfadiazine d'argent","sulfadiazine d'argent","sulfadiazine d'argent"
"Y","","SIMEPREVIR (SIMEPREVIR SODIUM)","simeprevir","FALSE","simeprevir (simeprevir sodium)","Released","","Siméprévir (Siméprévir sodique)","siméprévir","siméprévir (siméprévir sodique)"
"Y","","SIMETHICONE","simethicone","FALSE","simethicone","Released","Combination with Ca and Mg salts and as single","Siméticone","siméticone","siméticone"
"Y","","SIMOCTOCOG ALFA","simoctocog alfa","FALSE","simoctocog alfa","Released","","SIMOCTOCOG ALFA","simoctocog alfa","simoctocog alfa"
"Y","SIMVASTATIN","SIMVASTATIN","simvastatin","FALSE","simvastatin","Released","","Simvastatine","simvastatine","simvastatine"
"Y","","SINCALIDE","sincalide","FALSE","sincalide","Released","","Sincalide","sincalide","sincalide"
"Y","","SINECATECHINS","sinecatechins","FALSE","sinecatechins","Released","","Sinécatéchines","sinécatéchines","sinécatéchines"
"Y","","SIROLIMUS","sirolimus","FALSE","sirolimus","Released","","Sirolimus","sirolimus","sirolimus"
"Y","SITAGLIPTIN","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE)","sitagliptin","TRUE","sitagliptin (sitagliptin phosphate)","Released","","Sitagliptine (Phosphate de sitagliptine monohydraté)","sitagliptine","sitagliptine (phosphate de sitagliptine)"
"Y","","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE)","sitagliptin","FALSE","sitagliptin (sitagliptin phosphate)","Released","","Sitagliptine (Phosphate de Stagliptine)","sitagliptine","sitagliptine (phosphate de sitagliptine)"
"Y","","SODIUM ACETATE","sodium acetate","FALSE","sodium acetate","","","Acétate de sodium","acétate de sodium","acétate de sodium"
"Y","","SODIUM ACETATE TRIHYDRATE","sodium acetate trihydrate","TRUE","sodium acetate trihydrate","","","Acétate de sodium trihydraté","acétate de sodium","acétate de sodium"
"Y","","SODIUM ASCORBATE","ascorbic acid","FALSE","sodium ascorbate","Released","","Ascorbate de sodium","acide ascorbique","ascorbate de sodium"
"Y","","SODIUM BICARBONATE","sodium bicarbonate","FALSE","sodium bicarbonate","Released","","Bicarbonate de sodium","bicarbonate de sodium","bicarbonate de sodium"
"Y","","SODIUM BISULFITE","sodium bisulfite","FALSE","sodium bisulfite","","","Bisulfite de sodium","bisulfite de sodium","bisulfite de sodium"
"Y","","SODIUM CARBONATE (ANHYDROUS)","sodium carbonate (anhydrous)","FALSE","sodium carbonate (anhydrous)","","","Carbonate de sodium (anhydre)","carbonate de sodium (anhydre)","carbonate de sodium (anhydre)"
"Y","","SODIUM CARBOXYMETHYL CELLULOSE","carboxymethylcellulose","FALSE","carboxymethylcellulose sodium","Released","","","carboxyméthylcellulose","carboxyméthylcellulose sodique"
"","","SODIUM CHLORIDE","sodium chloride","FALSE","sodium chloride","","","Chlorure de sodium","sodium chloride","sodium chloride"
"Y","","SODIUM CITRATE","sodium citrate","FALSE","sodium citrate","Released","","Citrate de sodium","citrate de sodium","citrate de sodium"
"Y","","SODIUM CITRATE DIHYDRATE","sodium citrate","TRUE","sodium citrate","Released","","Citrate de sodium dihydraté","citrate de sodium","citrate de sodium"
"Y","","SODIUM FLUORIDE","sodium fluoride","FALSE","sodium fluoride","Released","Combination only","Fluorure de sodium","fluorure de sodium","fluorure de sodium"
"Y","","SODIUM GLUCONATE","sodium gluconate","FALSE","sodium gluconate","","","Gluconate de sodium","gluconate de sodium","gluconate de sodium"
"Y","","SODIUM GLYCEROPHOSPHATE","sodium glycerophosphate","FALSE","sodium glycerophosphate","","","Glycérophosphate de sodium","glycérophosphate de sodium","glycérophosphate de sodium"
"","","SODIUM HYPOCHLORITE","sodium hypochlorite","FALSE","sodium hypochlorite","","","Hypochlorite de sodium","sodium hypochlorite","sodium hypochlorite"
"Y","","SODIUM IODIDE","sodium iodide","FALSE","sodium iodide","","","Iodure de sodium","iodure de sodium","iodure de sodium"
"","","SODIUM IOXITALAMATE","sodium ioxitalamate","FALSE","sodium ioxitalamate","Contrast media","","Ioxytalamate de sodium","sodium ioxitalamate","sodium ioxitalamate"
"Y","","SODIUM LACTATE","sodium lactate","FALSE","sodium lactate","","1 Combination only","Lactate de sodium","lactate de sodium","lactate de sodium"
"Y","","SODIUM LAURYL SULFOACETATE","sodium lauryl sulfoacetate","FALSE","sodium lauryl sulfoacetate","Released","combination only available","Laurylsulfoacétate de sodium","laurylsulfoacétate de sodium","laurylsulfoacétate de sodium"
"Y","","SODIUM NITRITE","sodium nitrite","FALSE","sodium nitrite","","","","nitrate de sodium","nitrate de sodium"
"Y","","SODIUM NITROPRUSSIDE","nitroprusside","FALSE","sodium nitroprusside","Released","","Nitroprussiate de sodium","nitroprussiate","nitroprussiate de sodium"
"Y","","SODIUM OXYBATE","sodium oxybate","FALSE","sodium oxybate","Released","","Oxybate de sodium","oxybate de sodium","oxybate de sodium"
"Y","","SODIUM PHENYLBUTYRATE","phenylbutyric acid","FALSE","sodium phenylbutyrate","Released","","Phénylbutyrate sodique","acide phénylbutyrique","phénylbutyrate sodique"
"Y","","SODIUM PHOSPHATE DIBASIC","sodium phosphate dibasic","FALSE","sodium phosphate dibasic","Released","1 Combination only","Phosphate de sodium dibasique","phosphate de sodium dibasique","phosphate de sodium dibasique"
"Y","","SODIUM PHOSPHATE MONOBASIC","sodium phosphate monobasic","FALSE","sodium phosphate monobasic","partial","1 Combination only","Phosphate de sodium monobasique","phosphate de sodium monobasique","phosphate de sodium monobasique"
"Y","","ABACAVIR (ABACAVIR SULFATE)","abacavir","FALSE","abacavir (abacavir sulfate)","Released","Single and multi-ingredient TMs","Abacavir (Sulfate d'abacavir)","abacavir","abacavir (sulfate d'abacavir)"
"Y","","ABATACEPT","abatacept","FALSE","abatacept","Released","","Abatacept","abatacept","abatacept"
"Y","","ABCIXIMAB","abciximab","FALSE","abciximab","Released","","Abciximab","abciximab","abciximab"
"Y","","ABIRATERONE ACETATE","abiraterone","FALSE","abiraterone acetate","Released","","Acétate d'abiratérone","abiratérone","acétate d'abiratérone"
"Y","","ABOBOTULINUMTOXINA","abobotulinumtoxinA","FALSE","abobotulinumtoxinA","Released","","AbobotulinumtoxineA","abobotulinumtoxineA","abobotulinumtoxineA"
"Y","","ACAMPROSATE CALCIUM","acamprosate","FALSE","acamprosate calcium","Released","","Acamprosate calcique","acamprosate","acamprosate calcique"
"Y","","ACARBOSE","acarbose","FALSE","acarbose","Released","","Acarbose","acarbose","acarbose"
"Y","ACEBUTOLOL","ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE)","acebutolol","FALSE","acebutolol (acebutolol hydrochloride)","Released","","Acébutolol (Chlorhydrate d'acébutolol)","acébutolol","acébutolol (chlorhydrate d'acébutolol)"
"Y","","ACENOCOUMAROL","acenocoumarol","FALSE","acenocoumarol","Released","","Acénocoumarol","acénocoumarol","acénocoumarol"
"Y","ACETAMINOPHEN","ACETAMINOPHEN","acetaminophen","FALSE","acetaminophen","Released","Single and multi-ingredient TMs; Combinations in QA","Acétaminophène","acétaminophène","acétaminophène"
"Y","","ACETAZOLAMIDE","acetazolamide","FALSE","acetazolamide","Released","","Acétazolamide","acétazolamide","acétazolamide"
"Y","","ACETAZOLAMIDE (ACETAZOLAMIDE SODIUM)","acetazolamide","FALSE","acetazolamide (acetazolamide sodium)","Released","","Acétazolamide (Acetazolamide sodique)","acétazolamide","acétazolamide (acetazolamide sodique)"
"Y","","ACETIC ACID","acetic acid","FALSE","acetic acid","No products in scope","","Acide acétique","acide acétique","acide acétique"
"Y","","ACETYLCHOLINE CHLORIDE","acetylcholine","FALSE","acetylcholine chloride","Released","","Chlorure d'acétylcholine","acétylcholine","chlorure d'acétylcholine"
"Y","","ACETYLCYSTEINE","acetylcysteine","FALSE","acetylcysteine","Released","","Acétylcystéine","acétylcystéine","acétylcystéine"
"Y","","ACETYLSALICYLIC ACID","acetylsalicylic acid","FALSE","acetylsalicylic acid","Released","Single and multi-ingredient TMs","Acide acétylsalicylique","acide acétylsalicylique","acide acétylsalicylique"
"Y","","ACITRETIN","acitretin","FALSE","acitretin","Released","","Acitrétine","acitrétine","acitrétine"
"Y","ACLIDINIUM","ACLIDINIUM BROMIDE","aclidinium","FALSE","aclidinium bromide","Released","Single and multi-ingredient TMs","Bromure d'aclidinium","aclidinium","bromure d'aclidinium"
"Y","ACYCLOVIR","ACYCLOVIR","acyclovir","FALSE","acyclovir","Released","Single and multi-ingredient TMs","Acyclovir","acyclovir","acyclovir"
"Y","ACYCLOVIR","ACYCLOVIR (ACYCLOVIR SODIUM)","acyclovir","FALSE","acyclovir (acyclovir sodium)","Released","","Acyclovir (Acyclovir sodique)","acyclovir","acyclovir (acyclovir sodique)"
"Y","","ADALIMUMAB","adalimumab","FALSE","adalimumab","Released","","Adalimumab","adalimumab","adalimumab"
"Y","","ADAPALENE","adapalene","FALSE","adapalene","Released","Single and multi-ingredient TMs","Adapalène","adapalène","adapalène"
"Y","","ADEFOVIR DIPIVOXIL","adefovir","FALSE","adefovir dipivoxil","Released","","Adéfovir dipivoxil","adéfovir","adéfovir dipivoxil"
"","","ADENINE","adenine","FALSE","adenine","Haematology","Not likely to be prescribed","Adénine","adénine","adénine"
"Y","","ADENOSINE","adenosine","FALSE","adenosine","Released","","Adénosine","adénosine","adénosine"
"Y","","AFATINIB (AFATINIB DIMALEATE)","afatinib","FALSE","afatinib (afatinib dimaleate)","Released","","Afatinib (Dimaléate d'Afatinib)","afatinib","afatinib (dimaléate d'afatinib)"
"Y","","AFLIBERCEPT","aflibercept","FALSE","aflibercept","Released","","Aflibercept","aflibercept","aflibercept"
"Y","","AGALSIDASE ALFA","agalsidase alfa","FALSE","agalsidase alfa","Released","","Agalsidase alfa","agalsidase alfa","agalsidase alfa"
"Y","","AGALSIDASE BETA","agalsidase beta","FALSE","agalsidase beta","Released","","Agalsidase bêta","agalsidase bêta","agalsidase bêta"
"","","AIR","air","FALSE","air","Medical gas","","Air","air","air"
"","","ALANINE","alanine","FALSE","alanine","TPN","","Alanine","alanine","alanine"
"","","ALBUMIN","albumin","FALSE","albumin","Haematology","","Albumine","albumine","albumin"
"","","ALBUMIN (HUMAN)","albumin (human)","FALSE","albumin (human)","Haematology","","Albumine (humaine)","albumine (humaine)","albumin (human)"
"Y","","ALCOHOL ANHYDROUS","alcohol anhydrous","FALSE","alcohol anhydrous","Released for CCDD","Single and multi-ingredient TMs; Some multi-ingredient TMs out of scope","ALCOOL ANHYDRE","alcool anhydre","alcool anhydre"
"Y","","ALDESLEUKIN","aldesleukin","FALSE","aldesleukin","Released","","Aldesleukine","aldesleukine","aldesleukine"
"Y","","ALECTINIB (ALECTINIB HYDROCHLORIDE)","alectinib","FALSE","alectinib (alectinib hydrochloride)","Released","","Alectinib (Chlorhydrate d'alectinib)","alectinib","alectinib (chlorhydrate d'alectinib)"
"Y","","ALEMTUZUMAB","alemtuzumab","FALSE","alemtuzumab","Released","","Alemtuzumab","alemtuzumab","alemtuzumab"
"Y","ALENDRONATE","ALENDRONIC ACID (ALENDRONATE SODIUM TRIHYDRATE)","alendronic acid","TRUE","alendronic acid (alendronate sodium)","Released","Single and multi-ingredient TMs","Acide alendronique (Alendronate sodique trihydraté)","acide alendronique","acide alendronique (alendronate sodique)"
"Y","ALENDRONATE","ALENDRONIC ACID (ALENDRONATE SODIUM)","alendronic acid","FALSE","alendronic acid (alendronate sodium)","Released","Single and multi-ingredient TMs","Acide alendronique (Alendronate sodique)","acide alendronique","acide alendronique (alendronate sodique)"
"Y","","ALFACALCIDOL","alfacalcidol","FALSE","alfacalcidol","Released","","Alfacalcidol","alfacalcidol","alfacalcidol"
"Y","","ALFENTANIL (ALFENTANIL HYDROCHLORIDE)","alfentanil (alfentanil hydrochloride)","FALSE","alfentanil (alfentanil hydrochloride)","No live products","","Alfentanil (Chlorhydrate d'alfentanil)","alfentanil","alfentanil (chlorhydrate d'alfentanil)"
"Y","ALFUZOSIN","ALFUZOSIN HYDROCHLORIDE","alfuzosin","FALSE","alfuzosin hydrochloride","Released","","Chlorhydrate d'alfuzosine","alfuzosin","chlorhydrate d'alfuzosine"
"Y","","ALGLUCOSIDASE ALFA","alglucosidase alfa","FALSE","alglucosidase alfa","Released","","Alglucosidase alfa","alglucosidase alfa","alglucosidase alfa"
"Y","","ALIROCUMAB","alirocumab","FALSE","alirocumab","Released","","Alirocumab","alirocumab","alirocumab"
"Y","ALISKIREN","ALISKIREN (ALISKIREN FUMARATE)","aliskiren","FALSE","aliskiren (aliskiren fumarate)","Released","Single and multi-ingredient TMs","Aliskirène (Fumarate d'aliskirène)","aliskirène","aliskirène (fumarate d'aliskirène)"
"Y","","ALITRETINOIN","alitretinoin","FALSE","alitretinoin","Released","","Alitrétinoïne","alitrétinoïne","alitrétinoïne"
"Y","","ALLANTOIN","allantoin","FALSE","allantoin","Released","Combination only","Allantoïne","allantoïne","allantoïne"
"","","ALLERGEN EXTRACT - ALUM PRECIPITATED","allergen extract - alum precipitated","FALSE","allergen extract - alum precipitated","Allergen","","Extrait allergénique - précipité d'aluminium","allergen extract - alum precipitated","allergen extract - alum precipitated"
"","","ALLERGEN EXTRACT - DIAGNOSTIC","allergen extract - diagnostic","FALSE","allergen extract - diagnostic","Allergen","","Extrait allergénique - diagnostic","allergen extract - diagnostic","allergen extract - diagnostic"
"","","ALLERGENIC EXTRACT NON-POLLEN","allergenic extract non-pollen","FALSE","allergenic extract non-pollen","Allergen","","Extrait allergénique non pollénique","allergenic extract non-pollen","allergenic extract non-pollen"
"","","ALLERGENIC EXTRACTS","allergenic extracts","FALSE","allergenic extracts","Allergen","","Extraits d'allergènes","allergenic extracts","allergenic extracts"
"","","ALLERGENIC EXTRACTS POLLENS","allergenic extracts pollens","FALSE","allergenic extracts pollens","Allergen","","Extraits allergéniques polléniques","allergenic extracts pollens","allergenic extracts pollens"
"Y","ALLOPURINOL","ALLOPURINOL","allopurinol","FALSE","allopurinol","Released","","Allopurinol","allopurinol","allopurinol"
"Y","","ALMOTRIPTAN (ALMOTRIPTAN MALATE)","almotriptan","FALSE","almotriptan (almotriptan malate)","Released","","Almotriptan (Malate d'almotriptan)","almotriptan","almotriptan (malate d'almotriptan)"
"Y","","ALOE","aloe","FALSE","aloe","Released","Combination only","Aloès","aloès","aloès"
"Y","","ALOGLIPTIN (ALOGLIPTIN BENZOATE)","alogliptin","FALSE","alogliptin (alogliptin benzoate)","Released","Single and multi-ingredient TMs","Alogliptine (Benzoate d'alogliptine)","alogliptine","alogliptine (benzoate d'alogliptine)"
"Y","","ALFA 1-PROTEINASE INHIBITOR (HUMAN)","alfa 1-proteinase inhibitor human","FALSE","alfa 1-proteinase inhibitor human","Released","","Inhibiteur de l'alpha 1-protéinase (humain)","inhibiteur de l'alfa 1-protéinase humaine","inhibiteur de l'alfa 1-protéinase humaine"
"Y","ALPRAZOLAM","ALPRAZOLAM","alprazolam","FALSE","alprazolam","Released","","Alprazolam","alprazolam","alprazolam"
"Y","","ALPROSTADIL","alprostadil","FALSE","alprostadil","Released","","Alprostadil","alprostadil","alprostadil"
"Y","","ALTEPLASE","alteplase","FALSE","alteplase","Released","","Altéplase","altéplase","altéplase"
"Y","","ALUMINUM CHLORIDE","aluminum chloride","FALSE","aluminum chloride","","","Chlorure d'aluminium","chlorure d'aluminium","chlorure d'aluminium"
"Y","","ALUMINUM CHLOROHYDRATE","aluminum chlorohydrate","TRUE","aluminum chlorohydrate","Released","Combination only","Chlorhydrate d'aluminium","chlorhydrate d'aluminium","chlorhydrate d'aluminium"
"Y","","ALUMINUM HYDROXIDE","aluminum hydroxide","FALSE","aluminum hydroxide","Released","Combination only","Hydroxyde d'aluminium","hydroxyde d'aluminium","hydroxyde d'aluminium"
"Y","","ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)","aluminum hydroxide","FALSE","aluminum hydroxide","Released","Combination only","Hydroxyde d'aluminium (Gel d'hydroxyde d'aluminium séché (en poudre))","hydroxyde d'aluminium","hydroxyde d'aluminium"
"Y","","ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL","aluminum magnesium hydroxide carbonate","FALSE","aluminum magnesium hydroxide carbonate","Released","Combination only","Gel d'hydroxyde d'aluminium et carbonate de magnésium co-séchés (en poudre)","aluminium magnésium hydroxyde carbonate","aluminium magnésium hydroxyde carbonate"
"Y","","ALUMINUM HYDROXIDE-SUCROSE DRIED GEL","aluminum hydroxide","FALSE","aluminum hydroxide","Released","Combination only","Gel d'hydroxyde d'aluminium et sucrose séchés (en poudre)","hydroxyde d'aluminium","hydroxyde d'aluminium"
"Y","","AMANTADINE HYDROCHLORIDE","amantadine","FALSE","amantadine hydrochloride","Released","","Chlorhydrate d'amantadine","amantadine","chlorhydrate d'amantadine"
"Y","AMBRISENTAN","AMBRISENTAN","ambrisentan","FALSE","ambrisentan","Released","","Ambrisentan","ambrisentan","ambrisentan"
"Y","","AMCINONIDE","amcinonide","FALSE","amcinonide","Released","","Amcinonide","amcinonide","amcinonide"
"Y","","AMIKACIN (AMIKACIN SULFATE)","amikacin","FALSE","amikacin (amikacin sulfate)","Released","","Amikacine (Sulfate d'amikacine)","amikacin","amikacine (sulfate d'amikacine)"
"Y","AMILORIDE","AMILORIDE HYDROCHLORIDE","amiloride","FALSE","amiloride hydrochloride","Released","Single and multi-ingredient TMs","Chlorhydrate d'amiloride","amiloride","chlorhydrate d'amiloride"
"Y","","AMINOLEVULINIC ACID HYDROCHLORIDE","aminolevulinic acid","FALSE","aminolevulinic acid hydrochloride","Released","","Chlorhydrate d'acide aminolévulinique","acide aminolévulinique","chlorhydrate d'acide aminolévulinique"
"Y","AMINOPHYLLINE","AMINOPHYLLINE","aminophylline","FALSE","aminophylline","Released","","Aminophylline","aminophylline","aminophylline"
