"drug_code","ccdd","n_ing","ai_code_set","tm_formal_name","str_set","precise_ing_set","ntp_ing_group","ntp_ing_formal_name","mp_ing_formal_name"
71628,FALSE,1,"2395","lactulose","667 MG per ML","LACTULOSE","lactulose","lactulose 667 mg per mL","lactulose 667 mg per mL"
71630,FALSE,1,"9152","docusate sodium","100 MG","DOCUSATE SODIUM","docusate sodium","docusate sodium 100 mg","docusate sodium 100 mg"
71631,TRUE,1,"10234","hydrochlorothiazide","25 MG","HYDROCHLOROTHIAZIDE","hydrochlorothiazide","hydrochlorothiazide 25 mg","hydrochlorothiazide 25 mg"
71632,TRUE,1,"10234","hydrochlorothiazide","50 MG","HYDROCHLOROTHIAZIDE","hydrochlorothiazide","hydrochlorothiazide 50 mg","hydrochlorothiazide 50 mg"
71635,FALSE,2,"9152, 5190","docusate sodium and sennosides","50 MG, 8.6 MG","DOCUSATE SODIUM, SENNOSIDES","docusate sodium, sennosides","docusate sodium 50 mg and sennosides 8.6 mg","docusate sodium 50 mg and sennosides 8.6 mg"
71649,FALSE,4,"12049, 12048, 2280, 33","octinoxate and octisalate and octocrylene and oxybenzone","6 %, 4 %, 8 %, 5 %","OCTINOXATE, OCTISALATE, OCTOCRYLENE, OXYBENZONE","octinoxate, octisalate, octocrylene, oxybenzone","octinoxate 6 % and octisalate 4 % and octocrylene 8 % and oxybenzone 5 %","octinoxate 6 % and octisalate 4 % and octocrylene 8 % and oxybenzone 5 %"
71650,FALSE,4,"12049, 12048, 2280, 33","octinoxate and octisalate and octocrylene and oxybenzone","7.5 %, 5 %, 2 %, 6 %","OCTINOXATE, OCTISALATE, OCTOCRYLENE, OXYBENZONE","octinoxate, octisalate, octocrylene, oxybenzone","octinoxate 7.5 % and octisalate 5 % and octocrylene 2 % and oxybenzone 6 %","octinoxate 7.5 % and octisalate 5 % and octocrylene 2 % and oxybenzone 6 %"
71669,TRUE,1,"424","azithromycin","250 MG","AZITHROMYCIN ISOPROPANOLATE MONOHYDRATE","azithromycin (azithromycin isopropanolate)","azithromycin (azithromycin isopropanolate) 250 mg","azithromycin (azithromycin isopropanolate monohydrate) 250 mg"
71683,FALSE,1,"13153","ertapenem (ertapenem sodium)","1 G per VIAL","ERTAPENEM SODIUM","ertapenem (ertapenem sodium)","ertapenem (ertapenem sodium) 1 g per vial","ertapenem (ertapenem sodium) 1 g per vial"
71685,TRUE,1,"1218","bisoprolol","5 MG","BISOPROLOL FUMARATE","bisoprolol fumarate","bisoprolol fumarate 5 mg","bisoprolol fumarate 5 mg"
71686,TRUE,1,"1218","bisoprolol","10 MG","BISOPROLOL FUMARATE","bisoprolol fumarate","bisoprolol fumarate 10 mg","bisoprolol fumarate 10 mg"
71705,FALSE,1,"7358","chorionic gonadotropin","10000 UNIT per VIAL","CHORIONIC GONADOTROPIN","chorionic gonadotropin","chorionic gonadotropin 10000 unit per vial","chorionic gonadotropin 10000 unit per vial"
71740,TRUE,1,"9418","diazepam","2 MG","DIAZEPAM","diazepam","diazepam 2 mg","diazepam 2 mg"
71741,TRUE,1,"9418","diazepam","5 MG","DIAZEPAM","diazepam","diazepam 5 mg","diazepam 5 mg"
71742,TRUE,1,"9418","diazepam","10 MG","DIAZEPAM","diazepam","diazepam 10 mg","diazepam 10 mg"
71743,TRUE,1,"10091","furosemide","20 MG","FUROSEMIDE","furosemide","furosemide 20 mg","furosemide 20 mg"
71744,TRUE,1,"10091","furosemide","40 MG","FUROSEMIDE","furosemide","furosemide 40 mg","furosemide 40 mg"
71749,TRUE,1,"7419","estradiol","2 MG","ESTRADIOL HEMIHYDRATE","estradiol","estradiol 2 mg","estradiol (estradiol hemihydrate) 2 mg"
71750,TRUE,1,"7419","estradiol","5.7 MG","ESTRADIOL HEMIHYDRATE","estradiol","estradiol 5.7 mg","estradiol (estradiol hemihydrate) 5.7 mg"
71771,TRUE,1,"12754","ezetimibe","10 MG","EZETIMIBE","ezetimibe","ezetimibe 10 mg","ezetimibe 10 mg"
71788,FALSE,2,"6033, 10212","polyvinyl alcohol and povidone","5 MG per ML, 6 MG per ML","POLYVINYL ALCOHOL, POVIDONE","polyvinyl alcohol, povidone","polyvinyl alcohol 5 mg per mL and povidone 6 mg per mL","polyvinyl alcohol 5 mg per mL and povidone 6 mg per mL"
71800,TRUE,1,"150","acetylsalicylic acid","162 MG","ACETYLSALICYLIC ACID","acetylsalicylic acid","acetylsalicylic acid 162 mg","acetylsalicylic acid 162 mg"
71801,TRUE,1,"11096","ranitidine","75 MG","RANITIDINE HYDROCHLORIDE","ranitidine (ranitidine hydrochloride)","ranitidine (ranitidine hydrochloride) 75 mg","ranitidine (ranitidine hydrochloride) 75 mg"
71812,FALSE,1,"182","diphenhydramine hydrochloride","2 %","DIPHENHYDRAMINE HYDROCHLORIDE","diphenhydramine hydrochloride","diphenhydramine hydrochloride 2 %","diphenhydramine hydrochloride 2 %"
71828,TRUE,1,"8318","clarithromycin","250 MG","CLARITHROMYCIN","clarithromycin","clarithromycin 250 mg","clarithromycin 250 mg"
71829,TRUE,1,"8318","clarithromycin","500 MG","CLARITHROMYCIN","clarithromycin","clarithromycin 500 mg","clarithromycin 500 mg"
71860,FALSE,5,"7941, 19, 17, 20, 7935","diphtheria toxoid and filamentous haemagglutinin and pertactin and pertussis toxoid and tetanus toxoid","2 UNIT per 0.5 ML, 8 MCG per 0.5 ML, 2.5 MCG per 0.5 ML, 8 MCG per 0.5 ML, 20 UNIT per 0.5 ML","DIPHTHERIA TOXOID, FILAMENTOUS HAEMAGGLUTININ, PERTACTIN, PERTUSSIS TOXOID, TETANUS TOXOID","diphtheria toxoid, filamentous haemagglutinin, pertactin, pertussis toxoid, tetanus toxoid","diphtheria toxoid 2 unit per 0.5 mL and filamentous haemagglutinin 8 mcg per 0.5 mL and pertactin 2.5 mcg per 0.5 mL and pertussis toxoid 8 mcg per 0.5 mL and tetanus toxoid 20 unit per 0.5 mL","diphtheria toxoid 2 unit per 0.5 mL and filamentous haemagglutinin 8 mcg per 0.5 mL and pertactin 2.5 mcg per 0.5 mL and pertussis toxoid 8 mcg per 0.5 mL and tetanus toxoid 20 unit per 0.5 mL"
71866,TRUE,2,"2370, 4068","carbidopa and levodopa","25 MG, 100 MG","CARBIDOPA, LEVODOPA","carbidopa, levodopa","carbidopa 25 mg and levodopa 100 mg","carbidopa 25 mg and levodopa 100 mg"
71867,TRUE,1,"2564","clonidine","0.1 MG","CLONIDINE HYDROCHLORIDE","clonidine hydrochloride","clonidine hydrochloride 0.1 mg","clonidine hydrochloride 0.1 mg"
71868,TRUE,1,"2564","clonidine","0.2 MG","CLONIDINE HYDROCHLORIDE","clonidine hydrochloride","clonidine hydrochloride 0.2 mg","clonidine hydrochloride 0.2 mg"
71882,FALSE,1,"10068","chloral hydrate","100 MG per ML","CHLORAL HYDRATE","chloral hydrate","chloral hydrate 100 mg per mL","chloral hydrate 100 mg per mL"
71914,FALSE,1,"1197","terconazole","0.4 %","TERCONAZOLE","terconazole","terconazole 0.4 %","terconazole 0.4 %"
71918,TRUE,1,"1201","pravastatin","10 MG","PRAVASTATIN SODIUM","pravastatin sodium","pravastatin sodium 10 mg","pravastatin sodium 10 mg"
71919,TRUE,1,"1201","pravastatin","20 MG","PRAVASTATIN SODIUM","pravastatin sodium","pravastatin sodium 20 mg","pravastatin sodium 20 mg"
71920,TRUE,1,"1201","pravastatin","40 MG","PRAVASTATIN SODIUM","pravastatin sodium","pravastatin sodium 40 mg","pravastatin sodium 40 mg"
71933,FALSE,3,"12049, 12048, 33","octinoxate and octisalate and oxybenzone","7.5 G per 100 G, 5 G per 100 G, 5 G per 100 G","OCTINOXATE, OCTISALATE, OXYBENZONE","octinoxate, octisalate, oxybenzone","octinoxate 7.5 g per 100 g and octisalate 5 g per 100 g and oxybenzone 5 g per 100 g","octinoxate 7.5 g per 100 g and octisalate 5 g per 100 g and oxybenzone 5 g per 100 g"
71934,FALSE,3,"12049, 12048, 33","octinoxate and octisalate and oxybenzone","7.5 G per 100 G, 5 G per 100 G, 5 G per 100 G","OCTINOXATE, OCTISALATE, OXYBENZONE","octinoxate, octisalate, oxybenzone","octinoxate 7.5 g per 100 g and octisalate 5 g per 100 g and oxybenzone 5 g per 100 g","octinoxate 7.5 g per 100 g and octisalate 5 g per 100 g and oxybenzone 5 g per 100 g"
71935,FALSE,3,"12049, 12048, 33","octinoxate and octisalate and oxybenzone","7.5 G per 100 G, 5 G per 100 G, 5 G per 100 G","OCTINOXATE, OCTISALATE, OXYBENZONE","octinoxate, octisalate, oxybenzone","octinoxate 7.5 g per 100 g and octisalate 5 g per 100 g and oxybenzone 5 g per 100 g","octinoxate 7.5 g per 100 g and octisalate 5 g per 100 g and oxybenzone 5 g per 100 g"
71950,TRUE,1,"1945","ipratropium","20 MCG per ACTUATION","IPRATROPIUM BROMIDE","ipratropium bromide","ipratropium bromide 20 mcg per actuation","ipratropium bromide 20 mcg per actuation"
71955,TRUE,2,"7531, 8746","hydrocortisone and zinc sulfate","5 MG per G, 5 MG per G","HYDROCORTISONE ACETATE, ZINC SULFATE","hydrocortisone acetate, zinc sulfate","hydrocortisone acetate 5 mg per g and zinc sulfate 5 mg per g","hydrocortisone acetate 5 mg per g and zinc sulfate 5 mg per g"
71958,TRUE,1,"6417","methadone","1 MG per ML","METHADONE HYDROCHLORIDE","methadone hydrochloride","methadone hydrochloride 1 mg per mL","methadone hydrochloride 1 mg per mL"
71959,TRUE,1,"6417","methadone","1 MG","METHADONE HYDROCHLORIDE","methadone hydrochloride","methadone hydrochloride 1 mg","methadone hydrochloride 1 mg"
71963,TRUE,1,"6417","methadone","5 MG","METHADONE HYDROCHLORIDE","methadone hydrochloride","methadone hydrochloride 5 mg","methadone hydrochloride 5 mg"
71964,TRUE,1,"6417","methadone","10 MG","METHADONE HYDROCHLORIDE","methadone hydrochloride","methadone hydrochloride 10 mg","methadone hydrochloride 10 mg"
71965,TRUE,1,"6417","methadone","25 MG","METHADONE HYDROCHLORIDE","methadone hydrochloride","methadone hydrochloride 25 mg","methadone hydrochloride 25 mg"
71993,FALSE,6,"51, 42, 49, 9197, 55, 1074","calcium chloride and dextrose and magnesium chloride and sodium bicarbonate and sodium chloride and sodium lactate","0.507 G per L, 37.5 G per L, 0.14 G per L, 3.29 G per L, 8.43 G per L, 2.63 G per L","CALCIUM CHLORIDE, DEXTROSE, MAGNESIUM CHLORIDE, SODIUM BICARBONATE, SODIUM CHLORIDE, SODIUM LACTATE","calcium chloride, dextrose, magnesium chloride, sodium bicarbonate, sodium chloride, sodium lactate","calcium chloride 0.507 g per l and dextrose 37.5 g per l and magnesium chloride 0.14 g per l and sodium bicarbonate 3.29 g per l and sodium chloride 8.43 g per l and sodium lactate 2.63 g per l","calcium chloride 0.507 g per l and dextrose 37.5 g per l and magnesium chloride 0.14 g per l and sodium bicarbonate 3.29 g per l and sodium chloride 8.43 g per l and sodium lactate 2.63 g per l"
71997,FALSE,6,"51, 42, 49, 9197, 55, 1074","calcium chloride and dextrose and magnesium chloride and sodium bicarbonate and sodium chloride and sodium lactate","0.507 G per L, 62.6 G per L, 0.14 G per L, 3.29 G per L, 8.43 G per L, 2.63 G per L","CALCIUM CHLORIDE, DEXTROSE, MAGNESIUM CHLORIDE, SODIUM BICARBONATE, SODIUM CHLORIDE, SODIUM LACTATE","calcium chloride, dextrose, magnesium chloride, sodium bicarbonate, sodium chloride, sodium lactate","calcium chloride 0.507 g per l and dextrose 62.6 g per l and magnesium chloride 0.14 g per l and sodium bicarbonate 3.29 g per l and sodium chloride 8.43 g per l and sodium lactate 2.63 g per l","calcium chloride 0.507 g per l and dextrose 62.6 g per l and magnesium chloride 0.14 g per l and sodium bicarbonate 3.29 g per l and sodium chloride 8.43 g per l and sodium lactate 2.63 g per l"
71998,FALSE,6,"51, 42, 49, 9197, 55, 1074","calcium chloride and dextrose and magnesium chloride and sodium bicarbonate and sodium chloride and sodium lactate","0.507 G per L, 106.5 G per L, 0.14 G per L, 3.29 G per L, 8.43 G per L, 2.63 G per L","CALCIUM CHLORIDE, DEXTROSE, MAGNESIUM CHLORIDE, SODIUM BICARBONATE, SODIUM CHLORIDE, SODIUM LACTATE","calcium chloride, dextrose, magnesium chloride, sodium bicarbonate, sodium chloride, sodium lactate","calcium chloride 0.507 g per l and dextrose 106.5 g per l and magnesium chloride 0.14 g per l and sodium bicarbonate 3.29 g per l and sodium chloride 8.43 g per l and sodium lactate 2.63 g per l","calcium chloride 0.507 g per l and dextrose 106.5 g per l and magnesium chloride 0.14 g per l and sodium bicarbonate 3.29 g per l and sodium chloride 8.43 g per l and sodium lactate 2.63 g per l"
72002,FALSE,1,"7773","immune globulin (human)","10 G per 100 ML","HUMAN","immune globulin (human)","immune globulin (human) 10 g per 100 mL","immune globulin (human) 10 g per 100 mL"
72003,FALSE,1,"13031","enfuvirtide","108 MG per VIAL","ENFUVIRTIDE","enfuvirtide","enfuvirtide 108 mg per vial","enfuvirtide 108 mg per vial"
72012,TRUE,1,"6186","methylphenidate","18 MG","METHYLPHENIDATE HYDROCHLORIDE","methylphenidate hydrochloride","methylphenidate hydrochloride 18 mg","methylphenidate hydrochloride 18 mg"
72013,TRUE,1,"6186","methylphenidate","36 MG","METHYLPHENIDATE HYDROCHLORIDE","methylphenidate hydrochloride","methylphenidate hydrochloride 36 mg","methylphenidate hydrochloride 36 mg"
72014,TRUE,1,"6186","methylphenidate","54 MG","METHYLPHENIDATE HYDROCHLORIDE","methylphenidate hydrochloride","methylphenidate hydrochloride 54 mg","methylphenidate hydrochloride 54 mg"
72016,FALSE,1,"1395","famotidine","10 MG per ML","FAMOTIDINE","famotidine","famotidine 10 mg per mL","famotidine 10 mg per mL"
72026,FALSE,1,"1395","famotidine","10 MG per ML","FAMOTIDINE","famotidine","famotidine 10 mg per mL","famotidine 10 mg per mL"
72035,FALSE,1,"1204","fluconazole","2 MG per ML","FLUCONAZOLE","fluconazole","fluconazole 2 mg per mL","fluconazole 2 mg per mL"
72042,TRUE,1,"11340","paroxetine","10 MG","PAROXETINE HYDROCHLORIDE","paroxetine (paroxetine hydrochloride)","paroxetine (paroxetine hydrochloride) 10 mg","paroxetine (paroxetine hydrochloride) 10 mg"
72043,TRUE,1,"11340","paroxetine","20 MG","PAROXETINE HYDROCHLORIDE","paroxetine (paroxetine hydrochloride)","paroxetine (paroxetine hydrochloride) 20 mg","paroxetine (paroxetine hydrochloride) 20 mg"
72044,TRUE,1,"11340","paroxetine","30 MG","PAROXETINE HYDROCHLORIDE","paroxetine (paroxetine hydrochloride)","paroxetine (paroxetine hydrochloride) 30 mg","paroxetine (paroxetine hydrochloride) 30 mg"
72045,FALSE,1,"13214","allergenic extracts pollens","40000 UNIT per ML","ALLERGENIC EXTRACTS POLLENS","allergenic extracts pollens","allergenic extracts pollens 40000 unit per mL","allergenic extracts pollens 40000 unit per mL"
72046,FALSE,1,"13214","allergenic extracts pollens","40000 UNIT per ML","ALLERGENIC EXTRACTS POLLENS","allergenic extracts pollens","allergenic extracts pollens 40000 unit per mL","allergenic extracts pollens 40000 unit per mL"
72047,FALSE,1,"13214","allergenic extracts pollens","40000 UNIT per ML","ALLERGENIC EXTRACTS POLLENS","allergenic extracts pollens","allergenic extracts pollens 40000 unit per mL","allergenic extracts pollens 40000 unit per mL"
72048,FALSE,1,"13215","allergenic extract non-pollen","40000 UNIT per ML","ALLERGENIC EXTRACT NON-POLLEN","allergenic extract non-pollen","allergenic extract non-pollen 40000 unit per mL","allergenic extract non-pollen 40000 unit per mL"
72049,FALSE,1,"13215","allergenic extract non-pollen","40000 UNIT per ML","ALLERGENIC EXTRACT NON-POLLEN","allergenic extract non-pollen","allergenic extract non-pollen 40000 unit per mL","allergenic extract non-pollen 40000 unit per mL"
72050,FALSE,1,"13215","allergenic extract non-pollen","40000 UNIT per ML","ALLERGENIC EXTRACT NON-POLLEN","allergenic extract non-pollen","allergenic extract non-pollen 40000 unit per mL","allergenic extract non-pollen 40000 unit per mL"
72060,FALSE,1,"13224","cetrorelix (cetrorelix acetate)","0.25 MG per VIAL","CETRORELIX ACETATE","cetrorelix (cetrorelix acetate)","cetrorelix (cetrorelix acetate) 0.25 mg per vial","cetrorelix (cetrorelix acetate) 0.25 mg per vial"
72083,FALSE,1,"7369","menotropins","75 UNIT per VIAL","MENOTROPINS","menotropins","menotropins 75 unit per vial","menotropins 75 unit per vial"
72095,TRUE,3,"270, 10247, 6492","acetaminophen and dextromethorphan hydrobromide and pseudoephedrine hydrochloride","650 MG per 30 ML, 30 MG per 30 ML, 60 MG per 30 ML","ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, PSEUDOEPHEDRINE HYDROCHLORIDE","acetaminophen, dextromethorphan hydrobromide, pseudoephedrine hydrochloride","acetaminophen 650 mg per 30 mL and dextromethorphan hydrobromide 30 mg per 30 mL and pseudoephedrine hydrochloride 60 mg per 30 mL","acetaminophen 650 mg per 30 mL and dextromethorphan hydrobromide 30 mg per 30 mL and pseudoephedrine hydrochloride 60 mg per 30 mL"
72096,TRUE,1,"1744","fosinopril","10 MG","FOSINOPRIL SODIUM","fosinopril sodium","fosinopril sodium 10 mg","fosinopril sodium 10 mg"
72097,TRUE,1,"1744","fosinopril","20 MG","FOSINOPRIL SODIUM","fosinopril sodium","fosinopril sodium 20 mg","fosinopril sodium 20 mg"
72107,TRUE,1,"12580","dutasteride","0.5 MG","DUTASTERIDE","dutasteride","dutasteride 0.5 mg","dutasteride 0.5 mg"
72108,TRUE,1,"11096","ranitidine","150 MG","RANITIDINE HYDROCHLORIDE","ranitidine (ranitidine hydrochloride)","ranitidine (ranitidine hydrochloride) 150 mg","ranitidine (ranitidine hydrochloride) 150 mg"
72109,TRUE,1,"11096","ranitidine","300 MG","RANITIDINE HYDROCHLORIDE","ranitidine (ranitidine hydrochloride)","ranitidine (ranitidine hydrochloride) 300 mg","ranitidine (ranitidine hydrochloride) 300 mg"
72117,FALSE,1,"13233","adefovir dipivoxil","10 MG","ADEFOVIR DIPIVOXIL","adefovir dipivoxil","adefovir dipivoxil 10 mg","adefovir dipivoxil 10 mg"
72120,FALSE,1,"122","lamivudine","300 MG","LAMIVUDINE","lamivudine","lamivudine 300 mg","lamivudine 300 mg"
72122,TRUE,1,"1221","simvastatin","5 MG","SIMVASTATIN","simvastatin","simvastatin 5 mg","simvastatin 5 mg"
72123,TRUE,1,"1221","simvastatin","10 MG","SIMVASTATIN","simvastatin","simvastatin 10 mg","simvastatin 10 mg"
72126,TRUE,1,"1221","simvastatin","20 MG","SIMVASTATIN","simvastatin","simvastatin 20 mg","simvastatin 20 mg"
72128,TRUE,1,"1221","simvastatin","40 MG","SIMVASTATIN","simvastatin","simvastatin 40 mg","simvastatin 40 mg"
72129,TRUE,1,"1221","simvastatin","80 MG","SIMVASTATIN","simvastatin","simvastatin 80 mg","simvastatin 80 mg"
72159,FALSE,1,"2333","oxygen","99 %","OXYGEN","oxygen","oxygen 99 %","oxygen 99 %"
72190,TRUE,4,"7053, 9068, 8626, 7532","dibucaine and esculin and framycetin and hydrocortisone","0.5 %, 1 %, 1 %, 0.5 %","DIBUCAINE HYDROCHLORIDE, ESCULIN, FRAMYCETIN SULFATE, HYDROCORTISONE","dibucaine hydrochloride, esculin, framycetin sulfate, hydrocortisone","dibucaine hydrochloride 0.5 % and esculin 1 % and framycetin sulfate 1 % and hydrocortisone 0.5 %","dibucaine hydrochloride 0.5 % and esculin 1 % and framycetin sulfate 1 % and hydrocortisone 0.5 %"
72216,TRUE,3,"270, 10247, 6492","acetaminophen and dextromethorphan hydrobromide and pseudoephedrine hydrochloride","650 MG, 30 MG, 60 MG","ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, PSEUDOEPHEDRINE HYDROCHLORIDE","acetaminophen, dextromethorphan hydrobromide, pseudoephedrine hydrochloride","acetaminophen 650 mg and dextromethorphan hydrobromide 30 mg and pseudoephedrine hydrochloride 60 mg","acetaminophen 650 mg and dextromethorphan hydrobromide 30 mg and pseudoephedrine hydrochloride 60 mg"
72217,TRUE,3,"270, 182, 6492","acetaminophen and diphenhydramine hydrochloride and pseudoephedrine hydrochloride","650 MG, 50 MG, 60 MG","ACETAMINOPHEN, DIPHENHYDRAMINE HYDROCHLORIDE, PSEUDOEPHEDRINE HYDROCHLORIDE","acetaminophen, diphenhydramine hydrochloride, pseudoephedrine hydrochloride","acetaminophen 650 mg and diphenhydramine hydrochloride 50 mg and pseudoephedrine hydrochloride 60 mg","acetaminophen 650 mg and diphenhydramine hydrochloride 50 mg and pseudoephedrine hydrochloride 60 mg"
72225,TRUE,1,"93","ciprofloxacin","500 MG","CIPROFLOXACIN HYDROCHLORIDE, CIPROFLOXACIN","ciprofloxacin (ciprofloxacin hydrochloride, ciprofloxacin)","ciprofloxacin (ciprofloxacin hydrochloride, ciprofloxacin) 500 mg","ciprofloxacin (ciprofloxacin hydrochloride, ciprofloxacin) 500 mg"
72226,TRUE,1,"932","ramipril","2.5 MG","RAMIPRIL","ramipril","ramipril 2.5 mg","ramipril 2.5 mg"
72227,TRUE,1,"932","ramipril","5 MG","RAMIPRIL","ramipril","ramipril 5 mg","ramipril 5 mg"
72228,TRUE,1,"932","ramipril","10 MG","RAMIPRIL","ramipril","ramipril 10 mg","ramipril 10 mg"
72229,TRUE,3,"7600, 8626, 8523","dexamethasone (base) and framycetin and gramicidin","0.5 MG per ML, 5 MG per ML, 0.05 MG per ML","DEXAMETHASONE SODIUM METASULPHOBENZOATE, FRAMYCETIN SULFATE, GRAMICIDIN","dexamethasone (dexamethasone sodium metasulphobenzoate), framycetin sulfate, gramicidin","dexamethasone (dexamethasone sodium metasulphobenzoate) 0.5 mg per mL and framycetin sulfate 5 mg per mL and gramicidin 0.05 mg per mL","dexamethasone (dexamethasone sodium metasulphobenzoate) 0.5 mg per mL and framycetin sulfate 5 mg per mL and gramicidin 0.05 mg per mL"
72232,FALSE,1,"1204","fluconazole","2 MG per ML","FLUCONAZOLE","fluconazole","fluconazole 2 mg per mL","fluconazole 2 mg per mL"
72243,TRUE,1,"1188","carvedilol","3.125 MG","CARVEDILOL","carvedilol","carvedilol 3.125 mg","carvedilol 3.125 mg"
72244,TRUE,1,"1188","carvedilol","6.25 MG","CARVEDILOL","carvedilol","carvedilol 6.25 mg","carvedilol 6.25 mg"
72245,TRUE,1,"1188","carvedilol","12.5 MG","CARVEDILOL","carvedilol","carvedilol 12.5 mg","carvedilol 12.5 mg"
72246,TRUE,1,"1188","carvedilol","25 MG","CARVEDILOL","carvedilol","carvedilol 25 mg","carvedilol 25 mg"
72247,FALSE,1,"10140","hydroxyurea","500 MG","HYDROXYUREA","hydroxyurea","hydroxyurea 500 mg","hydroxyurea 500 mg"
72248,FALSE,1,"7387","vasopressin","20 UNIT per ML","VASOPRESSIN","vasopressin","vasopressin 20 unit per mL","vasopressin 20 unit per mL"
72255,TRUE,1,"932","ramipril","2.5 MG","RAMIPRIL","ramipril","ramipril 2.5 mg","ramipril 2.5 mg"
72256,TRUE,1,"932","ramipril","5 MG","RAMIPRIL","ramipril","ramipril 5 mg","ramipril 5 mg"
72257,TRUE,1,"932","ramipril","10 MG","RAMIPRIL","ramipril","ramipril 10 mg","ramipril 10 mg"
72290,FALSE,2,"12049, 7289","octinoxate and zinc oxide","7.5 %, 2.85 %","OCTINOXATE, ZINC OXIDE","octinoxate, zinc oxide","octinoxate 7.5 % and zinc oxide 2.85 %","octinoxate 7.5 % and zinc oxide 2.85 %"
72310,TRUE,1,"11784","montelukast","4 MG per PCK","MONTELUKAST SODIUM","montelukast (montelukast sodium)","montelukast (montelukast sodium) 4 mg per pck","montelukast (montelukast sodium) 4 mg per pck"
72312,TRUE,1,"9483","betahistine","24 MG","BETAHISTINE HYDROCHLORIDE","betahistine hydrochloride","betahistine hydrochloride 24 mg","betahistine hydrochloride 24 mg"
72326,TRUE,1,"11847","citalopram","20 MG","CITALOPRAM HYDROBROMIDE","citalopram (citalopram hydrobromide)","citalopram (citalopram hydrobromide) 20 mg","citalopram (citalopram hydrobromide) 20 mg"
72327,TRUE,1,"11847","citalopram","40 MG","CITALOPRAM HYDROBROMIDE","citalopram (citalopram hydrobromide)","citalopram (citalopram hydrobromide) 40 mg","citalopram (citalopram hydrobromide) 40 mg"
72328,TRUE,1,"11340","paroxetine","10 MG","PAROXETINE HYDROCHLORIDE, ISOPROPYL SOLVATE","paroxetine (paroxetine hydrochloride)","paroxetine (paroxetine hydrochloride) 10 mg","paroxetine (paroxetine hydrochloride, isopropyl solvate) 10 mg"
72329,TRUE,1,"11340","paroxetine","20 MG","PAROXETINE HYDROCHLORIDE, ISOPROPYL SOLVATE","paroxetine (paroxetine hydrochloride)","paroxetine (paroxetine hydrochloride) 20 mg","paroxetine (paroxetine hydrochloride, isopropyl solvate) 20 mg"
72330,TRUE,1,"11340","paroxetine","30 MG","PAROXETINE HYDROCHLORIDE, ISOPROPYL SOLVATE","paroxetine (paroxetine hydrochloride)","paroxetine (paroxetine hydrochloride) 30 mg","paroxetine (paroxetine hydrochloride, isopropyl solvate) 30 mg"
72332,FALSE,3,"755, 12049, 12048","avobenzone and octinoxate and octisalate","2.5 %, 7.5 %, 4 %","AVOBENZONE, OCTINOXATE, OCTISALATE","avobenzone, octinoxate, octisalate","avobenzone 2.5 % and octinoxate 7.5 % and octisalate 4 %","avobenzone 2.5 % and octinoxate 7.5 % and octisalate 4 %"
72354,TRUE,1,"1196","clozapine","25 MG","CLOZAPINE","clozapine","clozapine 25 mg","clozapine 25 mg"
72355,TRUE,1,"1196","clozapine","100 MG","CLOZAPINE","clozapine","clozapine 100 mg","clozapine 100 mg"
72370,TRUE,1,"11847","citalopram","20 MG","CITALOPRAM HYDROBROMIDE","citalopram (citalopram hydrobromide)","citalopram (citalopram hydrobromide) 20 mg","citalopram (citalopram hydrobromide) 20 mg"
72371,TRUE,1,"11847","citalopram","40 MG","CITALOPRAM HYDROBROMIDE","citalopram (citalopram hydrobromide)","citalopram (citalopram hydrobromide) 40 mg","citalopram (citalopram hydrobromide) 40 mg"
72379,FALSE,3,"7104, 9542, 8746","glycerine and naphazoline hydrochloride and zinc sulfate","0.26 %, 0.012 %, 0.25 %","GLYCERINE, NAPHAZOLINE HYDROCHLORIDE, ZINC SULFATE","glycerine, naphazoline hydrochloride, zinc sulfate","glycerine 0.26 % and naphazoline hydrochloride 0.012 % and zinc sulfate 0.25 %","glycerine 0.26 % and naphazoline hydrochloride 0.012 % and zinc sulfate 0.25 %"
72380,FALSE,1,"9542","naphazoline hydrochloride","0.012 %","NAPHAZOLINE HYDROCHLORIDE","naphazoline hydrochloride","naphazoline hydrochloride 0.012 %","naphazoline hydrochloride 0.012 %"
72392,FALSE,3,"755, 12048, 2280","avobenzone and octisalate and octocrylene","2 %, 5 %, 10 %","AVOBENZONE, OCTISALATE, OCTOCRYLENE","avobenzone, octisalate, octocrylene","avobenzone 2 % and octisalate 5 % and octocrylene 10 %","avobenzone 2 % and octisalate 5 % and octocrylene 10 %"
72397,FALSE,1,"3566","petrolatum","55 %","PETROLATUM","petrolatum","petrolatum 55 %","petrolatum 55 %"
72398,FALSE,2,"3566, 7289","petrolatum and zinc oxide","49.5 %, 40 %","PETROLATUM, ZINC OXIDE","petrolatum, zinc oxide","petrolatum 49.5 % and zinc oxide 40 %","petrolatum 49.5 % and zinc oxide 40 %"
72399,FALSE,1,"13246","peginterferon alfa-2a","180 MCG per 0.5 ML","PEGINTERFERON ALFA-2A","peginterferon alfa-2a","peginterferon alfa-2a 180 mcg per 0.5 mL","peginterferon alfa-2a 180 mcg per 0.5 mL"
