Molecule Name, Total Rx_2015 ,%ofTotalRx_2015,cumulative % of totalRx_2015,CCDD,DPD Update Status,Priority,Comments
ASCORBIC ACID!BIOTIN!CALCIUM!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!MAGNESIUM!MANGANESE!NIACINAMIDE!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CHOLECALCIFEROL!CHROMIUM!CYANOCOBALAMIN!IODINE!LYCOPENE!MAGNESIUM!METHYLFOLATE!PANTOTHENIC ACID!SELENIUM!VITAMIN A!ZINC, 12 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CHOLECALCIFEROL!CYANOCOBALAMIN!FISH!FOLIC ACID!NICOTINIC ACID!PYRIDOXINE!VITAMIN A!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CHOLECALCIFEROL!CYANOCOBALAMIN!FOLIC ACID!IODINE!PANTOTHENIC ACID!PYRIDOXINE!VITAMIN A!VITAMIN E!ZINC, 76 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CHOLECALCIFEROL!CYANOCOBALAMIN!FOLIC ACID!NIACINAMIDE!PYRIDOXINE!VITAMIN A!VITAMIN E, 24 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CHOLECALCIFEROL!CYANOCOBALAMIN!FOLIC ACID!PANTOTHENIC ACID!PYRIDOXINE!VITAMIN A!VITAMIN E!ZINC, 97 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CHOLINE!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!L-METHIONINE!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN E, 108 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CHOLINE!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE," 1,101 ",0.00%,99.98%,,,,
ASCORBIC ACID!BIOTIN!CHOLINE!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!NICOTINIC ACID!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE, 262 ,0.00%,99.99%,,,,
ASCORBIC ACID!BIOTIN!CHOLINE!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!ZINC," 1,858 ",0.00%,99.96%,,,,
ASCORBIC ACID!BIOTIN!CHOLINE!CYANOCOBALAMIN!INOSITOL!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CHROMIUM!CYANOCOBALAMIN!FOLIC ACID!GLUTAMIC ACID!IRON  METAL!LIPASE!MANGANESE!MOLYBDENUM!PANTOTHENIC ACID!PEPSIN!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN F!ZINC, 126 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!COPPER!CYANOCOBALAMIN!FOLIC ACID!LACTOSE!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN E!ZINC," 1,823 ",0.00%,99.96%,,,,
ASCORBIC ACID!BIOTIN!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!MANNITOL!NIACINAMIDE!PANTHENOL!PHYTONADIONE!POLYSORBATE 80!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!NIACINAMIDE!PANTHENOL!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN F," 1,480 ",0.00%,99.97%,,,,
ASCORBIC ACID!BIOTIN!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!NICOTINIC ACID!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VITAMIN A!VITAMIN E!ZINC, 175 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!NICOTINIC ACID!PYRIDOXINE!VITAMIN A!VITAMIN E, 29 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CYANOCOBALAMIN!FOLIC ACID!IRON  FERROUS!LACTOSE!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN E, 833 ,0.00%,99.98%,,,,
ASCORBIC ACID!BIOTIN!CYANOCOBALAMIN!FOLIC ACID!IRON  METAL!LACTOSE!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN E, 64 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CYANOCOBALAMIN!FOLIC ACID!IRON  METAL!LACTOSE!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN E!ZINC, 6 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CYANOCOBALAMIN!FOLIC ACID!LACTOSE!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN E, 632 ,0.00%,99.99%,,,,
ASCORBIC ACID!BIOTIN!CYANOCOBALAMIN!FOLIC ACID!LYCOPENE!NIACINAMIDE!PANTOTHENIC ACID!RIBOFLAVIN!SELENIUM!THIAMINE, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CYANOCOBALAMIN!FOLIC ACID!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE," 62,838 ",0.01%,98.46%,,,,
ASCORBIC ACID!BIOTIN!CYANOCOBALAMIN!FOLIC ACID!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!THIAMINE, 42 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CYANOCOBALAMIN!FOLIC ACID!NICOTINIC ACID!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE," 1,024 ",0.00%,99.98%,,,,
ASCORBIC ACID!BORON!BOSWELLIA SERRATIA!CHOLECALCIFEROL!CHONDROITIN!DIMETHYLSULFONE!GLUCOSAMINE!MANGANESE, 10 ,0.00%,100.00%,,,,
ASCORBIC ACID!BORON!BOSWELLIA SERRATIA!CHONDROITIN!DIMETHYLSULFONE!GLUCOSAMINE!MANGANESE, 26 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM, 218 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!CARBOHYDRATES!CHLORIDE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FAT!INOSITOL!IODINE!IRON  METAL!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!POTASSIUM!PROTEINS!PSYLLIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!SO," 1,230 ",0.00%,99.97%,,,,
ASCORBIC ACID!CALCIUM!CARBOHYDRATES!CHLORIDE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FAT!INOSITOL!IODINE!IRON  METAL!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!POTASSIUM!PROTEINS!PYRIDOXINE!RIBOFLAVIN!SELENIUM!SODIUM!THIA," 26,345 ",0.00%,99.43%,,,,
ASCORBIC ACID!CALCIUM!CARBOHYDRATES!CHLORIDE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FAT!IODINE!IRON  METAL!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!POTASSIUM!PROTEINS!PYRIDOXINE!RIBOFLAVIN!SELENIUM!SODIUM!THIAMINE!VITA," 98,608 ",0.02%,97.70%,,,,
ASCORBIC ACID!CALCIUM!CARBOHYDRATES!CHLORIDE!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FAT!IODINE!IRON  METAL!MAGNESIUM!MANGANESE!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!POTASSIUM!PROTEINS!PYRIDOXINE!RIBOFLAVIN!SODIUM!THIAMINE!VITAMIN A!VITAMIN E!VITAMIN K!ZIN," 5,669 ",0.00%,99.87%,,,,
ASCORBIC ACID!CALCIUM!CHOLECALCIFEROL!VITAMIN A, 6 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!CHOLINE!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!INOSITOL!IRON  FERROUS!MAGNESIUM!MANGANESE!METHIONINE!N1-A>-DIMETHYLPHENETHYLHYDRAZINE!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E!ZINC, 254 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!CHROMIUM!CYANOCOBALAMIN!FOLIC ACID!MAGNESIUM!MANGANESE!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE, 1 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!CHROMIUM!FOLIC ACID!MAGNESIUM!MANGANESE!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!RIBOFLAVIN, 16 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E," 1,358 ",0.00%,99.97%,,,,
ASCORBIC ACID!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A, 134 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!IRON  METAL!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A, 300 ,0.00%,99.99%,,,,
ASCORBIC ACID!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!IRON  METAL!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!RIBOFLAVIN!THIAMINE!VITAMIN A, 312 ,0.00%,99.99%,,,,
ASCORBIC ACID!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!IRON  METAL!NIACINAMIDE!PHOSPHORUS!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 9 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!CRANBERRY!IRON  FERROUS!MAGNESIUM!MANGANESE!NIACINAMIDE!PANTOTHENIC ACID!VITAMIN E!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!CRANBERRY!IRON  FERROUS!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!VITAMIN E!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A, 129 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 4 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!PYRIDOXINE!VITAMIN A!VITAMIN E!ZINC, 21 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!CYANOCOBALAMIN!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!CYANOCOBALAMIN!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE, 14 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!ELEUTHEROCOCCUS SENTICOSUS!IRON  FERROUS!MAGNESIUM!MANGANESE!NIACINAMIDE!PANTOTHENIC ACID!VITAMIN E!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!NIACINAMIDE!RIBOFLAVIN!THIAMINE!VITAMIN A, 13 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!ERGOCALCIFEROL!IRON  METAL!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E," 3,447 ",0.00%,99.92%,,,,
ASCORBIC ACID!CALCIUM!ERGOCALCIFEROL!MAGNESIUM, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!ERGOCALCIFEROL!MAGNESIUM!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!ERGOCALCIFEROL!PYRIDOXINE, 5 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!IRON  FERROUS!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!PYRIDOXINE!RIBOFLAVIN!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!IRON  FERROUS!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!VITAMIN E!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!KOLA!MAGNESIUM!NIACINAMIDE!PHOSPHORIC ACID!RIBOFLAVIN!SODIUM!THIAMINE, 5 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!LUTEIN!MAGNESIUM!MANGANESE!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!VITAMIN E!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!MAGNESIUM!MANGANESE!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!VITAMIN E!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!MAGNESIUM!MANGANESE!VANADIUM!VITAMIN A, 3 ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!MAGNESIUM!NICOTINIC ACID!PANTOTHENIC ACID!PHOSPHORUS!POTASSIUM!PYRIDOXINE!VITAMIN E!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!MAGNESIUM!POTASSIUM, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!MAGNESIUM!POTASSIUM!RIBOFLAVIN, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CALCIUM!ZINC," 1,636 ",0.00%,99.96%,,,,
ASCORBIC ACID!CHLORPHENIRAMINE!PREDNISONE, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CHOLECALCIFEROL!CYANOCOBALAMIN!FOLIC ACID!IRON  FERROUS!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CHOLECALCIFEROL!CYANOCOBALAMIN!FOLIC ACID!IRON  FERROUS!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 122 ,0.00%,100.00%,,,,
ASCORBIC ACID!CHOLECALCIFEROL!CYANOCOBALAMIN!FOLIC ACID!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E," 18,629 ",0.00%,99.58%,,,,
ASCORBIC ACID!CHOLECALCIFEROL!CYANOCOBALAMIN!FOLIC ACID!PYRIDOXINE!VITAMIN A!VITAMIN E, 433 ,0.00%,99.99%,,,,
ASCORBIC ACID!CHOLECALCIFEROL!CYANOCOBALAMIN!FOLIC ACID!PYRIDOXINE!VITAMIN A!VITAMIN E!ZINC, 11 ,0.00%,100.00%,,,,
ASCORBIC ACID!CHOLECALCIFEROL!CYANOCOBALAMIN!METHYLFOLATE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E," 2,850 ",0.00%,99.93%,,,,
ASCORBIC ACID!CHOLECALCIFEROL!VITAMIN A, 80 ,0.00%,100.00%,,,,
ASCORBIC ACID!CHOLECALCIFEROL!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CHOLINE!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!PYRIDOXINE!VITAMIN A, 5 ,0.00%,100.00%,,,,
ASCORBIC ACID!COLLAGEN!GLUCOSAMINE!MAGNESIUM, 10 ,0.00%,100.00%,,,,
ASCORBIC ACID!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  METAL!MAGNESIUM!NIACINAMIDE!NICOTINIC ACID!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 590 ,0.00%,99.99%,,,,
ASCORBIC ACID!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!IRON  FERROUS!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!IRON  METAL!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A," 2,153 ",0.00%,99.95%,,,,
ASCORBIC ACID!COPPER!CYANOCOBALAMIN!FOLIC ACID!IRON  FERROUS!MANGANESE, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!COPPER!DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID!VITAMIN E!ZINC," 104,367 ",0.02%,97.37%,,,,
ASCORBIC ACID!COPPER!LUTEIN!VITAMIN E!ZINC," 6,430 ",0.00%,99.85%,,,,
ASCORBIC ACID!COPPER!VITAMIN E!ZINC," 106,298 ",0.02%,97.27%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  METAL!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  METAL!NICOTINIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A," 1,355 ",0.00%,99.97%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E," 67,935 ",0.01%,98.32%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A," 3,775 ",0.00%,99.92%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!PYRIDOXINE!VITAMIN A!VITAMIN E, 20 ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!ERGOCALCIFEROL!IRON  FERROUS!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 8 ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!ERGOCALCIFEROL!IRON  FERROUS!NIACINAMIDE!PYRIDOXINE!THIAMINE!VITAMIN A, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!ERGOCALCIFEROL!IRON  METAL!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A, 1 ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!ERGOCALCIFEROL!IRON  METAL!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!ERGOCALCIFEROL!IRON  METAL!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 2 ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!ERGOCALCIFEROL!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 1 ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!ERGOCALCIFEROL!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VANADIUM!VITAMIN A!VITAMIN E!ZINC," 1,834 ",0.00%,99.96%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!FOLIC ACID!IRON  METAL, 7 ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!IRON  FERROUS, 224 ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!IRON  METAL!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE, 22 ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!NIACINAMIDE!PANTHENOL!PYRIDOXINE!RIBOFLAVIN!THIAMINE, 1 ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VITAMIN E!ZINC, 313 ,0.00%,99.99%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE," 1,088 ",0.00%,99.98%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN E, 48 ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN E!ZINC," 4,193 ",0.00%,99.91%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!ZINC, 3 ,0.00%,100.00%,,,,
ASCORBIC ACID!CYANOCOBALAMIN!PYRIDOXINE!THIAMINE, 972 ,0.00%,99.98%,,,,
ASCORBIC ACID!DIHYDROTACHYSTEROL!ERGOCALCIFEROL!FOLIC ACID!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A, 1 ,0.00%,100.00%,,,,
ASCORBIC ACID!DOLOMITE!ERGOCALCIFEROL, 1 ,0.00%,100.00%,,,,
ASCORBIC ACID!ECHINACEA ANGUSTIFOLA!ZINC, 8 ,0.00%,100.00%,,,,
ASCORBIC ACID!ERGOCALCIFEROL!FLAVIN MONONUCLEOTIDE!NIACINAMIDE!THIAMINE!VITAMIN A," 1,595 ",0.00%,99.96%,,,,
ASCORBIC ACID!ERGOCALCIFEROL!FLUORIDE!VITAMIN A, 1 ,0.00%,100.00%,,,,
ASCORBIC ACID!ERGOCALCIFEROL!FOLIC ACID!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A, 2 ,0.00%,100.00%,,,,
ASCORBIC ACID!ERGOCALCIFEROL!FOLIC ACID!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E," 102,210 ",0.02%,97.53%,,,,
ASCORBIC ACID!ERGOCALCIFEROL!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!ERGOCALCIFEROL!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A, 668 ,0.00%,99.99%,,,,
ASCORBIC ACID!ERGOCALCIFEROL!NIACINAMIDE!RIBOFLAVIN!THIAMINE!VITAMIN A," 3,440 ",0.00%,99.92%,,,,
ASCORBIC ACID!ERGOCALCIFEROL!NIACINAMIDE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!ERGOCALCIFEROL!POTASSIUM!VITAMIN A, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!ERGOCALCIFEROL!VITAMIN A," 6,756 ",0.00%,99.84%,,,,
ASCORBIC ACID!FOLIC ACID, 6 ,0.00%,100.00%,,,,
ASCORBIC ACID!FOLIC ACID!IRON  FERROUS," 18,072 ",0.00%,99.60%,,,,
ASCORBIC ACID!FOLIC ACID!IRON  FERROUS!MAGNESIUM!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN E, 20 ,0.00%,100.00%,,,,
ASCORBIC ACID!FOLIC ACID!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE," 7,819 ",0.00%,99.82%,,,,
ASCORBIC ACID!INOSITOL!NICOTINIC ACID!PANTOTHENIC ACID!PYRIDOXINE!VITAMIN E!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!LUTEIN!VITAMIN E!ZEAXANTHIN!ZINC," 113,243 ",0.02%,97.03%,,,,
ASCORBIC ACID!MAGNESIUM!VITAMIN B COMPLEX, 166 ,0.00%,100.00%,,,,
ASCORBIC ACID!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!PANTOTHENIC ACID!PYRIDOXAL 5-PHOSPHATE!RIBOFLAVIN!THIAMINE!ZINC, 4 ,0.00%,100.00%,,,,
