"","ccdd","top250name","dpd_ingredient","ing_stem","hydrate","ntp_ing"
"427","","","DESMOPRESSIN ACETATE","DESMOPRESSIN ACETATE",FALSE,"DESMOPRESSIN ACETATE"
"428","","","DESMOPRESSIN ACETATE (DESMOPRESSIN ACETATE TRIHYDRATE)","DESMOPRESSIN ACETATE (DESMOPRESSIN ACETATE TRIHYDRATE)",TRUE,"DESMOPRESSIN ACETATE (DESMOPRESSIN ACETATE TRIHYDRATE)"
"429","Y","DESOGESTREL","DESOGESTREL","DESOGESTREL",FALSE,"DESOGESTREL"
"430","","","DESONIDE","DESONIDE",FALSE,"DESONIDE"
"431","","","DESOXIMETASONE","DESOXIMETASONE",FALSE,"DESOXIMETASONE"
"432","Y","DESVENLAFAXINE","DESVENLAFAXINE (DESVENLAFAXINE SUCCINATE)","DESVENLAFAXINE",FALSE,"DESVENLAFAXINE (DESVENLAFAXINE SUCCINATE)"
"433","Y","DEXAMETHASONE","DEXAMETHASONE","DEXAMETHASONE (BASE)",FALSE,"DEXAMETHASONE"
"434","Y","DEXAMETHASONE","DEXAMETHASONE (DEXAMETHASONE SODIUM METASULPHOBENZOATE)","DEXAMETHASONE (BASE)",FALSE,"DEXAMETHASONE (DEXAMETHASONE SODIUM METASULPHOBENZOATE)"
"435","Y","DEXAMETHASONE","DEXAMETHASONE (DEXAMETHASONE SODIUM PHOSPHATE)","DEXAMETHASONE (BASE)",FALSE,"DEXAMETHASONE (DEXAMETHASONE SODIUM PHOSPHATE)"
"436","Y","DEXAMETHASONE","DEXAMETHASONE PHOSPHATE (DEXAMETHASONE SODIUM PHOSPHATE)","DEXAMETHASONE PHOSPHATE",FALSE,"DEXAMETHASONE PHOSPHATE (DEXAMETHASONE SODIUM PHOSPHATE)"
"437","Y","DEXAMETHASONE","DEXAMETHASONE SODIUM PHOSPHATE","DEXAMETHASONE SODIUM PHOSPHATE",FALSE,"DEXAMETHASONE SODIUM PHOSPHATE"
"438","","","DEXBROMPHENIRAMINE MALEATE","DEXBROMPHENIRAMINE MALEATE",FALSE,"DEXBROMPHENIRAMINE MALEATE"
"439","Y","DEXLANSOPRAZOLE","DEXLANSOPRAZOLE","DEXLANSOPRAZOLE",FALSE,"DEXLANSOPRAZOLE"
"440","","","DEXMEDETOMIDINE (DEXMEDETOMIDINE HYDROCHLORIDE)","DEXMEDETOMIDINE (DEXMEDETOMIDINE HYDROCHLORIDE)",FALSE,"DEXMEDETOMIDINE (DEXMEDETOMIDINE HYDROCHLORIDE)"
"441","","","DEXPANTHENOL","DEXPANTHENOL",FALSE,"DEXPANTHENOL"
"442","","","DEXPANTHENOL (PANTHENOL)","DEXPANTHENOL (PANTHENOL)",FALSE,"DEXPANTHENOL (PANTHENOL)"
"443","","","DEXRAZOXANE","DEXRAZOXANE",FALSE,"DEXRAZOXANE"
"444","","","DEXTRAN","DEXTRAN",FALSE,"DEXTRAN"
"445","","","DEXTRAN 40","DEXTRAN 40",FALSE,"DEXTRAN 40"
"446","","","DEXTRAN 70","DEXTRAN 70",FALSE,"DEXTRAN 70"
"447","Y","DEXTROAMPHETAMINE","DEXTROAMPHETAMINE SACCHARATE","DEXTROAMPHETAMINE",FALSE,"DEXTROAMPHETAMINE SACCHARATE"
"448","Y","DEXTROAMPHETAMINE","DEXTROAMPHETAMINE SULFATE","DEXTROAMPHETAMINE",FALSE,"DEXTROAMPHETAMINE SULFATE"
"449","","","DEXTROMETHORPHAN HYDROBROMIDE","DEXTROMETHORPHAN HYDROBROMIDE",FALSE,"DEXTROMETHORPHAN HYDROBROMIDE"
"450","","","DEXTROMETHORPHAN HYDROBROMIDE (DEXTROMETHORPHAN POLISTIREX)","DEXTROMETHORPHAN HYDROBROMIDE (DEXTROMETHORPHAN POLISTIREX)",FALSE,"DEXTROMETHORPHAN HYDROBROMIDE (DEXTROMETHORPHAN POLISTIREX)"
"451","","","DEXTROSE","DEXTROSE",FALSE,"DEXTROSE"
"452","","","DEXTROSE (DEXTROSE MONOHYDRATE)","DEXTROSE (DEXTROSE MONOHYDRATE)",TRUE,"DEXTROSE (DEXTROSE MONOHYDRATE)"
"453","","","DEXTROSE ANHYDROUS","DEXTROSE ANHYDROUS",FALSE,"DEXTROSE ANHYDROUS"
"454","","","DIATRIZOATE MEGLUMINE","DIATRIZOATE MEGLUMINE",FALSE,"DIATRIZOATE MEGLUMINE"
"455","","","DIATRIZOATE SODIUM","DIATRIZOATE SODIUM",FALSE,"DIATRIZOATE SODIUM"
"456","Y","DIAZEPAM","DIAZEPAM","DIAZEPAM",FALSE,"DIAZEPAM"
"457","","","DIAZOXIDE","DIAZOXIDE",FALSE,"DIAZOXIDE"
"458","Y","DIBUCAINE","DIBUCAINE HYDROCHLORIDE","DIBUCAINE",FALSE,"DIBUCAINE HYDROCHLORIDE"
"459","","","DICHLOROBENZENE","DICHLOROBENZENE",FALSE,"DICHLOROBENZENE"
"460","","","DICHLOROBENZYL ALCOHOL","DICHLOROBENZYL ALCOHOL",FALSE,"DICHLOROBENZYL ALCOHOL"
"461","Y","DICLOFENAC","DICLOFENAC DIETHYLAMINE","DICLOFENAC",FALSE,"DICLOFENAC DIETHYLAMINE"
"462","Y","DICLOFENAC","DICLOFENAC POTASSIUM","DICLOFENAC",FALSE,"DICLOFENAC POTASSIUM"
"463","Y","DICLOFENAC","DICLOFENAC SODIUM","DICLOFENAC",FALSE,"DICLOFENAC SODIUM"
"464","","","DICYCLOMINE HYDROCHLORIDE","DICYCLOMINE HYDROCHLORIDE",FALSE,"DICYCLOMINE HYDROCHLORIDE"
"465","","","DIDANOSINE","DIDANOSINE",FALSE,"DIDANOSINE"
"466","","","DIDECYL DIMETHYL AMMONIUM CHLORIDE","DIDECYL DIMETHYL AMMONIUM CHLORIDE",FALSE,"DIDECYL DIMETHYL AMMONIUM CHLORIDE"
"467","","","DIFLUNISAL","DIFLUNISAL",FALSE,"DIFLUNISAL"
"468","Y","DIGOXIN","DIGOXIN","DIGOXIN",FALSE,"DIGOXIN"
"469","","","DIGOXIN IMMUNE FAB (OVINE)","DIGOXIN IMMUNE FAB (OVINE)",FALSE,"DIGOXIN IMMUNE FAB (OVINE)"
"470","","","DIHYDROERGOTAMINE MESYLATE","DIHYDROERGOTAMINE MESYLATE",FALSE,"DIHYDROERGOTAMINE MESYLATE"
"471","Y","DILTIAZEM","DILTIAZEM HYDROCHLORIDE","DILTIAZEM",FALSE,"DILTIAZEM HYDROCHLORIDE"
"472","","","DILUENT","DILUENT",FALSE,"DILUENT"
"473","","","DIMENHYDRINATE","DIMENHYDRINATE",FALSE,"DIMENHYDRINATE"
"474","","","DIMERCAPROL","DIMERCAPROL",FALSE,"DIMERCAPROL"
"475","","","DIMETHICONE","DIMETHICONE",FALSE,"DIMETHICONE"
"476","","","DIMETHYL SULFOXIDE","DIMETHYL SULFOXIDE",FALSE,"DIMETHYL SULFOXIDE"
"477","","","DINOPROST (DINOPROST TROMETHAMINE)","DINOPROST (DINOPROST TROMETHAMINE)",FALSE,"DINOPROST (DINOPROST TROMETHAMINE)"
"478","","","DINOPROSTONE","DINOPROSTONE",FALSE,"DINOPROSTONE"
"479","","","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","DIOCTYL DIMETHYL AMMONIUM CHLORIDE",FALSE,"DIOCTYL DIMETHYL AMMONIUM CHLORIDE"
"480","","","DIPHENHYDRAMINE CITRATE","DIPHENHYDRAMINE CITRATE",FALSE,"DIPHENHYDRAMINE CITRATE"
"481","","","DIPHENHYDRAMINE HYDROCHLORIDE","DIPHENHYDRAMINE HYDROCHLORIDE",FALSE,"DIPHENHYDRAMINE HYDROCHLORIDE"
"482","","","DIPHENOXYLATE HYDROCHLORIDE","DIPHENOXYLATE HYDROCHLORIDE",FALSE,"DIPHENOXYLATE HYDROCHLORIDE"
"483","","","DIPHENYLPYRALINE HYDROCHLORIDE","DIPHENYLPYRALINE HYDROCHLORIDE",FALSE,"DIPHENYLPYRALINE HYDROCHLORIDE"
"484","","","DIPHTHERIA TOXOID","DIPHTHERIA TOXOID",FALSE,"DIPHTHERIA TOXOID"
"485","","","DIPHTHERIA TOXOID ADSORBED","DIPHTHERIA TOXOID ADSORBED",FALSE,"DIPHTHERIA TOXOID ADSORBED"
"486","","","DIPIVEFRIN HYDROCHLORIDE","DIPIVEFRIN HYDROCHLORIDE",FALSE,"DIPIVEFRIN HYDROCHLORIDE"
"487","","","DIPYRIDAMOLE","DIPYRIDAMOLE",FALSE,"DIPYRIDAMOLE"
"488","","","DISODIUM EDETATE","DISODIUM EDETATE",FALSE,"DISODIUM EDETATE"
"489","","","DISOPYRAMIDE","DISOPYRAMIDE",FALSE,"DISOPYRAMIDE"
"490","","","DL-METHIONINE","DL-METHIONINE",FALSE,"DL-METHIONINE"
"491","","","DOBUTAMINE (DOBUTAMINE HYDROCHLORIDE)","DOBUTAMINE (DOBUTAMINE HYDROCHLORIDE)",FALSE,"DOBUTAMINE (DOBUTAMINE HYDROCHLORIDE)"
"492","","","DOCETAXEL","DOCETAXEL",FALSE,"DOCETAXEL"
"493","","","DOCOSANOL","DOCOSANOL",FALSE,"DOCOSANOL"
"494","","","DOCUSATE CALCIUM","DOCUSATE CALCIUM",FALSE,"DOCUSATE CALCIUM"
"495","","","DOCUSATE SODIUM","DOCUSATE SODIUM",FALSE,"DOCUSATE SODIUM"
"496","","","DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT","DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT",FALSE,"DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT"
"497","","","DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT","DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT",FALSE,"DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT"
"498","","","DOLUTEGRAVIR (DOLUTEGRAVIR SODIUM)","DOLUTEGRAVIR (DOLUTEGRAVIR SODIUM)",FALSE,"DOLUTEGRAVIR (DOLUTEGRAVIR SODIUM)"
"499","Y","DOMPERIDONE","DOMPERIDONE (DOMPERIDONE MALEATE)","DOMPERIDONE",FALSE,"DOMPERIDONE (DOMPERIDONE MALEATE)"
"500","Y","DONEPEZIL","DONEPEZIL HYDROCHLORIDE","DONEPEZIL",FALSE,"DONEPEZIL HYDROCHLORIDE"
"501","Y","DONEPEZIL","DONEPEZIL HYDROCHLORIDE (DONEPEZIL HYDROCHLORIDE MONOHYDRATE)","DONEPEZIL",TRUE,"DONEPEZIL HYDROCHLORIDE (DONEPEZIL HYDROCHLORIDE MONOHYDRATE)"
"502","","","DOPAMINE HYDROCHLORIDE","DOPAMINE HYDROCHLORIDE",FALSE,"DOPAMINE HYDROCHLORIDE"
"503","","","DORNASE ALFA","DORNASE ALFA",FALSE,"DORNASE ALFA"
"504","Y","DORZOLAMIDE","DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE)","DORZOLAMIDE",FALSE,"DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE)"
"505","Y","DOXAZOSIN","DOXAZOSIN (DOXAZOSIN MESYLATE)","DOXAZOSIN",FALSE,"DOXAZOSIN (DOXAZOSIN MESYLATE)"
"506","","","DOXEPIN (DOXEPIN HYDROCHLORIDE)","DOXEPIN (DOXEPIN HYDROCHLORIDE)",FALSE,"DOXEPIN (DOXEPIN HYDROCHLORIDE)"
"507","","","DOXORUBICIN HYDROCHLORIDE","DOXORUBICIN HYDROCHLORIDE",FALSE,"DOXORUBICIN HYDROCHLORIDE"
"508","Y","DOXYCYCLINE","DOXYCYCLINE (DOXYCYCLINE HYCLATE)","DOXYCYCLINE",FALSE,"DOXYCYCLINE (DOXYCYCLINE HYCLATE)"
"509","Y","DOXYCYCLINE","DOXYCYCLINE (Doxycycline Monohydrate)","DOXYCYCLINE",TRUE,"DOXYCYCLINE (Doxycycline Monohydrate)"
"510","","","DOXYLAMINE SUCCINATE","DOXYLAMINE SUCCINATE",FALSE,"DOXYLAMINE SUCCINATE"
"511","","","DROMETRIZOLE TRISILOXANE","DROMETRIZOLE TRISILOXANE",FALSE,"DROMETRIZOLE TRISILOXANE"
"512","","","DRONEDARONE (DRONEDARONE HYDROCHLORIDE)","DRONEDARONE (DRONEDARONE HYDROCHLORIDE)",FALSE,"DRONEDARONE (DRONEDARONE HYDROCHLORIDE)"
"513","","","DROPERIDOL","DROPERIDOL",FALSE,"DROPERIDOL"
"514","Y","DROSPIRENONE","DROSPIRENONE","DROSPIRENONE",FALSE,"DROSPIRENONE"
"515","","","DULAGLUTIDE","DULAGLUTIDE",FALSE,"DULAGLUTIDE"
"516","Y","DULOXETINE","DULOXETINE (DULOXETINE HYDROCHLORIDE)","DULOXETINE",FALSE,"DULOXETINE (DULOXETINE HYDROCHLORIDE)"
"517","Y","DUTASTERIDE","DUTASTERIDE","DUTASTERIDE",FALSE,"DUTASTERIDE"
"518","","","DYCLONINE HYDROCHLORIDE","DYCLONINE HYDROCHLORIDE",FALSE,"DYCLONINE HYDROCHLORIDE"
"519","","","Dabrafenib (Dabrafenib mesylate)","Dabrafenib (Dabrafenib mesylate)",FALSE,"Dabrafenib (Dabrafenib mesylate)"
"520","","","Daclatasvir (Daclatasvir Dihydrochloride)","Daclatasvir (Daclatasvir Dihydrochloride)",FALSE,"Daclatasvir (Daclatasvir Dihydrochloride)"
"521","","","Dapagliflozin (Dapagliflozin propanediol monohydrate)","Dapagliflozin (Dapagliflozin propanediol monohydrate)",TRUE,"Dapagliflozin (Dapagliflozin propanediol monohydrate)"
"522","","","Dasabuvir (Dasabuvir sodium monohydrate)","Dasabuvir (Dasabuvir sodium monohydrate)",TRUE,"Dasabuvir (Dasabuvir sodium monohydrate)"
"523","","","Deferiprone","Deferiprone",FALSE,"Deferiprone"
"524","","","Dienogest","Dienogest",FALSE,"Dienogest"
"525","","","Dimethyl Fumarate","Dimethyl Fumarate",FALSE,"Dimethyl Fumarate"
"526","","","ECULIZUMAB","ECULIZUMAB",FALSE,"ECULIZUMAB"
"527","","","EDOXABAN (EDOXABAN TOSYLATE)","EDOXABAN (EDOXABAN TOSYLATE)",FALSE,"EDOXABAN (EDOXABAN TOSYLATE)"
"528","","","EFAVIRENZ","EFAVIRENZ",FALSE,"EFAVIRENZ"
"529","","","EFLORNITHINE HYDROCHLORIDE","EFLORNITHINE HYDROCHLORIDE",FALSE,"EFLORNITHINE HYDROCHLORIDE"
"530","","","ELBASVIR","ELBASVIR",FALSE,"ELBASVIR"
"531","","","ELETRIPTAN (ELETRIPTAN HYDROBROMIDE)","ELETRIPTAN (ELETRIPTAN HYDROBROMIDE)",FALSE,"ELETRIPTAN (ELETRIPTAN HYDROBROMIDE)"
"532","","","ELTROMBOPAG (ELTROMBOPAG OLAMINE)","ELTROMBOPAG (ELTROMBOPAG OLAMINE)",FALSE,"ELTROMBOPAG (ELTROMBOPAG OLAMINE)"
"533","","","ELUXADOLINE","ELUXADOLINE",FALSE,"ELUXADOLINE"
"534","","","EMPAGLIFLOZIN","EMPAGLIFLOZIN",FALSE,"EMPAGLIFLOZIN"
"535","","","EMTRICITABINE","EMTRICITABINE",FALSE,"EMTRICITABINE"
"536","Y","ENALAPRIL","ENALAPRIL MALEATE","ENALAPRIL",FALSE,"ENALAPRIL MALEATE"
"537","Y","ENALAPRIL","ENALAPRIL SODIUM","ENALAPRIL",FALSE,"ENALAPRIL SODIUM"
"538","Y","ENALAPRIL","ENALAPRIL SODIUM (ENALAPRIL MALEATE)","ENALAPRIL",FALSE,"ENALAPRIL SODIUM (ENALAPRIL MALEATE)"
"539","","","ENALAPRILAT","ENALAPRILAT",FALSE,"ENALAPRILAT"
"540","","","ENFUVIRTIDE","ENFUVIRTIDE",FALSE,"ENFUVIRTIDE"
"541","","","ENOXAPARIN SODIUM","ENOXAPARIN SODIUM",FALSE,"ENOXAPARIN SODIUM"
"542","","","ENSULIZOLE","ENSULIZOLE",FALSE,"ENSULIZOLE"
"543","","","ENTACAPONE","ENTACAPONE",FALSE,"ENTACAPONE"
"544","","","ENTECAVIR","ENTECAVIR",FALSE,"ENTECAVIR"
"545","","","ENTECAVIR (ENTECAVIR MONOHYDRATE)","ENTECAVIR (ENTECAVIR MONOHYDRATE)",TRUE,"ENTECAVIR (ENTECAVIR MONOHYDRATE)"
"546","","","ENZACAMENE","ENZACAMENE",FALSE,"ENZACAMENE"
"547","","","EPHEDRINE SULFATE","EPHEDRINE SULFATE",FALSE,"EPHEDRINE SULFATE"
"548","Y","EPINEPHRINE","EPINEPHRINE","EPINEPHRINE",FALSE,"EPINEPHRINE"
"549","Y","EPINEPHRINE","EPINEPHRINE (EPINEPHRINE BITARTRATE)","EPINEPHRINE",FALSE,"EPINEPHRINE (EPINEPHRINE BITARTRATE)"
"550","Y","EPINEPHRINE","EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE)","EPINEPHRINE",FALSE,"EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE)"
"551","Y","EPINEPHRINE","EPINEPHRINE BITARTRATE","EPINEPHRINE",FALSE,"EPINEPHRINE BITARTRATE"
"552","Y","EPINEPHRINE","EPINEPHRINE RACEMIC","EPINEPHRINE",FALSE,"EPINEPHRINE RACEMIC"
"553","","","EPIRUBICIN HYDROCHLORIDE","EPIRUBICIN HYDROCHLORIDE",FALSE,"EPIRUBICIN HYDROCHLORIDE"
"554","","","EPLERENONE","EPLERENONE",FALSE,"EPLERENONE"
"555","","","EPOETIN ALFA","EPOETIN ALFA",FALSE,"EPOETIN ALFA"
"556","","","EPOPROSTENOL (EPOPROSTENOL SODIUM)","EPOPROSTENOL (EPOPROSTENOL SODIUM)",FALSE,"EPOPROSTENOL (EPOPROSTENOL SODIUM)"
"557","","","EPROSARTAN (EPROSARTAN MESYLATE)","EPROSARTAN (EPROSARTAN MESYLATE)",FALSE,"EPROSARTAN (EPROSARTAN MESYLATE)"
"558","","","EPTACOG ALFA (ACTIVATED)","EPTACOG ALFA (ACTIVATED)",FALSE,"EPTACOG ALFA (ACTIVATED)"
"559","","","EPTIFIBATIDE","EPTIFIBATIDE",FALSE,"EPTIFIBATIDE"
"560","","","ERGOLOID MESYLATES","ERGOLOID MESYLATES",FALSE,"ERGOLOID MESYLATES"
"561","","","ERGONOVINE MALEATE","ERGONOVINE MALEATE",FALSE,"ERGONOVINE MALEATE"
"562","","","ERGOTAMINE TARTRATE","ERGOTAMINE TARTRATE",FALSE,"ERGOTAMINE TARTRATE"
"563","","","ERLOTINIB (ERLOTINIB HYDROCHLORIDE)","ERLOTINIB (ERLOTINIB HYDROCHLORIDE)",FALSE,"ERLOTINIB (ERLOTINIB HYDROCHLORIDE)"
"564","","","ERTAPENEM (ERTAPENEM SODIUM)","ERTAPENEM (ERTAPENEM SODIUM)",FALSE,"ERTAPENEM (ERTAPENEM SODIUM)"
"565","Y","ERYTHROMYCIN","ERYTHROMYCIN","ERYTHROMYCIN",FALSE,"ERYTHROMYCIN"
"566","Y","ERYTHROMYCIN","ERYTHROMYCIN (ERYTHROMYCIN ESTOLATE)","ERYTHROMYCIN",FALSE,"ERYTHROMYCIN (ERYTHROMYCIN ESTOLATE)"
"567","Y","ERYTHROMYCIN","ERYTHROMYCIN (ERYTHROMYCIN ETHYLSUCCINATE)","ERYTHROMYCIN",FALSE,"ERYTHROMYCIN (ERYTHROMYCIN ETHYLSUCCINATE)"
"568","Y","ERYTHROMYCIN","ERYTHROMYCIN (ERYTHROMYCIN LACTOBIONATE)","ERYTHROMYCIN",FALSE,"ERYTHROMYCIN (ERYTHROMYCIN LACTOBIONATE)"
"569","Y","ERYTHROMYCIN","ERYTHROMYCIN (ERYTHROMYCIN STEARATE)","ERYTHROMYCIN",FALSE,"ERYTHROMYCIN (ERYTHROMYCIN STEARATE)"
"570","","","ERYTHROSINE","ERYTHROSINE",FALSE,"ERYTHROSINE"
"571","Y","ESCITALOPRAM","ESCITALOPRAM","ESCITALOPRAM",FALSE,"ESCITALOPRAM"
"572","Y","ESCITALOPRAM","ESCITALOPRAM (ESCITALOPRAM OXALATE)","ESCITALOPRAM",FALSE,"ESCITALOPRAM (ESCITALOPRAM OXALATE)"
"573","Y","ESCULIN","ESCULIN","ESCULIN",FALSE,"ESCULIN"
"574","","","ESMOLOL HYDROCHLORIDE","ESMOLOL HYDROCHLORIDE",FALSE,"ESMOLOL HYDROCHLORIDE"
"575","Y","ESOMEPRAZOLE","ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM TRIHYDRATE)","ESOMEPRAZOLE",TRUE,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM TRIHYDRATE)"
"576","Y","ESOMEPRAZOLE","ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM)","ESOMEPRAZOLE",FALSE,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM)"
"577","Y","ESOMEPRAZOLE","ESOMEPRAZOLE (Esomeprazole magnesium dihydrate)","ESOMEPRAZOLE",TRUE,"ESOMEPRAZOLE (Esomeprazole magnesium dihydrate)"
"578","Y","ESTRADIOL","ESTRADIOL","ESTRADIOL",FALSE,"ESTRADIOL"
"579","Y","ESTRADIOL","ESTRADIOL (ESTRADIOL HEMIHYDRATE)","ESTRADIOL",TRUE,"ESTRADIOL (ESTRADIOL HEMIHYDRATE)"
"580","","","ESTRAMUSTINE PHOSPHATE SODIUM","ESTRAMUSTINE PHOSPHATE SODIUM",FALSE,"ESTRAMUSTINE PHOSPHATE SODIUM"
"581","","","ESTRONE","ESTRONE",FALSE,"ESTRONE"
"582","","","ETAFEDRIN HYDROCHLORIDE","ETAFEDRIN HYDROCHLORIDE",FALSE,"ETAFEDRIN HYDROCHLORIDE"
"583","","","ETANERCEPT","ETANERCEPT",FALSE,"ETANERCEPT"
"584","","","ETHACRYNIC ACID","ETHACRYNIC ACID",FALSE,"ETHACRYNIC ACID"
"585","","","ETHACRYNIC ACID (ETHACRYNATE SODIUM)","ETHACRYNIC ACID (ETHACRYNATE SODIUM)",FALSE,"ETHACRYNIC ACID (ETHACRYNATE SODIUM)"
"586","","","ETHAMBUTOL HYDROCHLORIDE","ETHAMBUTOL HYDROCHLORIDE",FALSE,"ETHAMBUTOL HYDROCHLORIDE"
"587","Y","ETHINYL ESTRADIOL","ETHINYL ESTRADIOL","ETHINYL ESTRADIOL",FALSE,"ETHINYL ESTRADIOL"
"588","","","ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE)","ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE)",FALSE,"ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE)"
"589","","","ETHOSUXIMIDE","ETHOSUXIMIDE",FALSE,"ETHOSUXIMIDE"
"590","","","ETHYNODIOL DIACETATE","ETHYNODIOL DIACETATE",FALSE,"ETHYNODIOL DIACETATE"
"591","","","ETIDRONATE DISODIUM","ETIDRONATE DISODIUM",FALSE,"ETIDRONATE DISODIUM"
"592","","","ETODOLAC","ETODOLAC",FALSE,"ETODOLAC"
"593","Y","ETONOGESTREL","ETONOGESTREL","ETONOGESTREL",FALSE,"ETONOGESTREL"
"594","","","ETOPOSIDE","ETOPOSIDE",FALSE,"ETOPOSIDE"
"595","","","ETRAVIRINE","ETRAVIRINE",FALSE,"ETRAVIRINE"
"596","","","EUCALYPTOL","EUCALYPTOL",FALSE,"EUCALYPTOL"
"597","","","EVEROLIMUS","EVEROLIMUS",FALSE,"EVEROLIMUS"
"598","","","EVOLOCUMAB","EVOLOCUMAB",FALSE,"EVOLOCUMAB"
"599","","","EXEMESTANE","EXEMESTANE",FALSE,"EXEMESTANE"
"600","","","EXENATIDE","EXENATIDE",FALSE,"EXENATIDE"
"601","Y","EZETIMIBE","EZETIMIBE","EZETIMIBE",FALSE,"EZETIMIBE"
"602","","","Efinaconazole","Efinaconazole",FALSE,"Efinaconazole"
"603","","","Elosulfase Alfa","Elosulfase Alfa",FALSE,"Elosulfase Alfa"
"604","","","Elvitegravir","Elvitegravir",FALSE,"Elvitegravir"
"605","","","Enzalutamide","Enzalutamide",FALSE,"Enzalutamide"
"606","","","Eribulin Mesylate","Eribulin Mesylate",FALSE,"Eribulin Mesylate"
"607","","","Eslicarbazepine acetate","Eslicarbazepine acetate",FALSE,"Eslicarbazepine acetate"
"608","","","FACTOR XIII","FACTOR XIII",FALSE,"FACTOR XIII"
"609","","","FAMCICLOVIR","FAMCICLOVIR",FALSE,"FAMCICLOVIR"
"610","","","FAMOTIDINE","FAMOTIDINE",FALSE,"FAMOTIDINE"
"611","","","FAMPRIDINE","FAMPRIDINE",FALSE,"FAMPRIDINE"
"612","","","FEBUXOSTAT","FEBUXOSTAT",FALSE,"FEBUXOSTAT"
"613","Y","FELODIPINE","FELODIPINE","FELODIPINE",FALSE,"FELODIPINE"
"614","Y","FENOFIBRATE","FENOFIBRATE","FENOFIBRATE",FALSE,"FENOFIBRATE"
"615","Y","FENTANYL","FENTANYL","FENTANYL",FALSE,"FENTANYL"
"616","Y","FENTANYL","FENTANYL (FENTANYL CITRATE)","FENTANYL",FALSE,"FENTANYL (FENTANYL CITRATE)"
"617","","","FESOTERODINE FUMARATE","FESOTERODINE FUMARATE",FALSE,"FESOTERODINE FUMARATE"
"618","","","FEXOFENADINE HYDROCHLORIDE","FEXOFENADINE HYDROCHLORIDE",FALSE,"FEXOFENADINE HYDROCHLORIDE"
"619","","","FIBRINOGEN (HUMAN)","FIBRINOGEN (HUMAN)",FALSE,"FIBRINOGEN (HUMAN)"
"620","","","FILAMENTOUS HAEMAGGLUTININ","FILAMENTOUS HAEMAGGLUTININ",FALSE,"FILAMENTOUS HAEMAGGLUTININ"
"621","","","FILAMENTOUS HAEMAGGLUTININ ADSORBED","FILAMENTOUS HAEMAGGLUTININ ADSORBED",FALSE,"FILAMENTOUS HAEMAGGLUTININ ADSORBED"
"622","","","FILGRASTIM (R-METHUG-CSF)","FILGRASTIM (R-METHUG-CSF)",FALSE,"FILGRASTIM (R-METHUG-CSF)"
"623","","","FIMBRIAE","FIMBRIAE",FALSE,"FIMBRIAE"
"624","","","FIMBRIAE TYPES 2 AND 3 (FIM)","FIMBRIAE TYPES 2 AND 3 (FIM)",FALSE,"FIMBRIAE TYPES 2 AND 3 (FIM)"
"625","Y","FINASTERIDE","FINASTERIDE","FINASTERIDE",FALSE,"FINASTERIDE"
"626","","","FISH OIL","FISH OIL",FALSE,"FISH OIL"
"627","","","FLAVOXATE HYDROCHLORIDE","FLAVOXATE HYDROCHLORIDE",FALSE,"FLAVOXATE HYDROCHLORIDE"
"628","","","FLECAINIDE ACETATE","FLECAINIDE ACETATE",FALSE,"FLECAINIDE ACETATE"
"629","","","FLOCTAFENINE","FLOCTAFENINE",FALSE,"FLOCTAFENINE"
"630","","","FLUCONAZOLE","FLUCONAZOLE",FALSE,"FLUCONAZOLE"
"631","","","FLUDARABINE PHOSPHATE","FLUDARABINE PHOSPHATE",FALSE,"FLUDARABINE PHOSPHATE"
"632","","","FLUDROCORTISONE 21-ACETATE","FLUDROCORTISONE 21-ACETATE",FALSE,"FLUDROCORTISONE 21-ACETATE"
"633","","","FLUMAZENIL","FLUMAZENIL",FALSE,"FLUMAZENIL"
"634","","","FLUMETHASONE PIVALATE","FLUMETHASONE PIVALATE",FALSE,"FLUMETHASONE PIVALATE"
"635","","","FLUNARIZINE (FLUNARIZINE HYDROCHLORIDE)","FLUNARIZINE (FLUNARIZINE HYDROCHLORIDE)",FALSE,"FLUNARIZINE (FLUNARIZINE HYDROCHLORIDE)"
"636","","","FLUNISOLIDE","FLUNISOLIDE",FALSE,"FLUNISOLIDE"
"637","","","FLUOCINOLONE ACETONIDE","FLUOCINOLONE ACETONIDE",FALSE,"FLUOCINOLONE ACETONIDE"
