"","basis_of_strength_ing","n_codes","ai_codes","top250"
"990","SODIUM HYPOCHLORITE",1,"539",NA
"991","IBRUTINIB",1,"22542",NA
"992","IBUPROFEN",1,"2609","IBUPROFEN"
"993","IBUTILIDE FUMARATE",1,"12005",NA
"994","ICATIBANT",1,"22341",NA
"995","ICODEXTRIN",1,"11909",NA
"996","IDARUBICIN HYDROCHLORIDE",1,"1745",NA
"997","IDARUCIZUMAB",1,"22710",NA
"998","IDELALISIB",1,"22590",NA
"999","IDOXURIDINE",1,"8313",NA
"1000","IDURSULFASE",1,"20141",NA
"1001","IFOSFAMIDE",1,"1747",NA
"1002","IMATINIB",1,"12429",NA
"1003","IMIGLUCERASE",1,"11365",NA
"1004","IMIPENEM",1,"1390",NA
"1005","IMIPRAMINE HYDROCHLORIDE",1,"9267",NA
"1006","IMIQUIMOD",1,"11834",NA
"1007","INDACATEROL",1,"21063",NA
"1008","INDAPAMIDE",1,"1960","INDAPAMIDE"
"1009","INDOCYANINE GREEN",1,"5920",NA
"1010","INDOMETHACIN",1,"10126","INDOMETHACIN"
"1011","INGENOL MEBUTATE",1,"21660",NA
"1012","INOSINE PRANOBEX",1,"11879",NA
"1013","INOSITOL",1,"4959",NA
"1014","INSULIN ASPART",1,"12335","INSULIN ASPART"
"1015","INSULIN DETEMIR",1,"13104","INSULIN DETEMIR"
"1016","INSULIN GLARGINE",1,"12724","INSULIN GLARGINE"
"1017","INSULIN ISOPHANE HUMAN BIOSYNTHETIC",1,"7671",NA
"1018","INSULIN LISPRO",1,"11115","INSULIN LISPRO"
"1019","INTERFERON ALFA-2B",1,"1751",NA
"1020","PEGINTERFERON ALFA-2B",1,"12036",NA
"1021","INTERFERON BETA-1A",1,"11746",NA
"1022","INTERFERON BETA-1B",1,"172",NA
"1023","IODIDE",1,"11394",NA
"1024","SODIUM IODIDE",1,"9240",NA
"1025","IODIXANOL",1,"250",NA
"1026","IODOFORM",1,"10011",NA
"1027","IOHEXOL",1,"8092",NA
"1028","IOPAMIDOL",1,"8042",NA
"1029","IOPROMIDE",1,"521",NA
"1030","IOTHALAMATE MEGLUMINE",1,"12859",NA
"1031","IOVERSOL",1,"1187",NA
"1032","IPILIMUMAB",1,"21164",NA
"1033","IRBESARTAN",1,"11776","IRBESARTAN"
"1034","ISOFLURANE",1,"2019",NA
"1035","ISOLEUCINE",1,"9929",NA
"1036","ISONIAZID",1,"6618",NA
"1037","ISOPROPYL ALCOHOL",1,"8881",NA
"1038","ISOPROTERENOL HYDROCHLORIDE",1,"10114",NA
"1039","ISOSORBIDE DINITRATE",1,"9627",NA
"1040","ISOSORBIDE-5-MONONITRATE",1,"1298","ISOSORBIDE-5-MONONITRATE"
"1041","ISOTRETINOIN",1,"5044",NA
"1042","ITRACONAZOLE",1,"901",NA
"1043","IVABRADINE",1,"22836",NA
"1044","IVACAFTOR",1,"21511",NA
"1045","IVERMECTIN",1,"623",NA
"1046","IXAZOMIB",1,"22810",NA
"1047","IXEKIZUMAB",1,"22714",NA
"1048","KETAMINE",1,"11190",NA
"1049","KETOCONAZOLE",1,"1855",NA
"1050","KETOPROFEN",1,"2327",NA
"1051","KETOROLAC TROMETHAMINE",1,"1241",NA
"1052","KETOTIFEN",1,"11175",NA
"1053","KETOTIFEN FUMARATE",1,"1944",NA
"1054","LABETALOL HYDROCHLORIDE",1,"1896",NA
"1055","LACOSAMIDE",1,"20636",NA
"1056","LACTIC ACID",2,"3487, 6777",NA
"1057","SODIUM LACTATE",1,"1074",NA
"1058","LACTULOSE",1,"2395",NA
"1059","LAMIVUDINE",1,"122",NA
"1060","LAMOTRIGINE",1,"238","LAMOTRIGINE"
"1061","LANOLIN",1,"6974",NA
"1062","LANREOTIDE",1,"19728",NA
"1063","LANSOPRAZOLE",1,"180","LANSOPRAZOLE"
"1064","LARONIDASE",1,"13106",NA
"1065","LATANOPROST",1,"11458","LATANOPROST"
"1066","LEDIPASVIR",1,"22523",NA
"1067","LEFLUNOMIDE",1,"11980",NA
"1068","LENALIDOMIDE",1,"20185",NA
"1069","LENVATINIB",1,"22675",NA
"1070","LETROZOLE",1,"11446",NA
"1071","LEUCINE",1,"10239",NA
"1072","LEUCOVORIN",1,"11389",NA
"1073","LEUPROLIDE ACETATE",1,"1756",NA
"1074","LEVETIRACETAM",1,"13107","LEVETIRACETAM"
"1075","LEVOBUNOLOL HYDROCHLORIDE",1,"1848",NA
"1076","LEVOCABASTINE",1,"923",NA
"1077","LEVOCARNITINE",1,"233",NA
"1078","LEVODOPA",1,"4068",NA
"1079","LEVOMEFOLATE CALCIUM",1,"21354",NA
"1080","LEVOMILNACIPRAN",1,"22602",NA
"1081","LEVONORGESTREL",1,"7490",NA
"1082","LEVOTHYROXINE SODIUM",1,"5325","LEVOTHYROXINE"
"1083","LIDOCAINE",1,"9471",NA
"1084","LINACLOTIDE",1,"22180",NA
"1085","LINAGLIPTIN",1,"20882",NA
"1086","LINEZOLID",1,"12110",NA
"1087","LIOTHYRONINE",1,"9954",NA
"1088","LIRAGLUTIDE",1,"20592",NA
"1089","LISDEXAMFETAMINE DIMESYLATE",1,"20437","LISDEXAMFETAMINE"
"1090","LISINOPRIL",1,"1253","LISINOPRIL"
"1091","LITHIUM CARBONATE",1,"10227",NA
"1092","LITHIUM",1,"1399","LITHIUM"
"1093","LODOXAMIDE",1,"11177",NA
"1094","LOMITAPIDE",1,"22241",NA
"1095","LOMUSTINE",1,"2275",NA
"1096","LOPERAMIDE HYDROCHLORIDE",1,"2251",NA
"1097","LOPINAVIR",1,"12093",NA
"1098","LORATADINE",1,"1299",NA
"1099","LORAZEPAM",1,"2300","LORAZEPAM"
"1100","LOSARTAN POTASSIUM",1,"144",NA
"1101","LOTEPREDNOL ETABONATE",1,"20429",NA
"1102","LOVASTATIN",1,"1290",NA
"1103","LOXAPINE",1,"2189",NA
"1104","LUMACAFTOR",1,"22685",NA
"1105","LURASIDONE HYDROCHLORIDE",1,"21372",NA
"1106","LUTROPIN ALFA",1,"15875",NA
"1107","MACITENTAN",1,"22162",NA
"1108","MAGNESIUM ACETATE",1,"5253",NA
"1109","MAGNESIUM OXIDE",1,"778",NA
"1110","MAGNESIUM",1,"6487",NA
"1111","MAGNESIUM SULFATE",1,"8750",NA
"1112","MANGANESE CHLORIDE",1,"9229",NA
"1113","MANGANESE",1,"10194",NA
"1114","MANNITOL",1,"9547",NA
"1115","MAPROTILINE HYDROCHLORIDE",1,"2274",NA
"1116","MARAVIROC",1,"20160",NA
"1117","MEBENDAZOLE",1,"2434",NA
"1118","MEDROXYPROGESTERONE ACETATE",1,"7538","MEDROXYPROGESTERONE"
"1119","MEFENAMIC ACID",1,"10002",NA
"1120","MEFLOQUINE",1,"11386",NA
"1121","MEGESTROL ACETATE",1,"7534",NA
"1122","MELOXICAM",1,"11764","MELOXICAM"
"1123","MELPHALAN",1,"9872",NA
"1124","MEMANTINE HYDROCHLORIDE",1,"13366",NA
"1125","MENOTROPINS",1,"7369",NA
"1126","MENTHOL",1,"265",NA
"1127","MEPERIDINE HYDROCHLORIDE",1,"9118",NA
"1128","MEPERIDINE",1,"11358",NA
"1129","MEPIVACAINE HYDROCHLORIDE",1,"10271",NA
"1130","MEPOLIZUMAB",1,"12884",NA
"1131","MERADIMATE",1,"13124",NA
"1132","MERCAPTOPURINE",1,"11804",NA
"1133","MESALAZINE",1,"14088","MESALAMINE"
"1134","METFORMIN HYDROCHLORIDE",1,"10147",NA
"1135","METHACHOLINE CHLORIDE",1,"9543",NA
"1136","METHADONE HYDROCHLORIDE",1,"6417",NA
"1137","METHAZOLAMIDE",1,"5863",NA
"1138","METHENAMINE MANDELATE",1,"7068",NA
"1139","METHIONINE",1,"7217",NA
"1140","METHOCARBAMOL",1,"6340",NA
"1141","METHOXSALEN",1,"5303",NA
"1142","METHYL AMINOLEVULINATE",1,"20439",NA
"1143","METHYLDOPA",1,"10295",NA
"1144","METHYLENE BLUE",1,"7160",NA
"1145","METHYLNALTREXONE BROMIDE",1,"20208",NA
"1146","METHYLPHENIDATE HYDROCHLORIDE",1,"6186","METHYLPHENIDATE"
"1147","METHYLPREDNISOLONE",1,"7626",NA
"1148","METHYLPREDNISOLONE ACETATE",1,"7624",NA
"1149","METOCLOPRAMIDE HYDROCHLORIDE",1,"3776",NA
"1150","METOLAZONE",1,"8133",NA
"1151","METOPROLOL TARTRATE",1,"2167","METOPROLOL"
"1152","METRONIDAZOLE",1,"9880","METRONIDAZOLE"
"1153","MEXILETINE HYDROCHLORIDE",1,"1901",NA
"1154","MICAFUNGIN SODIUM",1,"20128",NA
"1155","MICONAZOLE NITRATE",1,"2373",NA
"1156","MIDAZOLAM",1,"11188",NA
"1157","MIDODRINE HYDROCHLORIDE",1,"918",NA
"1158","MIFEPRISTONE",1,"22628",NA
"1159","MIGLUSTAT",1,"13313",NA
"1160","MILRINONE",1,"1216",NA
"1161","MINERAL OIL",1,"7140",NA
"1162","MINOCYCLINE",1,"11182","MINOCYCLINE"
"1163","MINOXIDIL",1,"2011",NA
"1164","MIRABEGRON",1,"22029",NA
"1165","MIRTAZAPINE",1,"12209","MIRTAZAPINE"
"1166","MISOPROSTOL",1,"1859",NA
"1167","MITOMYCIN",1,"2195",NA
"1168","MITOTANE",1,"2100",NA
"1169","MITOXANTRONE",1,"11343",NA
"1170","MOCLOBEMIDE",1,"7943",NA
"1171","MODAFINIL",1,"11852",NA
"1172","MOMETASONE FUROATE",1,"7504","MOMETASONE"
"1173","DIMETHYL FUMARATE",1,"22048",NA
"1174","MONTELUKAST",1,"11784","MONTELUKAST"
"1175","MORPHINE HYDROCHLORIDE",1,"9913",NA
"1176","MORPHINE SULFATE",1,"9117",NA
"1177","MOXIFLOXACIN",1,"12034","MOXIFLOXACIN"
"1178","MYCOPHENOLATE MOFETIL",1,"118",NA
"1179","MYCOPHENOLIC ACID",1,"2139",NA
"1180","NABILONE",1,"2071",NA
"1181","NABUMETONE",1,"946",NA
"1182","NADOLOL",1,"2099",NA
"1183","NADROPARIN CALCIUM",1,"11714",NA
"1184","NAFARELIN",1,"11439",NA
"1185","NALBUPHINE HYDROCHLORIDE",1,"2008",NA
"1186","NALOXEGOL",1,"22609",NA
"1187","NALOXONE HYDROCHLORIDE",1,"2474",NA
"1188","NALOXONE",1,"20137",NA
"1189","NALTREXONE HYDROCHLORIDE",1,"20300",NA
"1190","NAPHAZOLINE HYDROCHLORIDE",1,"9542",NA
"1191","NAPHAZOLINE NITRATE",1,"5642",NA
"1192","NAPROXEN",1,"2414","NAPROXEN"
"1193","NAPROXEN SODIUM",1,"2037","NAPROXEN"
"1194","NARATRIPTAN",1,"11770",NA
"1195","NATALIZUMAB",1,"12577",NA
"1196","NEBIVOLOL",1,"21534",NA
"1197","NEDOCROMIL SODIUM",1,"1324",NA
"1198","NELARABINE",1,"16030",NA
"1199","NELFINAVIR",1,"11789",NA
"1200","NEOMYCIN",1,"8638",NA
"1201","NEOMYCIN SULFATE",1,"8636",NA
"1202","NEOSTIGMINE BROMIDE",1,"6291",NA
"1203","NEOSTIGMINE METHYLSULFATE",1,"10010",NA
"1204","NEPAFENAC",1,"20215",NA
"1205","NEVIRAPINE",1,"11796",NA
"1206","NIFEDIPINE",1,"1966","NIFEDIPINE"
"1207","NILOTINIB",1,"20378",NA
"1208","NILUTAMIDE",1,"1243",NA
"1209","NIMODIPINE",1,"1910",NA
"1210","NITISINONE",1,"22811",NA
"1211","NITRAZEPAM",1,"9558",NA
"1212","NITRIC OXIDE",1,"16163",NA
"1213","SODIUM NITRITE",1,"9134",NA
"1214","NITROFURANTOIN",1,"10196","NITROFURANTOIN"
"1215","NITROGEN",1,"2332","NITROGLYCERIN"
"1216","NITROGLYCERIN",1,"9412","NITROGLYCERIN"
"1217","SODIUM NITROPRUSSIDE",1,"5525",NA
"1218","NITROUS OXIDE",1,"2329",NA
"1219","NIVOLUMAB",1,"22643",NA
"1220","NIZATIDINE",1,"1305",NA
"1221","NORELGESTROMIN",1,"12172",NA
"1222","NOREPINEPHRINE",1,"7393",NA
"1223","NORETHINDRONE",1,"7500","NORETHINDRONE"
"1224","NORETHINDRONE ACETATE",1,"7498","NORETHINDRONE"
"1225","NORFLOXACIN",1,"1838",NA
"1226","NORGESTIMATE",1,"7492",NA
"1227","NORTRIPTYLINE",1,"11121","NORTRIPTYLINE"
"1228","NYLIDRIN HYDROCHLORIDE",1,"9099",NA
"1229","NYSTATIN",1,"8508","NYSTATIN"
"1230","OBETICHOLIC ACID",1,"22864",NA
"1231","OBINUTUZUMAB",1,"22546",NA
"1232","OCRIPLASMIN",1,"22139",NA
"1233","OCTINOXATE",1,"12049",NA
"1234","OCTISALATE",1,"12048",NA
"1235","OCTOCRYLENE",1,"2280",NA
"1236","OCTREOTIDE",1,"1255",NA
"1237","OFATUMUMAB",1,"21236",NA
"1238","OFLOXACIN",1,"954",NA
"1239","OLAPARIB",1,"22712",NA
"1240","OLIVE OIL",1,"6627",NA
"1241","OLMESARTAN MEDOXOMIL",1,"20396","OLMESARTAN MEDOXOMIL"
"1242","OLODATEROL",1,"22094",NA
"1243","OLOPATADINE",1,"11561","OLOPATADINE"
"1244","OLSALAZINE SODIUM",1,"1226",NA
"1245","OMALIZUMAB",1,"13365",NA
"1246","OMEPRAZOLE",1,"1250","OMEPRAZOLE"
"1247","OPIUM",1,"6897",NA
"1248","ORLISTAT",1,"11884",NA
"1249","ORPHENADRINE CITRATE",1,"10058",NA
"1250","OSELTAMIVIR",1,"11956",NA
"1251","OSIMERTINIB",1,"22731",NA
"1252","OXALIPLATIN",1,"20139",NA
"1253","OXAPROZIN",1,"1863",NA
"1254","OXAZEPAM",1,"9956","OXAZEPAM"
"1255","OXCARBAZEPINE",1,"11984",NA
"1256","OXYBENZONE",1,"33",NA
"1257","OXYBUTYNIN",1,"13333","OXYBUTYNIN"
"1258","OXYBUTYNIN CHLORIDE",1,"10040","OXYBUTYNIN"
"1259","OXYCODONE HYDROCHLORIDE",1,"6165",NA
"1260","OXYGEN",1,"2333",NA
"1261","OXYMETAZOLINE HYDROCHLORIDE",1,"10195",NA
"1262","OXYQUINOLINE SULFATE",1,"6977",NA
"1263","OXYTOCIN",1,"7375",NA
"1264","PADIMATE O",1,"2129",NA
"1265","PALBOCICLIB",1,"22703",NA
"1266","PALIPERIDONE",1,"20163",NA
"1267","PALIVIZUMAB",1,"12770",NA
"1268","PALONOSETRON",1,"21240",NA
"1269","PAMIDRONATE DISODIUM",1,"896",NA
"1270","PANCURONIUM BROMIDE",1,"2497",NA
"1271","PANITUMUMAB",1,"20210",NA
"1272","PAPAVERINE HYDROCHLORIDE",1,"6941",NA
"1273","PAROMOMYCIN",1,"8625",NA
"1274","PAROXETINE",1,"11340","PAROXETINE"
"1275","PASIREOTIDE",1,"22149",NA
"1276","PAZOPANIB",1,"20595",NA
"1277","PEANUT OIL",1,"6572",NA
"1278","PECTIN",1,"10005",NA
"1279","PEGASPARGASE",1,"11706",NA
"1280","PEGFILGRASTIM",1,"12313",NA
"1281","PEGINTERFERON ALFA-2A",1,"13246",NA
"1282","PEGINTERFERON BETA-1A",1,"22631",NA
"1283","PEGVISOMANT",1,"16581",NA
"1284","PEMBROLIZUMAB",1,"22604",NA
"1285","PEMETREXED",1,"13326",NA
"1286","PENICILLIN G BENZATHINE",1,"11521",NA
"1287","PENICILLIN G SODIUM",1,"8435",NA
"1288","PENICILLIN G",1,"8447","PENICILLIN V"
"1289","PENICILLIN V POTASSIUM",1,"8426","PENICILLIN V"
"1290","PENTAZOCINE",1,"9401",NA
"1291","PENTOSAN POLYSULFATE SODIUM",1,"716",NA
"1292","PENTOXIFYLLINE",1,"1929",NA
"1293","PERAMPANEL",1,"22049",NA
"1294","PERFLUTREN",1,"12053",NA
"1295","PERICIAZINE",1,"13098",NA
"1296","PERINDOPRIL ARGININE",1,"16100","PERINDOPRIL"
"1297","PERINDOPRIL ERBUMINE",1,"232","PERINDOPRIL"
"1298","PERMETHRIN",1,"1313",NA
"1299","PERPHENAZINE",1,"8003",NA
"1300","PERTUZUMAB",1,"22051",NA
"1301","PETROLATUM",1,"3566",NA
"1302","PHENAZOPYRIDINE HYDROCHLORIDE",1,"20246",NA
"1303","PHENELZINE",1,"11355",NA
"1304","PHENIRAMINE MALEATE",1,"6895",NA
"1305","PHENOBARBITAL",1,"8282",NA
"1306","PHENOBARBITAL SODIUM",1,"8280",NA
"1307","PHENOL",1,"6935",NA
"1308","PHENTOLAMINE MESYLATE",1,"5974",NA
"1309","PHENYLALANINE",1,"10223",NA
"1310","SODIUM PHENYLBUTYRATE",1,"22565",NA
"1311","PHENYLEPHRINE HYDROCHLORIDE",1,"10258",NA
"1312","PHENYLEPHRINE",1,"6500",NA
"1313","PHENYLTOLOXAMINE",1,"6044","PHENYTOIN"
"1314","FOSPHENYTOIN SODIUM",1,"11411",NA
"1315","PHENYTOIN",1,"10209","PHENYTOIN"
"1316","PHENYTOIN SODIUM",1,"10207","PHENYTOIN"
"1317","SODIUM PICOSULFATE",1,"13334",NA
"1318","PILOCARPINE HYDROCHLORIDE",1,"6599",NA
"1319","PILOCARPINE NITRATE",1,"6598",NA
"1320","PIMECROLIMUS",1,"12077",NA
"1321","PIMOZIDE",1,"7944",NA
"1322","PINAVERIUM BROMIDE",1,"2097",NA
"1323","PINDOLOL",1,"2144",NA
"1324","PIOGLITAZONE",1,"12012","PIOGLITAZONE"
"1325","PIPERACILLIN",1,"11241",NA
"1326","PIPERAZINE",1,"10006",NA
"1327","PIPERONYL BUTOXIDE",1,"6438",NA
"1328","PIPRADROL HYDROCHLORIDE",1,"5898",NA
"1329","PIRFENIDONE",1,"21466",NA
"1330","PIROXICAM",1,"1996",NA
"1331","PLERIXAFOR",1,"21077",NA
"1332","POLYCARBOPHIL",1,"6584",NA
"1333","CALCIUM POLYCARBOPHIL",1,"9921",NA
"1334","POLYETHYLENE GLYCOL 3350",1,"698",NA
"1335","POLYETHYLENE GLYCOL 400",1,"234",NA
"1336","POLYMYXIN B",1,"8520",NA
"1337","POLYMYXIN B SULFATE",1,"8519",NA
"1338","POLYSORBATE 80",1,"6497",NA
"1339","SODIUM POLYSTYRENE SULFONATE",1,"4028",NA
"1340","POLYVINYL ALCOHOL",1,"6033",NA
"1341","POMALIDOMIDE",1,"22238",NA
"1342","PONATINIB",1,"22576",NA
"1343","PORACTANT ALFA",1,"11967",NA
"1344","PORFIMER SODIUM",1,"7644",NA
"1345","POSACONAZOLE",1,"20127",NA
"1346","POTASSIUM ACETATE",1,"1076",NA
"1347","POVIDONE",1,"10212",NA
"1348","PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE",1,"11733",NA
"1349","PRAMOXINE HYDROCHLORIDE",1,"6343",NA
"1350","PRASUGREL",1,"20588",NA
"1351","PRAVASTATIN SODIUM",1,"1201","PRAVASTATIN"
"1352","PRAZIQUANTEL",1,"2092",NA
"1353","PRAZOSIN",1,"11108",NA
"1354","PREDNICARBATE",1,"7559",NA
"1355","PREDNISOLONE ACETATE",1,"7617","PREDNISOLONE"
"1356","PREDNISOLONE SODIUM PHOSPHATE",1,"7627",NA
"1357","PREDNISOLONE",1,"7630","PREDNISOLONE"
"1358","PREDNISONE",1,"7566","PREDNISONE"
"1359","PREGABALIN",1,"15568","PREGABALIN"
"1360","PRILOCAINE",1,"5776",NA
"1361","PRILOCAINE HYDROCHLORIDE",1,"9797",NA
"1362","PRIMAQUINE PHOSPHATE",1,"3336",NA
"1363","PRIMIDONE",1,"8265",NA
"1364","PROCAINAMIDE HYDROCHLORIDE",1,"9702",NA
"1365","PROCARBAZINE",1,"11354",NA
"1366","PROCYCLIDINE HYDROCHLORIDE",1,"6030",NA
"1367","PROGESTERONE",1,"7554","PROGESTERONE"
"1368","PROGUANIL HYDROCHLORIDE",1,"11782",NA
"1369","PROLINE",1,"9396","PROCYCLIDINE"
"1370","PROMETHAZINE",1,"7954",NA
"1371","PROMETHAZINE HYDROCHLORIDE",1,"7952",NA
"1372","PROPAFENONE HYDROCHLORIDE",1,"1893",NA
"1373","PROPOFOL",1,"8209",NA
"1374","PROPRANOLOL HYDROCHLORIDE",1,"10127",NA
"1375","PROPYLENE GLYCOL",1,"10219",NA
"1376","PROPYLTHIOURACIL",1,"9439",NA
"1377","PROTAMINE SULFATE",1,"5881",NA
"1378","PROTEIN C",1,"20131",NA
"1379","PRUCALOPRIDE",1,"21066",NA
"1380","PSEUDOEPHEDRINE HYDROCHLORIDE",1,"6492",NA
"1381","PSEUDOEPHEDRINE SULFATE",1,"773",NA
"1382","PYRANTEL",1,"11253",NA
"1383","PYRAZINAMIDE",1,"5937",NA
"1384","PYRIDOSTIGMINE BROMIDE",1,"6296",NA
"1385","PYRIDOXINE HYDROCHLORIDE",1,"5008",NA
"1386","VITAMIN B6",1,"11169",NA
"1387","PYRILAMINE MALEATE",1,"7155",NA
"1388","PYRITHIONE ZINC",1,"662",NA
"1389","QUETIAPINE",1,"11718","QUETIAPINE"
"1390","QUINAGOLIDE",1,"13315",NA
"1391","QUINAPRIL",1,"11161","QUINAPRIL"
"1392","QUINIDINE SULFATE",1,"6714",NA
"1393","QUININE SULFATE",1,"7234",NA
"1394","ANTI-THYMOCYTE GLOBULIN",1,"12118",NA
"1395","RABEPRAZOLE SODIUM",1,"12149","RABEPRAZOLE SODIUM"
"1396","RALOXIFENE HYDROCHLORIDE",1,"11811",NA
"1397","RALTEGRAVIR",1,"20173",NA
"1398","RAMIPRIL",1,"932","RAMIPRIL"
"1399","RAMUCIRUMAB",1,"22627",NA
"1400","RANIBIZUMAB",1,"20146",NA
"1401","RANITIDINE",1,"11096","RANITIDINE"
"1402","RASAGILINE",1,"19840",NA
"1403","RASBURICASE",1,"13268",NA
"1404","REGORAFENIB",1,"22042",NA
"1405","REMIFENTANIL",1,"11311",NA
"1406","REPAGLINIDE",1,"11860","REPAGLINIDE"
"1407","RESLIZUMAB",1,"22734",NA
"1408","RIBAVIRIN",1,"2184",NA
"1409","RIFABUTIN",1,"8316",NA
"1410","RIFAMPIN",1,"8566",NA
"1411","RIFAXIMIN",1,"22137",NA
"1412","RILPIVIRINE",1,"20874",NA
"1413","RILUZOLE",1,"12026",NA
"1414","RIOCIGUAT",1,"22148",NA
"1415","RISEDRONATE SODIUM",1,"11819","RISEDRONATE"
"1416","RITONAVIR",1,"4",NA
"1417","RITUXIMAB",1,"11982",NA
"1418","RIVAROXABAN",1,"20387","RIVAROXABAN"
"1419","RIZATRIPTAN",1,"11899","RIZATRIPTAN"
"1420","ROCURONIUM BROMIDE",1,"349",NA
"1421","ROFLUMILAST",1,"20639",NA
"1422","ROMIDEPSIN",1,"21095",NA
"1423","ROMIPLOSTIM",1,"20436",NA
"1424","ROPINIROLE",1,"11516",NA
"1425","ROPIVACAINE HYDROCHLORIDE",1,"11081",NA
"1426","ROSIGLITAZONE",1,"11925",NA
"1427","ROSUVASTATIN",1,"13123","ROSUVASTATIN"
"1428","ROTIGOTINE",1,"12548",NA
"1429","RUFINAMIDE",1,"20811",NA
"1430","RUXOLITINIB",1,"21376",NA
"1431","SALICYLIC ACID",1,"9766",NA
"1432","SODIUM SALICYLATE",1,"9783",NA
"1433","TROLAMINE SALICYLATE",1,"9329",NA
"1434","SALMETEROL",1,"11282",NA
"1435","SAPROPTERIN DIHYDROCHLORIDE",1,"20591",NA
"1436","SAQUINAVIR",1,"11371",NA
"1437","SAXAGLIPTIN",1,"20524","SAXAGLIPTIN"
"1438","SCOPOLAMINE HYDROBROMIDE",1,"9011",NA
"1439","SECUKINUMAB",1,"22582",NA
"1440","SELEGILINE HYDROCHLORIDE",1,"1294",NA
"1441","SELEXIPAG",1,"22681",NA
"1442","SERINE",1,"9927","SERTRALINE"
"1443","SERTRALINE",1,"11168","SERTRALINE"
"1444","SEVELAMER CARBONATE",1,"20603",NA
"1445","SEVELAMER HYDROCHLORIDE",1,"11777",NA
"1446","SEVOFLURANE",1,"169",NA
"1447","SILDENAFIL",1,"11854","SILDENAFIL"
"1448","SILICON DIOXIDE",1,"443",NA
"1449","SILODOSIN",1,"20659",NA
"1450","SILTUXIMAB",1,"22547",NA
"1451","SILVER SULFADIAZINE",1,"8195",NA
"1452","SIMEPREVIR",1,"22171",NA
"1453","SIMVASTATIN",1,"1221","SIMVASTATIN"
"1454","SINCALIDE",1,"2111",NA
"1455","SINECATECHINS",1,"22143",NA
"1456","SIROLIMUS",1,"12064",NA
"1457","SITAGLIPTIN",1,"20179","SITAGLIPTIN"
"1458","SODIUM SULFATE",1,"7247",NA
"1459","SODIUM SULFATE ANHYDROUS",1,"20641",NA
"1460","SOFOSBUVIR",1,"22227",NA
"1461","SOLIFENACIN SUCCINATE",1,"18175","SOLIFENACIN"
"1462","SOMATROPIN",1,"7364",NA
"1463","SORAFENIB",1,"15231",NA
"1464","SORBITOL",1,"9192",NA
"1465","SOTALOL HYDROCHLORIDE",1,"2048",NA
"1466","SOYBEAN OIL",1,"3289",NA
"1467","SPIRAMYCIN",1,"8589",NA
"1468","SPIRONOLACTONE",1,"7408","SPIRONOLACTONE"
"1469","STAVUDINE",1,"66",NA
"1470","STIRIPENTOL",1,"21532",NA
"1471","STREPTOMYCIN",1,"8603",NA
"1472","STREPTOZOCIN",1,"8564",NA
"1473","SUCCINYLCHOLINE CHLORIDE",1,"8833",NA
"1474","SUCRALFATE",1,"2023",NA
"1475","SUFENTANIL",1,"12343",NA
"1476","SUGAMMADEX",1,"22686",NA
"1477","SULFACETAMIDE SODIUM",1,"8145",NA
"1478","SULFAMETHOXAZOLE",1,"8174",NA
"1479","SULFASALAZINE",1,"8138",NA
"1480","SULFINPYRAZONE",1,"8151",NA
"1481","SULFISOXAZOLE",1,"8178",NA
"1482","SULFUR",1,"74",NA
"1483","SULINDAC",1,"2126",NA
"1484","SULISOBENZONE",1,"5184",NA
"1485","SUNITINIB",1,"19249",NA
"1486","TACROLIMUS",1,"167","TACROLIMUS"
"1487","TADALAFIL",1,"12346","TADALAFIL"
"1488","TALIGLUCERASE ALFA",1,"22330",NA
"1489","TAMOXIFEN",1,"11164",NA
"1490","TAMSULOSIN HYDROCHLORIDE",1,"11780",NA
"1491","TAPENTADOL",1,"20642",NA
"1492","TAURINE",1,"1366",NA
"1493","TAZAROTENE",1,"11373",NA
"1494","TAZOBACTAM",1,"11242",NA
"1495","TEDUGLUTIDE",1,"22636",NA
"1496","TELAVANCIN",1,"20509",NA
"1497","TELBIVUDINE",1,"20037",NA
"1498","TEMAZEPAM",1,"2014","TEMAZEPAM"
"1499","TEMOZOLOMIDE",1,"11923",NA
"1500","TEMSIROLIMUS",1,"20180",NA
"1501","TENECTEPLASE",1,"12468",NA
"1502","TENIPOSIDE",1,"1924",NA
"1503","TENOFOVIR DISOPROXIL FUMARATE",1,"12251",NA
"1504","TENOXICAM",1,"1220",NA
"1505","TERAZOSIN",1,"11368","TERAZOSIN"
"1506","TERBINAFINE",1,"11385","TERBINAFINE"
"1507","TERBINAFINE HYDROCHLORIDE",1,"707",NA
"1508","TERBUTALINE SULFATE",1,"2345",NA
"1509","TERCONAZOLE",1,"1197",NA
"1510","TERIFLUNOMIDE",1,"22169",NA
"1511","TERIPARATIDE",1,"13330",NA
"1512","TESAMORELIN",1,"22270",NA
"1513","TESTOSTERONE",1,"7485","TESTOSTERONE"
"1514","TESTOSTERONE CYPIONATE",1,"7487","TESTOSTERONE"
"1515","TESTOSTERONE ENANTHATE",1,"7486","TESTOSTERONE"
"1516","TESTOSTERONE PROPIONATE",1,"7488","TESTOSTERONE"
"1517","TESTOSTERONE UNDECANOATE",1,"7469",NA
"1518","TETRABENAZINE",1,"109",NA
"1519","TETRACAINE",1,"2958",NA
"1520","TETRACAINE HYDROCHLORIDE",1,"6788",NA
