"","dpd_ingredient","extract","drug_code","active_ingredient_code","ingredient_supplied_ind","strength","strength_unit","strength_type","dosage_value","base","dosage_unit","notes","hydrate","ccdd","top250name","ing_stem","strength_w_unit_w_dosage_if_exists","mp_ingredient_name"
"12647","L-TYROSINE","active",83780,897,"I","0.15","G","","","N","L","",FALSE,"","","L-TYROSINE","0.15 G per L","l-tyrosine 0.15 g per l"
"12648","L-PROLINE","active",83780,935,"I","3.4","G","","","N","L","",FALSE,"","","L-PROLINE","3.4 G per L","l-proline 3.4 g per l"
"12649","L-ARGININE","active",83780,938,"I","5.58","G","","","N","L","",FALSE,"","","L-ARGININE","5.58 G per L","l-arginine 5.58 g per l"
"12650","L-VALINE","active",83780,939,"I","3.64","G","","","N","L","",FALSE,"","","L-VALINE","3.64 G per L","l-valine 3.64 g per l"
"12651","L-ASPARTIC ACID","active",83780,9397,"I","1.65","G","","","N","L","",FALSE,"","","L-ASPARTIC ACID","1.65 G per L","l-aspartic acid 1.65 g per l"
"12652","L-THREONINE","active",83780,941,"I","2.84","G","","","N","L","",FALSE,"","","L-THREONINE","2.84 G per L","l-threonine 2.84 g per l"
"12653","L-PHENYLALANINE","active",83780,942,"I","3.95","G","","","N","L","",FALSE,"","","L-PHENYLALANINE","3.95 G per L","l-phenylalanine 3.95 g per l"
"12654","L-LEUCINE","active",83780,943,"I","3.95","G","","","N","L","",FALSE,"","","L-LEUCINE","3.95 G per L","l-leucine 3.95 g per l"
"12655","L-ISOLEUCINE","active",83780,944,"I","2.84","G","","","N","L","",FALSE,"","","L-ISOLEUCINE","2.84 G per L","l-isoleucine 2.84 g per l"
"12656","LYSINE (L-LYSINE ACETATE)","active",83780,9806,"I","4.48","G","","","N","L","",FALSE,"","","LYSINE (L-LYSINE ACETATE)","4.48 G per L","lysine (l-lysine acetate) 4.48 g per l"
"12657","SERINE","active",83780,9927,"I","2.25","G","","","N","L","",FALSE,"","","SERINE","2.25 G per L","serine 2.25 g per l"
"12658","MYCOPHENOLATE MOFETIL","active",83781,118,"I","250","MG","","","N","","",FALSE,"","","MYCOPHENOLATE MOFETIL","250 MG","mycophenolate mofetil 250 mg"
"12659","MYCOPHENOLATE MOFETIL","active",83782,118,"I","500","MG","","","N","","",FALSE,"","","MYCOPHENOLATE MOFETIL","500 MG","mycophenolate mofetil 500 mg"
"12660","C1 Esterase Inhibitor (Human)","active",83783,20597,"I","500","UNIT","","","N","VIAL","400-625U IU IS EQUIVALENT TO THE C1-INH ACTIVITY IN 10ML OF FRESH CITRATED PLASMA OF HELATHY DONORS.",FALSE,"","","C1 Esterase Inhibitor (Human)","500 UNIT per VIAL","c1 esterase inhibitor (human) 500 unit per vial"
"12661","RILUZOLE","active",83784,12026,"I","50","MG","","","N","","",FALSE,"","","RILUZOLE","50 MG","riluzole 50 mg"
"12662","OCTISALATE","active",83786,12048,"I","5","%","","","N","W/W","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"12663","AVOBENZONE","active",83786,755,"I","3","%","","","N","W/W","",FALSE,"","","AVOBENZONE","3 %","avobenzone 3 %"
"12664","OCTISALATE","active",83787,12048,"I","5","%","","","N","W/W","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"12665","HOMOSALATE","active",83787,1970,"I","2","%","","","N","W/W","",FALSE,"","","HOMOSALATE","2 %","homosalate 2 %"
"12666","AVOBENZONE","active",83787,755,"I","3","%","","","N","W/W","",FALSE,"","","AVOBENZONE","3 %","avobenzone 3 %"
"12667","DALTEPARIN SODIUM","active",83790,269,"I","7500","UNIT","","0.3","N","ML","HISTORIC FREEFORM TEXT: DALTEPARIN SODIUM",FALSE,"","","DALTEPARIN SODIUM","7500 UNIT per 0.3 ML","dalteparin sodium 7500 unit per 0.3 mL"
"12668","DALTEPARIN SODIUM","active",83791,269,"I","10000","UNIT","","0.4","N","ML","HISTORIC FREEFORM TEXT: DALTEPARIN SODIUM",FALSE,"","","DALTEPARIN SODIUM","10000 UNIT per 0.4 ML","dalteparin sodium 10000 unit per 0.4 mL"
"12669","DALTEPARIN SODIUM","active",83792,269,"I","12500","UNIT","","0.5","N","ML","HISTORIC FREEFORM TEXT: DALTEPARIN SODIUM",FALSE,"","","DALTEPARIN SODIUM","12500 UNIT per 0.5 ML","dalteparin sodium 12500 unit per 0.5 mL"
"12670","DALTEPARIN SODIUM","active",83793,269,"I","15000","UNIT","","0.6","N","ML","HISTORIC FREEFORM TEXT: DALTEPARIN SODIUM",FALSE,"","","DALTEPARIN SODIUM","15000 UNIT per 0.6 ML","dalteparin sodium 15000 unit per 0.6 mL"
"12671","DALTEPARIN SODIUM","active",83794,269,"I","18000","UNIT","","0.72","N","ML","HISTORIC FREEFORM TEXT: DALTEPARIN SODIUM",FALSE,"","","DALTEPARIN SODIUM","18000 UNIT per 0.72 ML","dalteparin sodium 18000 unit per 0.72 mL"
"12672","PROPYLENE GLYCOL","active",83795,10219,"I","20","%","","","N","","Historic Freeform Text: PROPYLENE GLYCOL",FALSE,"","","PROPYLENE GLYCOL","20 %","propylene glycol 20 %"
"12673","MACROGOL","active",83795,13418,"I","15","%","","","N","","HISTORIC FREEFORM TEXT: CARBOWAX",FALSE,"","","MACROGOL","15 %","macrogol 15 %"
"12674","WHITE PETROLATUM","active",83796,12121,"I","38","%","","","N","W/W","2015.02.19. WHITE PETROLATUM STRENGTH CORRECTED FROM 38.55% TO 38% AS REQUESTED BY NNHPD (JOHNSON JO",FALSE,"","","WHITE PETROLATUM","38 %","white petrolatum 38 %"
"12675","ZINC OXIDE","active",83796,7289,"I","40","%","","","N","W/W","",FALSE,"","","ZINC OXIDE","40 %","zinc oxide 40 %"
"12676","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","active",83797,11101,"I","250","MG","","","N","","HISTORIC FREEFORM TEXT: AMOXYCILLIN TRIHYDRATE 287MG ((BASE 250MG EQ))",TRUE,"Y","AMOXICILLIN","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","250 MG","amoxicillin (amoxicillin trihydrate) 250 mg"
"12677","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","active",83798,11101,"I","500","MG","","","N","","HISTORIC FREEFORM TEXT: AMOXYCILLIN TRIHYDRATE 574MG ((BASE 500MG EQ))",TRUE,"Y","AMOXICILLIN","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","500 MG","amoxicillin (amoxicillin trihydrate) 500 mg"
"12678","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","active",83800,11101,"I","125","MG","","5","N","ML","HISTORIC FREEFORM TEXT: AMOXYCILLIN TRIHYDRATE ((BASE EQ))",TRUE,"Y","AMOXICILLIN","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","125 MG per 5 ML","amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL"
"12679","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","active",83801,11101,"I","250","MG","","5","N","ML","HISTORIC FREEFORM TEXT: AMOXYCILLIN TRIHYDRATE ((BASE EQ))",TRUE,"Y","AMOXICILLIN","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","250 MG per 5 ML","amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL"
"12680","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","active",83802,11101,"I","125","MG","","5","N","ML","HISTORIC FREEFORM TEXT: AMOXICILLIN TRIHYDRATE ((BASE EQ))",TRUE,"Y","AMOXICILLIN","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","125 MG per 5 ML","amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL"
"12681","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","active",83803,11101,"I","250","MG","","5","N","ML","HISTORIC FREEFORM TEXT: AMOXICILLIN TRIHYDRATE",TRUE,"Y","AMOXICILLIN","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","250 MG per 5 ML","amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL"
"12682","NEVIRAPINE","active",83813,11796,"I","200","MG","","","N","","",FALSE,"","","NEVIRAPINE","200 MG","nevirapine 200 mg"
"12683","HYDROCHLOROTHIAZIDE","active",83816,10234,"I","12.5","MG","","","N","","",FALSE,"Y","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","12.5 MG","hydrochlorothiazide 12.5 mg"
"12684","ENALAPRIL MALEATE","active",83816,1810,"I","5","MG","","","N","","",FALSE,"Y","ENALAPRIL","ENALAPRIL","5 MG","enalapril maleate 5 mg"
"12685","HYDROCHLOROTHIAZIDE","active",83817,10234,"I","25","MG","","","N","","",FALSE,"Y","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","25 MG","hydrochlorothiazide 25 mg"
"12686","ENALAPRIL MALEATE","active",83817,1810,"I","10","MG","","","N","","",FALSE,"Y","ENALAPRIL","ENALAPRIL","10 MG","enalapril maleate 10 mg"
"12687","ALENDRONIC ACID (ALENDRONATE SODIUM TRIHYDRATE)","active",83819,13353,"I","70","MG","","","Y","","HISTORIC FREEFORM TEXT: ALENDRONATE ((AS ALENDRONATE SODIUM))",TRUE,"Y","ALENDRONATE","ALENDRONIC ACID","70 MG","alendronic acid (alendronate sodium trihydrate) 70 mg"
"12688","OLANZAPINE","active",83820,1,"I","5","MG","","","Y","","",FALSE,"Y","OLANZAPINE","OLANZAPINE","5 MG","olanzapine 5 mg"
"12689","OLANZAPINE","active",83821,1,"I","10","MG","","","N","","",FALSE,"Y","OLANZAPINE","OLANZAPINE","10 MG","olanzapine 10 mg"
"12690","OLANZAPINE","active",83822,1,"I","15","MG","","","Y","","",FALSE,"Y","OLANZAPINE","OLANZAPINE","15 MG","olanzapine 15 mg"
"12691","RANITIDINE (RANITIDINE HYDROCHLORIDE)","active",83824,11096,"I","150","MG","","","N","","",FALSE,"Y","RANITIDINE","RANITIDINE","150 MG","ranitidine (ranitidine hydrochloride) 150 mg"
"12692","RANITIDINE (RANITIDINE HYDROCHLORIDE)","active",83825,11096,"I","300","MG","","","N","","",FALSE,"Y","RANITIDINE","RANITIDINE","300 MG","ranitidine (ranitidine hydrochloride) 300 mg"
"12693","ROPINIROLE (ROPINIROLE HYDROCHLORIDE)","active",83827,11516,"I","0.25","MG","","","N","","",FALSE,"","","ROPINIROLE (ROPINIROLE HYDROCHLORIDE)","0.25 MG","ropinirole (ropinirole hydrochloride) 0.25 mg"
"12694","ROPINIROLE (ROPINIROLE HYDROCHLORIDE)","active",83828,11516,"I","1","MG","","","N","","",FALSE,"","","ROPINIROLE (ROPINIROLE HYDROCHLORIDE)","1 MG","ropinirole (ropinirole hydrochloride) 1 mg"
"12695","ROPINIROLE (ROPINIROLE HYDROCHLORIDE)","active",83830,11516,"I","5","MG","","","N","","",FALSE,"","","ROPINIROLE (ROPINIROLE HYDROCHLORIDE)","5 MG","ropinirole (ropinirole hydrochloride) 5 mg"
"12696","TERBINAFINE (TERBINAFINE HYDROCHLORIDE)","active",83835,11385,"I","250","MG","","","N","","",FALSE,"Y","TERBINAFINE","TERBINAFINE","250 MG","terbinafine (terbinafine hydrochloride) 250 mg"
"12697","MELOXICAM","active",83836,11764,"I","7.5","MG","","","N","","",FALSE,"Y","MELOXICAM","MELOXICAM","7.5 MG","meloxicam 7.5 mg"
"12698","MELOXICAM","active",83837,11764,"I","15","MG","","","N","","",FALSE,"Y","MELOXICAM","MELOXICAM","15 MG","meloxicam 15 mg"
"12699","QUETIAPINE (QUETIAPINE FUMARATE)","active",83838,11718,"I","25","MG","","","N","","",FALSE,"Y","QUETIAPINE","QUETIAPINE","25 MG","quetiapine (quetiapine fumarate) 25 mg"
"12700","QUETIAPINE (QUETIAPINE FUMARATE)","active",83839,11718,"I","100","MG","","","N","","",FALSE,"Y","QUETIAPINE","QUETIAPINE","100 MG","quetiapine (quetiapine fumarate) 100 mg"
"12701","QUETIAPINE (QUETIAPINE FUMARATE)","active",83841,11718,"I","200","MG","","","N","","",FALSE,"Y","QUETIAPINE","QUETIAPINE","200 MG","quetiapine (quetiapine fumarate) 200 mg"
"12702","QUETIAPINE (QUETIAPINE FUMARATE)","active",83842,11718,"I","300","MG","","","N","","",FALSE,"Y","QUETIAPINE","QUETIAPINE","300 MG","quetiapine (quetiapine fumarate) 300 mg"
"12703","ETIDRONATE DISODIUM","active",83843,12611,"I","400","MG","","","N","","",FALSE,"","","ETIDRONATE DISODIUM","400 MG","etidronate disodium 400 mg"
"12704","CALCIUM (CALCIUM CARBONATE)","active",83843,4803,"I","500","MG","","","N","","",FALSE,"","","CALCIUM (CALCIUM CARBONATE)","500 MG","calcium (calcium carbonate) 500 mg"
"12705","LOVASTATIN","active",83844,1290,"I","20","MG","","","N","","",FALSE,"","","LOVASTATIN","20 MG","lovastatin 20 mg"
"12706","LOVASTATIN","active",83845,1290,"I","40","MG","","","N","","",FALSE,"","","LOVASTATIN","40 MG","lovastatin 40 mg"
"12707","GABAPENTIN","active",83846,470,"I","100","MG","","","N","","Historic Freeform Text: GABAPENTIN",FALSE,"Y","GABAPENTIN","GABAPENTIN","100 MG","gabapentin 100 mg"
"12708","GABAPENTIN","active",83847,470,"I","300","MG","","","N","","HISTORIC FREEFORM TEXT: GABAPENTIN",FALSE,"Y","GABAPENTIN","GABAPENTIN","300 MG","gabapentin 300 mg"
"12709","GABAPENTIN","active",83848,470,"I","400","MG","","","N","","Historic Freeform Text: GABAPENTIN",FALSE,"Y","GABAPENTIN","GABAPENTIN","400 MG","gabapentin 400 mg"
"12710","CICLOPIROX","active",83849,12378,"I","8","%","","","N","W/W","",FALSE,"Y","CICLOPIROX","CICLOPIROX","8 %","ciclopirox 8 %"
"12711","CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)","active",83851,93,"I","250","MG","","","N","","",FALSE,"Y","CIPROFLOXACIN","CIPROFLOXACIN","250 MG","ciprofloxacin (ciprofloxacin hydrochloride) 250 mg"
"12712","CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)","active",83852,93,"I","500","MG","","","N","","",FALSE,"Y","CIPROFLOXACIN","CIPROFLOXACIN","500 MG","ciprofloxacin (ciprofloxacin hydrochloride) 500 mg"
"12713","CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)","active",83853,93,"I","750","MG","","","N","","",FALSE,"Y","CIPROFLOXACIN","CIPROFLOXACIN","750 MG","ciprofloxacin (ciprofloxacin hydrochloride) 750 mg"
"12714","LEVETIRACETAM","active",83854,13107,"I","250","MG","","","N","","",FALSE,"Y","LEVETIRACETAM","LEVETIRACETAM","250 MG","levetiracetam 250 mg"
"12715","LEVETIRACETAM","active",83855,13107,"I","500","MG","","","N","","",FALSE,"Y","LEVETIRACETAM","LEVETIRACETAM","500 MG","levetiracetam 500 mg"
"12716","LEVETIRACETAM","active",83856,13107,"I","750","MG","","","N","","",FALSE,"Y","LEVETIRACETAM","LEVETIRACETAM","750 MG","levetiracetam 750 mg"
"12717","METFORMIN HYDROCHLORIDE","active",83857,10147,"I","500","MG","","","N","","",FALSE,"Y","METFORMIN","METFORMIN","500 MG","metformin hydrochloride 500 mg"
"12718","METFORMIN HYDROCHLORIDE","active",83858,10147,"I","850","MG","","","N","","",FALSE,"Y","METFORMIN","METFORMIN","850 MG","metformin hydrochloride 850 mg"
"12719","ACETAMINOPHEN","active",8387,270,"I","500","MG","","","N","","Historic Freeform Text: ACETAMINOPHEN",FALSE,"Y","ACETAMINOPHEN","ACETAMINOPHEN","500 MG","acetaminophen 500 mg"
"12720","LOSARTAN POTASSIUM","active",83872,144,"I","50","MG","","","N","","",FALSE,"Y","LOSARTAN","LOSARTAN","50 MG","losartan potassium 50 mg"
"12721","LOSARTAN POTASSIUM","active",83873,144,"I","100","MG","","","N","","",FALSE,"Y","LOSARTAN","LOSARTAN","100 MG","losartan potassium 100 mg"
"12722","SERTRALINE (SERTRALINE HYDROCHLORIDE)","active",83874,11168,"I","25","MG","","","N","","",FALSE,"Y","SERTRALINE","SERTRALINE","25 MG","sertraline (sertraline hydrochloride) 25 mg"
"12723","SERTRALINE (SERTRALINE HYDROCHLORIDE)","active",83875,11168,"I","50","MG","","","N","","",FALSE,"Y","SERTRALINE","SERTRALINE","50 MG","sertraline (sertraline hydrochloride) 50 mg"
"12724","SERTRALINE (SERTRALINE HYDROCHLORIDE)","active",83876,11168,"I","100","MG","","","N","","",FALSE,"Y","SERTRALINE","SERTRALINE","100 MG","sertraline (sertraline hydrochloride) 100 mg"
"12725","DEXTROMETHORPHAN HYDROBROMIDE","active",83878,10247,"I","20","MG","","","N","","",FALSE,"","","DEXTROMETHORPHAN HYDROBROMIDE","20 MG","dextromethorphan hydrobromide 20 mg"
"12726","GUAIFENESIN","active",83878,9615,"I","400","MG","","","N","","",FALSE,"","","GUAIFENESIN","400 MG","guaifenesin 400 mg"
"12727","GUAIFENESIN","active",83879,9615,"I","400","MG","","","N","","",FALSE,"","","GUAIFENESIN","400 MG","guaifenesin 400 mg"
"12728","GUAIFENESIN","active",83880,9615,"I","200","MG","","","N","","",FALSE,"","","GUAIFENESIN","200 MG","guaifenesin 200 mg"
"12729","OCTISALATE","active",83882,12048,"I","5","%","","","N","W/W","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"12730","HOMOSALATE","active",83882,1970,"I","10","%","","","N","W/W","",FALSE,"","","HOMOSALATE","10 %","homosalate 10 %"
"12731","OCTOCRYLENE","active",83882,2280,"I","10","%","","","N","W/W","",FALSE,"","","OCTOCRYLENE","10 %","octocrylene 10 %"
"12732","AVOBENZONE","active",83882,755,"I","3","%","","","N","W/W","",FALSE,"","","AVOBENZONE","3 %","avobenzone 3 %"
"12733","CITALOPRAM (CITALOPRAM HYDROBROMIDE)","active",83886,11847,"I","20","MG","","","N","","",FALSE,"Y","CITALOPRAM","CITALOPRAM","20 MG","citalopram (citalopram hydrobromide) 20 mg"
"12734","CITALOPRAM (CITALOPRAM HYDROBROMIDE)","active",83887,11847,"I","40","MG","","","N","","",FALSE,"Y","CITALOPRAM","CITALOPRAM","40 MG","citalopram (citalopram hydrobromide) 40 mg"
"12735","RISEDRONATE SODIUM (RISEDRONATE SODIUM HEMI-PENTAHYDRATE)","active",83888,11819,"I","35","MG","","","Y","","",TRUE,"Y","RISEDRONATE","RISEDRONATE","35 MG","risedronate sodium (risedronate sodium hemi-pentahydrate) 35 mg"
"12736","OCTISALATE","active",83890,12048,"I","5","%","","","N","W/W","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"12737","HOMOSALATE","active",83890,1970,"I","9","%","","","N","W/W","",FALSE,"","","HOMOSALATE","9 %","homosalate 9 %"
"12738","OCTOCRYLENE","active",83890,2280,"I","3","%","","","N","W/W","",FALSE,"","","OCTOCRYLENE","3 %","octocrylene 3 %"
"12739","AVOBENZONE","active",83890,755,"I","2.5","%","","","N","W/W","",FALSE,"","","AVOBENZONE","2.5 %","avobenzone 2.5 %"
"12740","OCTISALATE","active",83902,12048,"I","4.9","%","","","N","W/W","",FALSE,"","","OCTISALATE","4.9 %","octisalate 4.9 %"
"12741","HOMOSALATE","active",83902,1970,"I","2","%","","","N","W/W","",FALSE,"","","HOMOSALATE","2 %","homosalate 2 %"
"12742","AVOBENZONE","active",83902,755,"I","3","%","","","N","W/W","",FALSE,"","","AVOBENZONE","3 %","avobenzone 3 %"
"12743","OCTISALATE","active",83903,12048,"I","5","%","","","N","W/W","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"12744","OCTINOXATE","active",83903,12049,"I","7.5","%","","","N","W/W","",FALSE,"","","OCTINOXATE","7.5 %","octinoxate 7.5 %"
"12745","HOMOSALATE","active",83903,1970,"I","9.6","%","","","N","W/W","",FALSE,"","","HOMOSALATE","9.6 %","homosalate 9.6 %"
"12746","OXYBENZONE","active",83903,33,"I","5","%","","","N","W/W","",FALSE,"","","OXYBENZONE","5 %","oxybenzone 5 %"
"12747","LANSOPRAZOLE","active",83904,180,"I","15","MG","","","N","","",FALSE,"Y","LANSOPRAZOLE","LANSOPRAZOLE","15 MG","lansoprazole 15 mg"
"12748","LANSOPRAZOLE","active",83905,180,"I","30","MG","","","N","","",FALSE,"Y","LANSOPRAZOLE","LANSOPRAZOLE","30 MG","lansoprazole 30 mg"
"12749","OCTISALATE","active",83908,12048,"I","4.75","%","","","N","W/W","",FALSE,"","","OCTISALATE","4.75 %","octisalate 4.75 %"
"12750","OCTINOXATE","active",83908,12049,"I","7.5","%","","","N","W/W","",FALSE,"","","OCTINOXATE","7.5 %","octinoxate 7.5 %"
"12751","OXYBENZONE","active",83908,33,"I","4","%","","","N","W/W","",FALSE,"","","OXYBENZONE","4 %","oxybenzone 4 %"
"12752","AVOBENZONE","active",83908,755,"I","2.85","%","","","N","W/W","",FALSE,"","","AVOBENZONE","2.85 %","avobenzone 2.85 %"
"12753","WATER","active",83912,8826,"I","50","ML","","","N","VIAL","Historic Freeform Text: STERILE WATER ((DILUENT))",FALSE,"","","WATER","50 ML per VIAL","water 50 mL per vial"
"12754","ANTI-INHIBITOR COAGULANT COMPLEX","active",83912,96,"I","3250","UNIT","","","N","VIAL","2010.06.18. STRENGTH RANGE IS: 1750-3250 IU/VIAL./KK",FALSE,"","","ANTI-INHIBITOR COAGULANT COMPLEX","3250 UNIT per VIAL","anti-inhibitor coagulant complex 3250 unit per vial"
"12755","POTASSIUM CITRATE","active",83921,7132,"I","1080","MG","","","N","","HISTORIC FREEFORM TEXT: POTASSIUM CITRATE",FALSE,"","","POTASSIUM CITRATE","1080 MG","potassium citrate 1080 mg"
"12756","EZETIMIBE","active",83931,12754,"I","10","MG","","","N","","",FALSE,"Y","EZETIMIBE","EZETIMIBE","10 MG","ezetimibe 10 mg"
"12757","METOPROLOL TARTRATE","active",83938,2167,"I","50","MG","","","N","","",FALSE,"Y","METOPROLOL","METOPROLOL","50 MG","metoprolol tartrate 50 mg"
"12758","METOPROLOL TARTRATE","active",83939,2167,"I","100","MG","","","N","","",FALSE,"Y","METOPROLOL","METOPROLOL","100 MG","metoprolol tartrate 100 mg"
"12759","PALIPERIDONE (Paliperidone Palmitate)","active",83941,20163,"I","50","MG","","0.5","N","ML","",FALSE,"","","PALIPERIDONE (Paliperidone Palmitate)","50 MG per 0.5 ML","paliperidone (paliperidone palmitate) 50 mg per 0.5 mL"
"12760","PALIPERIDONE (Paliperidone Palmitate)","active",83942,20163,"I","75","MG","","0.75","N","ML","",FALSE,"","","PALIPERIDONE (Paliperidone Palmitate)","75 MG per 0.75 ML","paliperidone (paliperidone palmitate) 75 mg per 0.75 mL"
"12761","PALIPERIDONE (Paliperidone Palmitate)","active",83943,20163,"I","100","MG","","1","N","ML","",FALSE,"","","PALIPERIDONE (Paliperidone Palmitate)","100 MG per 1 ML","paliperidone (paliperidone palmitate) 100 mg per 1 mL"
"12762","PALIPERIDONE (Paliperidone Palmitate)","active",83944,20163,"I","150","MG","","1.5","N","ML","",FALSE,"","","PALIPERIDONE (Paliperidone Palmitate)","150 MG per 1.5 ML","paliperidone (paliperidone palmitate) 150 mg per 1.5 mL"
"12763","FINASTERIDE","active",83963,768,"I","5","MG","","","N","","HISTORIC FREEFORM TEXT: FINASTERIDE",FALSE,"Y","FINASTERIDE","FINASTERIDE","5 MG","finasteride 5 mg"
"12764","OCTINOXATE","active",83964,12049,"I","4.09","%","","","N","W/W","",FALSE,"","","OCTINOXATE","4.09 %","octinoxate 4.09 %"
"12765","OXYBENZONE","active",83964,33,"I","1.4","%","","","N","W/W","",FALSE,"","","OXYBENZONE","1.4 %","oxybenzone 1.4 %"
"12766","BISOCTRIZOLE","active",83965,20446,"I","6","%","","","N","","",FALSE,"","","BISOCTRIZOLE","6 %","bisoctrizole 6 %"
"12767","BEMOTRIZINOL","active",83965,20447,"I","2.5","%","","","N","","",FALSE,"","","BEMOTRIZINOL","2.5 %","bemotrizinol 2.5 %"
"12768","OCTOCRYLENE","active",83965,2280,"I","10","%","","","N","","",FALSE,"","","OCTOCRYLENE","10 %","octocrylene 10 %"
"12769","AVOBENZONE","active",83965,755,"I","5","%","","","N","","",FALSE,"","","AVOBENZONE","5 %","avobenzone 5 %"
"12770","BISOCTRIZOLE","active",83966,20446,"I","6","%","","","N","","",FALSE,"","","BISOCTRIZOLE","6 %","bisoctrizole 6 %"
"12771","BEMOTRIZINOL","active",83966,20447,"I","2.5","%","","","N","","",FALSE,"","","BEMOTRIZINOL","2.5 %","bemotrizinol 2.5 %"
"12772","OCTOCRYLENE","active",83966,2280,"I","10","%","","","N","","",FALSE,"","","OCTOCRYLENE","10 %","octocrylene 10 %"
"12773","AVOBENZONE","active",83966,755,"I","5","%","","","N","","",FALSE,"","","AVOBENZONE","5 %","avobenzone 5 %"
"12774","BISOCTRIZOLE","active",83967,20446,"I","6","%","","","N","","",FALSE,"","","BISOCTRIZOLE","6 %","bisoctrizole 6 %"
"12775","OCTOCRYLENE","active",83967,2280,"I","8","%","","","N","","",FALSE,"","","OCTOCRYLENE","8 %","octocrylene 8 %"
"12776","AVOBENZONE","active",83967,755,"I","4.5","%","","","N","","",FALSE,"","","AVOBENZONE","4.5 %","avobenzone 4.5 %"
"12777","LIDOCAINE","active",83969,9471,"I","5","%","","","N","W/W","",FALSE,"","","LIDOCAINE","5 %","lidocaine 5 %"
"12778","HYPROMELLOSE","active",83970,12399,"I","0.2","%","","","N","W/V","",FALSE,"","","HYPROMELLOSE","0.2 %","hypromellose 0.2 %"
"12779","GLYCERINE","active",83970,7104,"I","0.2","%","","","N","W/V","",FALSE,"","","GLYCERINE","0.2 %","glycerine 0.2 %"
"12780","BENZALKONIUM CHLORIDE","active",83971,197,"I","0.13","%","","","N","V/V","",FALSE,"Y","BENZALKONIUM","BENZALKONIUM","0.13 %","benzalkonium chloride 0.13 %"
"12781","PROPYLENE GLYCOL","active",83972,10219,"I","5","%","","","N","W/W","",FALSE,"","","PROPYLENE GLYCOL","5 %","propylene glycol 5 %"
"12782","MACROGOL","active",83972,13418,"I","15","%","","","N","W/W","",FALSE,"","","MACROGOL","15 %","macrogol 15 %"
"12783","Sevelamer Carbonate","active",83974,20603,"I","800","MG","","","N","","",FALSE,"","","Sevelamer Carbonate","800 MG","sevelamer carbonate 800 mg"
"12784","ROSUVASTATIN (ROSUVASTATIN CALCIUM)","active",83977,13123,"I","5","MG","","","N","","",FALSE,"Y","ROSUVASTATIN","ROSUVASTATIN","5 MG","rosuvastatin (rosuvastatin calcium) 5 mg"
"12785","ROSUVASTATIN (ROSUVASTATIN CALCIUM)","active",83978,13123,"I","10","MG","","","N","","",FALSE,"Y","ROSUVASTATIN","ROSUVASTATIN","10 MG","rosuvastatin (rosuvastatin calcium) 10 mg"
"12786","ROSUVASTATIN (ROSUVASTATIN CALCIUM)","active",83979,13123,"I","20","MG","","","N","","",FALSE,"Y","ROSUVASTATIN","ROSUVASTATIN","20 MG","rosuvastatin (rosuvastatin calcium) 20 mg"
"12787","BACITRACIN","active",8398,8502,"I","500","UNIT","","","N","G","Historic Freeform Text: BACITRACIN",FALSE,"","","BACITRACIN","500 UNIT per G","bacitracin 500 unit per g"
"12788","POLYMYXIN B (POLYMYXIN B SULFATE)","active",8398,8520,"I","10000","UNIT","","","N","G","HISTORIC FREEFORM TEXT: POLYMIXIN B SULFATE ((BASE EQ))",FALSE,"","","POLYMYXIN B (POLYMYXIN B SULFATE)","10000 UNIT per G","polymyxin b (polymyxin b sulfate) 10000 unit per g"
"12789","ROSUVASTATIN (ROSUVASTATIN CALCIUM)","active",83980,13123,"I","40","MG","","","N","","",FALSE,"Y","ROSUVASTATIN","ROSUVASTATIN","40 MG","rosuvastatin (rosuvastatin calcium) 40 mg"
"12790","OCTISALATE","active",83983,12048,"I","4.5","%","","","N","W/W","",FALSE,"","","OCTISALATE","4.5 %","octisalate 4.5 %"
