"","dpd_ingredient","active_ingredient_code","basis_of_strength_ing","precise_ing","ccdd","top250name","ing_stem","hydrate","ntp_ing"
"977","CICLOPIROX OLAMINE",1913,"CICLOPIROX OLAMINE","CICLOPIROX OLAMINE","Y","CICLOPIROX","CICLOPIROX",FALSE,"ciclopirox olamine"
"978","ACENOCOUMAROL",9062,"ACENOCOUMAROL","ACENOCOUMAROL","","","ACENOCOUMAROL",FALSE,"acenocoumarol"
"979","TIGECYCLINE",19932,"TIGECYCLINE","TIGECYCLINE","","","TIGECYCLINE",FALSE,"tigecycline"
"980","MENINGOCOCCAL POLYSACCHARIDE VACCINE GRP C",7920,"MENINGOCOCCAL POLYSACCHARIDE VACCINE GRP C","MENINGOCOCCAL POLYSACCHARIDE VACCINE GRP C","","","MENINGOCOCCAL POLYSACCHARIDE VACCINE GRP C",FALSE,"meningococcal polysaccharide vaccine grp c"
"981","SODIUM BISULFITE",1073,"SODIUM BISULFITE","SODIUM BISULFITE","","","SODIUM BISULFITE",FALSE,"sodium bisulfite"
"982","DULAGLUTIDE",22660,"DULAGLUTIDE","DULAGLUTIDE","","","DULAGLUTIDE",FALSE,"dulaglutide"
"983","POLYMYXIN B SULFATE",8519,"POLYMYXIN B SULFATE","POLYMYXIN B SULFATE","","","POLYMYXIN B SULFATE",FALSE,"polymyxin b sulfate"
"984","THYMOL",10230,"THYMOL","THYMOL","","","THYMOL",FALSE,"thymol"
"985","Taliglucerase Alfa",22330,"Taliglucerase Alfa","Taliglucerase Alfa","","","Taliglucerase Alfa",FALSE,"taliglucerase alfa"
"986","PHENYLTOLOXAMINE",6044,"PHENYLTOLOXAMINE","PHENYLTOLOXAMINE","","","PHENYLTOLOXAMINE",FALSE,"phenyltoloxamine"
"987","IODINE (SODIUM IODIDE)",7218,"IODINE","SODIUM IODIDE","","","IODINE (SODIUM IODIDE)",FALSE,"iodine (sodium iodide)"
"988","simeprevir (Simeprevir sodium)",22171,"simeprevir","Simeprevir sodium","","","simeprevir (Simeprevir sodium)",FALSE,"simeprevir (simeprevir sodium)"
"989","CARVEDILOL",1188,"CARVEDILOL","CARVEDILOL","Y","CARVEDILOL","CARVEDILOL",FALSE,"carvedilol"
"990","IMMUNE GLOBULIN (HUMAN)",7773,"IMMUNE GLOBULIN","HUMAN","","","IMMUNE GLOBULIN (HUMAN)",FALSE,"immune globulin (human)"
"991","VITAMIN C (ASCORBIC ACID)",646,"VITAMIN C","ASCORBIC ACID","","","VITAMIN C (ASCORBIC ACID)",FALSE,"vitamin c (ascorbic acid)"
"992","ESCITALOPRAM (ESCITALOPRAM OXALATE)",13585,"ESCITALOPRAM","ESCITALOPRAM OXALATE","Y","ESCITALOPRAM","ESCITALOPRAM",FALSE,"escitalopram (escitalopram oxalate)"
"993","FLUOCINOLONE ACETONIDE",7578,"FLUOCINOLONE ACETONIDE","FLUOCINOLONE ACETONIDE","","","FLUOCINOLONE ACETONIDE",FALSE,"fluocinolone acetonide"
"994","PHENOBARBITAL",8282,"PHENOBARBITAL","PHENOBARBITAL","","","PHENOBARBITAL",FALSE,"phenobarbital"
"995","POLLEN",5183,"POLLEN","POLLEN","","","POLLEN",FALSE,"pollen"
"996","NORELGESTROMIN",12172,"NORELGESTROMIN","NORELGESTROMIN","Y","NORELGESTROMIN","NORELGESTROMIN",FALSE,"norelgestromin"
"997","SAPROPTERIN DIHYDROCHLORIDE",20591,"SAPROPTERIN DIHYDROCHLORIDE","SAPROPTERIN DIHYDROCHLORIDE","","","SAPROPTERIN DIHYDROCHLORIDE",FALSE,"sapropterin dihydrochloride"
"998","ANIDULAFUNGIN",20177,"ANIDULAFUNGIN","ANIDULAFUNGIN","","","ANIDULAFUNGIN",FALSE,"anidulafungin"
"999","BEMOTRIZINOL",20447,"BEMOTRIZINOL","BEMOTRIZINOL","","","BEMOTRIZINOL",FALSE,"bemotrizinol"
"1000","AMYLASE",253,"AMYLASE","AMYLASE","","","AMYLASE",FALSE,"amylase"
"1001","ALPRAZOLAM",2072,"ALPRAZOLAM","ALPRAZOLAM","Y","ALPRAZOLAM","ALPRAZOLAM",FALSE,"alprazolam"
"1002","INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 3 SAUKETT",7653,"INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 3 SAUKETT","V.C.O.","","","INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 3 SAUKETT",FALSE,"inactivated poliomyelitis vaccine (v.c.o.) type 3 saukett"
"1003","LINEZOLID",12110,"LINEZOLID","LINEZOLID","","","LINEZOLID",FALSE,"linezolid"
"1004","POTASSIUM PHOSPHATE MONOBASIC",6337,"POTASSIUM PHOSPHATE MONOBASIC","POTASSIUM PHOSPHATE MONOBASIC","","","POTASSIUM PHOSPHATE MONOBASIC",FALSE,"potassium phosphate monobasic"
"1005","SODIUM NITROPRUSSIDE",5525,"SODIUM NITROPRUSSIDE","SODIUM NITROPRUSSIDE","","","SODIUM NITROPRUSSIDE",FALSE,"sodium nitroprusside"
"1006","POTASSIUM CHLORIDE",53,"POTASSIUM CHLORIDE","POTASSIUM CHLORIDE","","","POTASSIUM CHLORIDE",FALSE,"potassium chloride"
"1007","HYPROMELLOSE",12399,"HYPROMELLOSE","HYPROMELLOSE","","","HYPROMELLOSE",FALSE,"hypromellose"
"1008","DOXEPIN (DOXEPIN HYDROCHLORIDE)",11107,"DOXEPIN","DOXEPIN HYDROCHLORIDE","","","DOXEPIN (DOXEPIN HYDROCHLORIDE)",FALSE,"doxepin (doxepin hydrochloride)"
"1009","FONDAPARINUX SODIUM",12253,"FONDAPARINUX SODIUM","FONDAPARINUX SODIUM","","","FONDAPARINUX SODIUM",FALSE,"fondaparinux sodium"
"1010","BUPRENORPHINE (BUPRENORPHINE HYDROCHLORIDE)",12033,"BUPRENORPHINE","BUPRENORPHINE HYDROCHLORIDE","Y","BUPRENORPHINE","BUPRENORPHINE",FALSE,"buprenorphine (buprenorphine hydrochloride)"
"1011","THROMBIN (HUMAN)",11564,"THROMBIN","HUMAN","","","THROMBIN (HUMAN)",FALSE,"thrombin (human)"
"1012","BENAZEPRIL HYDROCHLORIDE",1215,"BENAZEPRIL HYDROCHLORIDE","BENAZEPRIL HYDROCHLORIDE","","","BENAZEPRIL HYDROCHLORIDE",FALSE,"benazepril hydrochloride"
"1013","ALLERGENIC EXTRACT NON-POLLEN",13215,"ALLERGENIC EXTRACT NON-POLLEN","ALLERGENIC EXTRACT NON-POLLEN","","","ALLERGENIC EXTRACT NON-POLLEN",FALSE,"allergenic extract non-pollen"
"1014","ZUCLOPENTHIXOL (ZUCLOPENTHIXOL HYDROCHLORIDE)",11264,"ZUCLOPENTHIXOL","ZUCLOPENTHIXOL HYDROCHLORIDE","","","ZUCLOPENTHIXOL (ZUCLOPENTHIXOL HYDROCHLORIDE)",FALSE,"zuclopenthixol (zuclopenthixol hydrochloride)"
"1015","SODIUM PHOSPHATE MONOBASIC",4753,"SODIUM PHOSPHATE MONOBASIC","SODIUM PHOSPHATE MONOBASIC","","","SODIUM PHOSPHATE MONOBASIC",FALSE,"sodium phosphate monobasic"
"1016","TOPIRAMATE",11384,"TOPIRAMATE","TOPIRAMATE","Y","TOPIRAMATE","TOPIRAMATE",FALSE,"topiramate"
"1017","CLOXACILLIN SODIUM",8411,"CLOXACILLIN SODIUM","CLOXACILLIN SODIUM","","","CLOXACILLIN SODIUM",FALSE,"cloxacillin sodium"
"1018","METHOTRIMEPRAZINE (METHOTRIMEPRAZINE MALEATE)",8029,"METHOTRIMEPRAZINE","METHOTRIMEPRAZINE MALEATE","","","METHOTRIMEPRAZINE (METHOTRIMEPRAZINE MALEATE)",FALSE,"methotrimeprazine (methotrimeprazine maleate)"
"1019","NITISINONE",22811,"NITISINONE","NITISINONE","","","NITISINONE",FALSE,"nitisinone"
"1020","Antihemophilic Factor (Recombinant BDD), FC Fusion Protein",22511,"Antihemophilic Factor (Recombinant BDD), FC Fusion Protein","Recombinant BDD",NA,NA,NA,NA,NA
"1021","STANDARDIZED BERMUDA GRASS POLLEN",22651,"STANDARDIZED BERMUDA GRASS POLLEN","STANDARDIZED BERMUDA GRASS POLLEN","","","STANDARDIZED BERMUDA GRASS POLLEN",FALSE,"standardized bermuda grass pollen"
"1022","ACETAZOLAMIDE",6299,"ACETAZOLAMIDE","ACETAZOLAMIDE","","","ACETAZOLAMIDE",FALSE,"acetazolamide"
"1023","METHOTREXATE (METHOTREXATE SODIUM)",5900,"METHOTREXATE","METHOTREXATE SODIUM","Y","METHOTREXATE","METHOTREXATE",FALSE,"methotrexate (methotrexate sodium)"
"1024","FILGRASTIM (R-METHUG-CSF)",7657,"FILGRASTIM","R-METHUG-CSF","","","FILGRASTIM (R-METHUG-CSF)",FALSE,"filgrastim (r-methug-csf)"
"1025","METRONIDAZOLE",9880,"METRONIDAZOLE","METRONIDAZOLE","Y","METRONIDAZOLE","METRONIDAZOLE",FALSE,"metronidazole"
"1026","RASBURICASE",13268,"RASBURICASE","RASBURICASE","","","RASBURICASE",FALSE,"rasburicase"
"1027","DRONEDARONE (DRONEDARONE HYDROCHLORIDE)",20511,"DRONEDARONE","DRONEDARONE HYDROCHLORIDE","","","DRONEDARONE (DRONEDARONE HYDROCHLORIDE)",FALSE,"dronedarone (dronedarone hydrochloride)"
"1028","IVABRADINE (IVABRADINE HYDROCHLORIDE)",22836,"IVABRADINE","IVABRADINE HYDROCHLORIDE","","","IVABRADINE (IVABRADINE HYDROCHLORIDE)",FALSE,"ivabradine (ivabradine hydrochloride)"
"1029","MACROGOL",13418,"MACROGOL","MACROGOL","","","MACROGOL",FALSE,"macrogol"
"1030","MACITENTAN",22162,"MACITENTAN","MACITENTAN","","","MACITENTAN",FALSE,"macitentan"
"1031","ANTI-THYMOCYTE GLOBULIN (RABBIT)",12118,"ANTI-THYMOCYTE GLOBULIN","RABBIT","","","ANTI-THYMOCYTE GLOBULIN (RABBIT)",FALSE,"anti-thymocyte globulin (rabbit)"
"1032","CYCLOPHOSPHAMIDE",5927,"CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE","","","CYCLOPHOSPHAMIDE",FALSE,"cyclophosphamide"
"1033","BUDESONIDE",7581,"BUDESONIDE","BUDESONIDE","Y","BUDESONIDE","BUDESONIDE",FALSE,"budesonide"
"1034","TIROFIBAN (TIROFIBAN HYDROCHLORIDE)",11752,"TIROFIBAN","TIROFIBAN HYDROCHLORIDE","","","TIROFIBAN (TIROFIBAN HYDROCHLORIDE)",FALSE,"tirofiban (tirofiban hydrochloride)"
"1035","MESNA",1281,"MESNA","MESNA","","","MESNA",FALSE,"mesna"
"1036","CARBOPROST (CARBOPROST TROMETHAMINE)",11320,"CARBOPROST","CARBOPROST TROMETHAMINE","","","CARBOPROST (CARBOPROST TROMETHAMINE)",FALSE,"carboprost (carboprost tromethamine)"
"1037","AMPICILLIN (AMPICILLIN TRIHYDRATE)",8450,"AMPICILLIN","AMPICILLIN TRIHYDRATE",NA,NA,NA,NA,NA
"1038","METHIONINE",7217,"METHIONINE","METHIONINE","","","METHIONINE",FALSE,"methionine"
"1039","DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT",7636,"DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT","DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT","","","DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT",FALSE,"dolichovespula arenaria venom protein extract"
"1040","FINASTERIDE",768,"FINASTERIDE","FINASTERIDE","Y","FINASTERIDE","FINASTERIDE",FALSE,"finasteride"
"1041","EPINEPHRINE",8926,"EPINEPHRINE","EPINEPHRINE","Y","EPINEPHRINE","EPINEPHRINE",FALSE,"epinephrine"
"1042","PRAVASTATIN SODIUM",1201,"PRAVASTATIN SODIUM","PRAVASTATIN SODIUM","Y","PRAVASTATIN","PRAVASTATIN",FALSE,"pravastatin sodium"
"1043","MIRTAZAPINE",12209,"MIRTAZAPINE","MIRTAZAPINE","Y","MIRTAZAPINE","MIRTAZAPINE",FALSE,"mirtazapine"
"1044","THIAMAZOLE",14593,"THIAMAZOLE","THIAMAZOLE","","","THIAMAZOLE",FALSE,"thiamazole"
"1045","DEXTRAN 70",710,"DEXTRAN 70","DEXTRAN 70","","","DEXTRAN 70",FALSE,"dextran 70"
"1046","FLURAZEPAM HYDROCHLORIDE",4015,"FLURAZEPAM HYDROCHLORIDE","FLURAZEPAM HYDROCHLORIDE","Y","FLURAZEPAM","FLURAZEPAM",FALSE,"flurazepam hydrochloride"
"1047","INACTIVATED POLIOVIRUS TYPE III",11935,"INACTIVATED POLIOVIRUS TYPE III","INACTIVATED POLIOVIRUS TYPE III","","","INACTIVATED POLIOVIRUS TYPE III",FALSE,"inactivated poliovirus type iii"
"1048","PYRAZINAMIDE",5937,"PYRAZINAMIDE","PYRAZINAMIDE","","","PYRAZINAMIDE",FALSE,"pyrazinamide"
"1049","IODIXANOL",250,"IODIXANOL","IODIXANOL","","","IODIXANOL",FALSE,"iodixanol"
"1050","MEPERIDINE HYDROCHLORIDE",9118,"MEPERIDINE HYDROCHLORIDE","MEPERIDINE HYDROCHLORIDE","","","MEPERIDINE HYDROCHLORIDE",FALSE,"meperidine hydrochloride"
"1051","DIATRIZOATE SODIUM",10133,"DIATRIZOATE SODIUM","DIATRIZOATE SODIUM","","","DIATRIZOATE SODIUM",FALSE,"diatrizoate sodium"
"1052","ADEFOVIR DIPIVOXIL",13233,"ADEFOVIR DIPIVOXIL","ADEFOVIR DIPIVOXIL","","","ADEFOVIR DIPIVOXIL",FALSE,"adefovir dipivoxil"
"1053","SUNITINIB (SUNITINIB MALATE)",19249,"SUNITINIB","SUNITINIB MALATE","","","SUNITINIB (SUNITINIB MALATE)",FALSE,"sunitinib (sunitinib malate)"
"1054","BETAMETHASONE (BETAMETHASONE DIPROPIONATE)",7610,"BETAMETHASONE","BETAMETHASONE DIPROPIONATE","Y","BETAMETHASONE","BETAMETHASONE (BASE)",FALSE,"betamethasone (betamethasone dipropionate)"
"1055","TENOXICAM",1220,"TENOXICAM","TENOXICAM","","","TENOXICAM",FALSE,"tenoxicam"
"1056","EFLORNITHINE HYDROCHLORIDE",12187,"EFLORNITHINE HYDROCHLORIDE","EFLORNITHINE HYDROCHLORIDE","","","EFLORNITHINE HYDROCHLORIDE",FALSE,"eflornithine hydrochloride"
"1057","IOTHALAMATE MEGLUMINE",12859,"IOTHALAMATE MEGLUMINE","IOTHALAMATE MEGLUMINE","","","IOTHALAMATE MEGLUMINE",FALSE,"iothalamate meglumine"
"1058","UREA",8755,"UREA","UREA","","","UREA",FALSE,"urea"
"1059","THIOGUANINE",9449,"THIOGUANINE","THIOGUANINE",NA,NA,NA,NA,NA
"1060","Colesevelam hydrochloride",20982,"Colesevelam hydrochloride","Colesevelam hydrochloride","","","Colesevelam hydrochloride",FALSE,"colesevelam hydrochloride"
"1061","DIHYDROERGOTAMINE MESYLATE",3359,"DIHYDROERGOTAMINE MESYLATE","DIHYDROERGOTAMINE MESYLATE","","","DIHYDROERGOTAMINE MESYLATE",FALSE,"dihydroergotamine mesylate"
"1062","SODIUM SALICYLATE",9783,"SODIUM SALICYLATE","SODIUM SALICYLATE","","","SODIUM SALICYLATE",FALSE,"sodium salicylate"
"1063","DINOPROST (DINOPROST TROMETHAMINE)",11487,"DINOPROST","DINOPROST TROMETHAMINE","","","DINOPROST (DINOPROST TROMETHAMINE)",FALSE,"dinoprost (dinoprost tromethamine)"
"1064","ESCULIN",9068,"ESCULIN","ESCULIN","Y","ESCULIN","ESCULIN",FALSE,"esculin"
"1065","GADOVERSETAMIDE",12039,"GADOVERSETAMIDE","GADOVERSETAMIDE","","","GADOVERSETAMIDE",FALSE,"gadoversetamide"
"1066","NARATRIPTAN (NARATRIPTAN HYDROCHLORIDE)",11770,"NARATRIPTAN","NARATRIPTAN HYDROCHLORIDE","","","NARATRIPTAN (NARATRIPTAN HYDROCHLORIDE)",FALSE,"naratriptan (naratriptan hydrochloride)"
"1067","BENSERAZIDE (BENSERAZIDE HYDROCHLORIDE)",11318,"BENSERAZIDE","BENSERAZIDE HYDROCHLORIDE","","","BENSERAZIDE (BENSERAZIDE HYDROCHLORIDE)",FALSE,"benserazide (benserazide hydrochloride)"
"1068","ERYTHROMYCIN (ERYTHROMYCIN ESTOLATE)",8618,"ERYTHROMYCIN","ERYTHROMYCIN ESTOLATE","Y","ERYTHROMYCIN","ERYTHROMYCIN",FALSE,"erythromycin (erythromycin estolate)"
"1069","RIZATRIPTAN (RIZATRIPTAN BENZOATE)",11899,"RIZATRIPTAN","RIZATRIPTAN BENZOATE","Y","RIZATRIPTAN","RIZATRIPTAN",FALSE,"rizatriptan (rizatriptan benzoate)"
"1070","METHYLPHENIDATE HYDROCHLORIDE",6186,"METHYLPHENIDATE HYDROCHLORIDE","METHYLPHENIDATE HYDROCHLORIDE","Y","METHYLPHENIDATE","METHYLPHENIDATE",FALSE,"methylphenidate hydrochloride"
"1071","OMALIZUMAB",13365,"OMALIZUMAB","OMALIZUMAB","","","OMALIZUMAB",FALSE,"omalizumab"
"1072","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G3",19829,"HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G3","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G3","","","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G3",FALSE,"human-bovine rotavirus reassortant type g3"
"1073","SODIUM ASCORBATE",4937,"SODIUM ASCORBATE","SODIUM ASCORBATE","","","SODIUM ASCORBATE",FALSE,"sodium ascorbate"
"1074","QUINAGOLIDE (QUINAGOLIDE HYDROCHLORIDE)",13315,"QUINAGOLIDE","QUINAGOLIDE HYDROCHLORIDE","","","QUINAGOLIDE (QUINAGOLIDE HYDROCHLORIDE)",FALSE,"quinagolide (quinagolide hydrochloride)"
"1075","HYDROXYCHLOROQUINE SULFATE",6506,"HYDROXYCHLOROQUINE SULFATE","HYDROXYCHLOROQUINE SULFATE","Y","HYDROXYCHLOROQUINE","HYDROXYCHLOROQUINE",FALSE,"hydroxychloroquine sulfate"
"1076","OnabotulinumtoxinA",17056,"OnabotulinumtoxinA","OnabotulinumtoxinA","","","OnabotulinumtoxinA",FALSE,"onabotulinumtoxina"
"1077","ANTIHEMOPHILIC FACTOR (RECOMBINANT) PORCINE SEQUENCE",22653,"ANTIHEMOPHILIC FACTOR (RECOMBINANT) PORCINE SEQUENCE","RECOMBINANT","","","ANTIHEMOPHILIC FACTOR (RECOMBINANT) PORCINE SEQUENCE",FALSE,"antihemophilic factor (recombinant) porcine sequence"
"1078","WASP VENOM PROTEIN",2028,"WASP VENOM PROTEIN","WASP VENOM PROTEIN","","","WASP VENOM PROTEIN",FALSE,"wasp venom protein"
"1079","BUSERELIN (BUSERELIN ACETATE)",11250,"BUSERELIN","BUSERELIN ACETATE","","","BUSERELIN (BUSERELIN ACETATE)",FALSE,"buserelin (buserelin acetate)"
"1080","CITALOPRAM (CITALOPRAM HYDROBROMIDE)",11847,"CITALOPRAM","CITALOPRAM HYDROBROMIDE","Y","CITALOPRAM","CITALOPRAM",FALSE,"citalopram (citalopram hydrobromide)"
"1081","DOMPERIDONE (DOMPERIDONE MALEATE)",1840,"DOMPERIDONE","DOMPERIDONE MALEATE","Y","DOMPERIDONE","DOMPERIDONE",FALSE,"domperidone (domperidone maleate)"
"1082","BUTALBITAL",8231,"BUTALBITAL","BUTALBITAL","","","BUTALBITAL",FALSE,"butalbital"
"1083","CLINDAMYCIN PHOSPHATE",12037,"CLINDAMYCIN PHOSPHATE","CLINDAMYCIN PHOSPHATE","Y","CLINDAMYCIN","CLINDAMYCIN",FALSE,"clindamycin phosphate"
"1084","ACETIC ACID",47,"ACETIC ACID","ACETIC ACID","","","ACETIC ACID",FALSE,"acetic acid"
"1085","PSEUDOEPHEDRINE SULFATE",773,"PSEUDOEPHEDRINE SULFATE","PSEUDOEPHEDRINE SULFATE","","","PSEUDOEPHEDRINE SULFATE",FALSE,"pseudoephedrine sulfate"
"1086","EPOETIN ALFA",299,"EPOETIN ALFA","EPOETIN ALFA","","","EPOETIN ALFA",FALSE,"epoetin alfa"
"1087","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 23F",20532,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 23F","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 23F","","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 23F",FALSE,"pneumococcal polysaccharide serotype 23f"
"1088","PAMABROM",9437,"PAMABROM","PAMABROM","","","PAMABROM",FALSE,"pamabrom"
"1089","BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE)",7610,"BETAMETHASONE","BETAMETHASONE SODIUM PHOSPHATE","Y","BETAMETHASONE","BETAMETHASONE (BASE)",FALSE,"betamethasone (betamethasone sodium phosphate)"
"1090","CLOBETASOL PROPIONATE",7558,"CLOBETASOL PROPIONATE","CLOBETASOL PROPIONATE","Y","CLOBETASOL","CLOBETASOL",FALSE,"clobetasol propionate"
"1091","INSULIN DETEMIR",13104,"INSULIN DETEMIR","INSULIN DETEMIR","Y","INSULIN DETEMIR","INSULIN DETEMIR",FALSE,"insulin detemir"
"1092","CLONIDINE HYDROCHLORIDE",2564,"CLONIDINE HYDROCHLORIDE","CLONIDINE HYDROCHLORIDE","Y","CLONIDINE","CLONIDINE",FALSE,"clonidine hydrochloride"
"1093","CALCITONIN (SALMON SYNTHETIC)",13186,"CALCITONIN","SALMON SYNTHETIC","","","CALCITONIN (SALMON SYNTHETIC)",FALSE,"calcitonin (salmon synthetic)"
"1094","MELPHALAN (MELPHALAN HYDROCHLORIDE)",9872,"MELPHALAN","MELPHALAN HYDROCHLORIDE","","","MELPHALAN (MELPHALAN HYDROCHLORIDE)",FALSE,"melphalan (melphalan hydrochloride)"
"1095","MICAFUNGIN SODIUM",20128,"MICAFUNGIN SODIUM","MICAFUNGIN SODIUM","","","MICAFUNGIN SODIUM",FALSE,"micafungin sodium"
"1096","BAZEDOXIFENE (BAZEDOXIFENE ACETATE)",22524,"BAZEDOXIFENE","BAZEDOXIFENE ACETATE","","","BAZEDOXIFENE (BAZEDOXIFENE ACETATE)",FALSE,"bazedoxifene (bazedoxifene acetate)"
"1097","BETAXOLOL (BETAXOLOL HYDROCHLORIDE)",11219,"BETAXOLOL","BETAXOLOL HYDROCHLORIDE","","","BETAXOLOL (BETAXOLOL HYDROCHLORIDE)",FALSE,"betaxolol (betaxolol hydrochloride)"
"1098","STANDARDIZED SWEET VERNAL GRASS POLLEN",20460,"STANDARDIZED SWEET VERNAL GRASS POLLEN","STANDARDIZED SWEET VERNAL GRASS POLLEN","","","STANDARDIZED SWEET VERNAL GRASS POLLEN",FALSE,"standardized sweet vernal grass pollen"
"1099","CALCIUM GLYCEROPHOSPHATE",4775,"CALCIUM GLYCEROPHOSPHATE","CALCIUM GLYCEROPHOSPHATE","","","CALCIUM GLYCEROPHOSPHATE",FALSE,"calcium glycerophosphate"
"1100","COCOA BUTTER",854,"COCOA BUTTER","COCOA BUTTER","","","COCOA BUTTER",FALSE,"cocoa butter"
"1101","TETANUS PROTEIN",7652,"TETANUS PROTEIN","TETANUS PROTEIN","","","TETANUS PROTEIN",FALSE,"tetanus protein"
"1102","ENALAPRIL MALEATE",1810,"ENALAPRIL MALEATE","ENALAPRIL MALEATE","Y","ENALAPRIL","ENALAPRIL",FALSE,"enalapril maleate"
"1103","DIBUCAINE HYDROCHLORIDE",7053,"DIBUCAINE HYDROCHLORIDE","DIBUCAINE HYDROCHLORIDE","Y","DIBUCAINE","DIBUCAINE",FALSE,"dibucaine hydrochloride"
"1104","ATRACURIUM BESYLATE",1844,"ATRACURIUM BESYLATE","ATRACURIUM BESYLATE","","","ATRACURIUM BESYLATE",FALSE,"atracurium besylate"
"1105","HYDROCORTISONE (HYDROCORTISONE ACETATE)",7532,"HYDROCORTISONE","HYDROCORTISONE ACETATE","Y","HYDROCORTISONE","HYDROCORTISONE",FALSE,"hydrocortisone (hydrocortisone acetate)"
"1106","METHOTREXATE",5900,"METHOTREXATE","METHOTREXATE","Y","METHOTREXATE","METHOTREXATE",FALSE,"methotrexate"
"1107","MIDAZOLAM",11188,"MIDAZOLAM","MIDAZOLAM","","","MIDAZOLAM",FALSE,"midazolam"
"1108","DIPHENYLPYRALINE HYDROCHLORIDE",9613,"DIPHENYLPYRALINE HYDROCHLORIDE","DIPHENYLPYRALINE HYDROCHLORIDE","","","DIPHENYLPYRALINE HYDROCHLORIDE",FALSE,"diphenylpyraline hydrochloride"
"1109","METHYLDOPA",10295,"METHYLDOPA","METHYLDOPA","","","METHYLDOPA",FALSE,"methyldopa"
"1110","TIPRANAVIR",12684,"TIPRANAVIR","TIPRANAVIR","","","TIPRANAVIR",FALSE,"tipranavir"
"1111","BROMOCRIPTINE (BROMOCRIPTINE MESYLATE)",11220,"BROMOCRIPTINE","BROMOCRIPTINE MESYLATE","","","BROMOCRIPTINE (BROMOCRIPTINE MESYLATE)",FALSE,"bromocriptine (bromocriptine mesylate)"
"1112","FISH OIL",638,"FISH OIL","FISH OIL","","","FISH OIL",FALSE,"fish oil"
"1113","PORACTANT ALFA",11967,"PORACTANT ALFA","PORACTANT ALFA","","","PORACTANT ALFA",FALSE,"poractant alfa"
"1114","CARBAMAZEPINE",4182,"CARBAMAZEPINE","CARBAMAZEPINE","Y","CARBAMAZEPINE","CARBAMAZEPINE",FALSE,"carbamazepine"
"1115","TOBRAMYCIN (TOBRAMYCIN SULFATE)",8565,"TOBRAMYCIN","TOBRAMYCIN SULFATE","Y","TOBRAMYCIN","TOBRAMYCIN",FALSE,"tobramycin (tobramycin sulfate)"
"1116","ETIDRONATE DISODIUM",12611,"ETIDRONATE DISODIUM","ETIDRONATE DISODIUM","","","ETIDRONATE DISODIUM",FALSE,"etidronate disodium"
"1117","VITAMIN B2 (RIBOFLAVIN)",11171,"VITAMIN B2","RIBOFLAVIN","","","VITAMIN B2 (RIBOFLAVIN)",FALSE,"vitamin b2 (riboflavin)"
"1118","CALCIUM ACETATE",4810,"CALCIUM ACETATE","CALCIUM ACETATE","","","CALCIUM ACETATE",FALSE,"calcium acetate"
"1119","RITUXIMAB",11982,"RITUXIMAB","RITUXIMAB","","","RITUXIMAB",FALSE,"rituximab"
"1120","FLUPHENAZINE HYDROCHLORIDE",20269,"FLUPHENAZINE HYDROCHLORIDE","FLUPHENAZINE HYDROCHLORIDE","","","FLUPHENAZINE HYDROCHLORIDE",FALSE,"fluphenazine hydrochloride"
"1121","DIPYRIDAMOLE",7219,"DIPYRIDAMOLE","DIPYRIDAMOLE","","","DIPYRIDAMOLE",FALSE,"dipyridamole"
"1122","BETAINE",6871,"BETAINE","BETAINE","","","BETAINE",FALSE,"betaine"
"1123","MOCLOBEMIDE",7943,"MOCLOBEMIDE","MOCLOBEMIDE","","","MOCLOBEMIDE",FALSE,"moclobemide"
"1124","POVIDONE",10212,"POVIDONE","POVIDONE","","","POVIDONE",FALSE,"povidone"
"1125","DALTEPARIN SODIUM",269,"DALTEPARIN SODIUM","DALTEPARIN SODIUM","","","DALTEPARIN SODIUM",FALSE,"dalteparin sodium"
"1126","GEMCITABINE (GEMCITABINE HYDROCHLORIDE)",11262,"GEMCITABINE","GEMCITABINE HYDROCHLORIDE","","","GEMCITABINE (GEMCITABINE HYDROCHLORIDE)",FALSE,"gemcitabine (gemcitabine hydrochloride)"
"1127","OSELTAMIVIR (OSELTAMIVIR PHOSPHATE)",11956,"OSELTAMIVIR","OSELTAMIVIR PHOSPHATE","","","OSELTAMIVIR (OSELTAMIVIR PHOSPHATE)",FALSE,"oseltamivir (oseltamivir phosphate)"
