"","dpd_ingredient","active_ingredient_code","hydrate","ccdd","top250name","ing_stem"
"544","NITROFURANTOIN",10196,FALSE,"Y","NITROFURANTOIN","NITROFURANTOIN"
"545","OCTREOTIDE (OCTREOTIDE ACETATE)",1255,FALSE,"","","OCTREOTIDE (OCTREOTIDE ACETATE)"
"546","OXYBUTYNIN CHLORIDE",10040,FALSE,"Y","OXYBUTYNIN","OXYBUTYNIN"
"547","AZITHROMYCIN",424,FALSE,"Y","AZITHROMYCIN","AZITHROMYCIN"
"548","AMPICILLIN",8450,FALSE,"","","AMPICILLIN"
"549","ACETYLCHOLINE CHLORIDE",4957,FALSE,"","","ACETYLCHOLINE CHLORIDE"
"550","DELAVIRDINE MESYLATE",11786,FALSE,"","","DELAVIRDINE MESYLATE"
"551","OLSALAZINE SODIUM",1226,FALSE,"","","OLSALAZINE SODIUM"
"552","SODIUM TETRADECYL SULFATE",6212,FALSE,"","","SODIUM TETRADECYL SULFATE"
"553","Vilanterol (Vilanterol trifenatate)",22120,FALSE,"","","Vilanterol (Vilanterol trifenatate)"
"554","TIZANIDINE (TIZANIDINE HYDROCHLORIDE)",11821,FALSE,"","","TIZANIDINE (TIZANIDINE HYDROCHLORIDE)"
"555","PROCAINAMIDE HYDROCHLORIDE",9702,FALSE,"","","PROCAINAMIDE HYDROCHLORIDE"
"556","POLYSORBATE 80",6497,FALSE,"","","POLYSORBATE 80"
"557","SOLIFENACIN SUCCINATE",18175,FALSE,"Y","SOLIFENACIN","SOLIFENACIN"
"558","TETRACAINE HYDROCHLORIDE",6788,FALSE,"","","TETRACAINE HYDROCHLORIDE"
"559","HYDROXYZINE HYDROCHLORIDE",8008,FALSE,"Y","HYDROXYZINE","HYDROXYZINE"
"560","COLESTIPOL HYDROCHLORIDE",2118,FALSE,"","","COLESTIPOL HYDROCHLORIDE"
"561","TOPOTECAN (TOPOTECAN HYDROCHLORIDE)",11431,FALSE,"","","TOPOTECAN"
"562","GADOBENATE DIMEGLUMINE",12297,FALSE,"","","GADOBENATE DIMEGLUMINE"
"563","CAFFEINE CITRATE",9357,FALSE,"Y","CAFFEINE","CAFFEINE"
"564","FOSINOPRIL SODIUM",1744,FALSE,"Y","FOSINOPRIL","FOSINOPRIL"
"565","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)",11101,TRUE,"Y","AMOXICILLIN","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)"
"566","PHENAZOPYRIDINE HYDROCHLORIDE",20246,FALSE,"","","PHENAZOPYRIDINE HYDROCHLORIDE"
"567","CANNABIDIOL (CANNABIS SATIVA EXTRACT)",14448,FALSE,"","","CANNABIDIOL (CANNABIS SATIVA EXTRACT)"
"568","EVOLOCUMAB",22637,FALSE,"","","EVOLOCUMAB"
"569","CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE, CIPROFLOXACIN)",93,FALSE,"Y","CIPROFLOXACIN","CIPROFLOXACIN"
"570","DIAZOXIDE",9557,FALSE,"","","DIAZOXIDE"
"571","TERIPARATIDE",13330,FALSE,"","","TERIPARATIDE"
"572","DOXORUBICIN HYDROCHLORIDE",2298,FALSE,"","","DOXORUBICIN HYDROCHLORIDE"
"573","DISODIUM EDETATE",3836,FALSE,"","","DISODIUM EDETATE"
"574","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 31 L1 PROTEIN",22570,FALSE,"","","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 31 L1 PROTEIN"
"575","Azilsartan Medoxomil (Azilsartan Medoxomil Potassium)",21230,FALSE,"","","Azilsartan Medoxomil (Azilsartan Medoxomil Potassium)"
"576","ALANINE",2963,FALSE,"","","ALANINE"
"577","GANCICLOVIR (GANCICLOVIR SODIUM)",135,FALSE,"","","GANCICLOVIR (GANCICLOVIR SODIUM)"
"578","PRAZIQUANTEL",2092,FALSE,"","","PRAZIQUANTEL"
"579","TETANUS TOXOID",7935,FALSE,"","","TETANUS TOXOID"
"580","SENNOSIDES (SENNA)",5190,FALSE,"","","SENNOSIDES (SENNA)"
"581","CHLORTHALIDONE",10135,FALSE,"","","CHLORTHALIDONE"
"582","CALCIPOTRIOL (CALCIPOTRIOL MONOHYDRATE)",894,TRUE,"","","CALCIPOTRIOL (CALCIPOTRIOL MONOHYDRATE)"
"583","MEPOLIZUMAB",12884,FALSE,"","","MEPOLIZUMAB"
"584","AMANTADINE HYDROCHLORIDE",9905,FALSE,"","","AMANTADINE HYDROCHLORIDE"
"585","LISDEXAMFETAMINE DIMESYLATE",20437,FALSE,"Y","LISDEXAMFETAMINE","LISDEXAMFETAMINE"
"586","INSULIN",7326,FALSE,"","","INSULIN"
"587","AMPHETAMINE SULFATE",8309,FALSE,"Y","AMPHETAMINE","AMPHETAMINE"
"588","PEGASPARGASE",11706,FALSE,"","","PEGASPARGASE"
"589","MEMANTINE HYDROCHLORIDE",13366,FALSE,"","","MEMANTINE HYDROCHLORIDE"
"590","MARAVIROC",20160,FALSE,"","","MARAVIROC"
"591","PALONOSETRON (PALONOSETRON HYDROCHLORIDE)",21240,FALSE,"","","PALONOSETRON (PALONOSETRON HYDROCHLORIDE)"
"592","ALIROCUMAB",22706,FALSE,"","","ALIROCUMAB"
"593","PENICILLIN G (PENICILLIN G SODIUM)",8447,FALSE,"","","PENICILLIN G (PENICILLIN G SODIUM)"
"594","Elvitegravir",21507,FALSE,"","","Elvitegravir"
"595","RAMIPRIL",932,FALSE,"Y","RAMIPRIL","RAMIPRIL"
"596","MITOTANE",2100,FALSE,"","","MITOTANE"
"597","ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)",721,FALSE,"","","ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)"
"598","ERYTHROMYCIN (ERYTHROMYCIN LACTOBIONATE)",8618,FALSE,"Y","ERYTHROMYCIN","ERYTHROMYCIN"
"599","EVEROLIMUS",13238,FALSE,"","","EVEROLIMUS"
"600","SODIUM SULFATE",7247,FALSE,"","","SODIUM SULFATE"
"601","ALLERGEN EXTRACT - ALUM PRECIPITATED",12020,FALSE,"","","ALLERGEN EXTRACT - ALUM PRECIPITATED"
"602","STANDARDIZED CAT HAIR ACETONE PRECIPITATED",256,FALSE,"","","STANDARDIZED CAT HAIR ACETONE PRECIPITATED"
"603","PAROXETINE (PAROXETINE HYDROCHLORIDE HEMIHYDRATE)",11340,TRUE,"Y","PAROXETINE","PAROXETINE"
"604","CARBON MONOXIDE",1938,FALSE,"","","CARBON MONOXIDE"
"605","FESOTERODINE FUMARATE",21178,FALSE,"","","FESOTERODINE FUMARATE"
"606","DEXAMETHASONE (DEXAMETHASONE SODIUM METASULPHOBENZOATE)",7600,FALSE,"Y","DEXAMETHASONE","DEXAMETHASONE (BASE)"
"607","GRANISETRON (GRANISETRON HYDROCHLORIDE)",11382,FALSE,"","","GRANISETRON (GRANISETRON HYDROCHLORIDE)"
"608","HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE)",7532,FALSE,"Y","HYDROCORTISONE","HYDROCORTISONE"
"609","BIOTIN",4962,FALSE,"","","BIOTIN"
"610","CALCIUM CHLORIDE",51,FALSE,"","","CALCIUM CHLORIDE"
"611","VASOPRESSIN",7387,FALSE,"","","VASOPRESSIN"
"612","TETRACOSACTIDE (Tetracosactide zinc hydroxide)",7516,FALSE,"","","TETRACOSACTIDE (Tetracosactide zinc hydroxide)"
"613","FORMOTEROL FUMARATE DIHYDRATE",12633,TRUE,"Y","FORMOTEROL","FORMOTEROL"
"614","DOXYLAMINE SUCCINATE",10224,FALSE,"","","DOXYLAMINE SUCCINATE"
"615","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP Y",19044,FALSE,"","","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP Y"
"616","INTERFERON BETA-1A",11746,FALSE,"","","INTERFERON BETA-1A"
"617","ACETYLCYSTEINE",10303,FALSE,"","","ACETYLCYSTEINE"
"618","PROTEASE",648,FALSE,"","","PROTEASE"
"619","AMIODARONE HYDROCHLORIDE",1400,FALSE,"Y","AMIODARONE","AMIODARONE"
"620","Aclidinium bromide",22129,FALSE,"","","Aclidinium bromide"
"621","SENNOSIDES",5190,FALSE,"","","SENNOSIDES"
"622","Pertuzumab",22051,FALSE,"","","Pertuzumab"
"623","GENTAMICIN (GENTAMICIN SULFATE)",8632,FALSE,"","","GENTAMICIN (GENTAMICIN SULFATE)"
"624","CAPECITABINE",11787,FALSE,"","","CAPECITABINE"
"625","STANDARDIZED CAT PELT",11607,FALSE,"","","STANDARDIZED CAT PELT"
"626","PODOPHYLLOTOXIN",910,FALSE,"","","PODOPHYLLOTOXIN"
"627","LACTIC ACID",6777,FALSE,"","","LACTIC ACID"
"628","ABCIXIMAB",61,FALSE,"","","ABCIXIMAB"
"629","L-CYSTEINE (L-CYSTEINE HYDROCHLORIDE)",5416,FALSE,"","","L-CYSTEINE (L-CYSTEINE HYDROCHLORIDE)"
"630","Ombitasvir",22554,FALSE,"","","Ombitasvir"
"631","FIMBRIAE TYPES 2 AND 3 (FIM)",20594,FALSE,"","","FIMBRIAE TYPES 2 AND 3 (FIM)"
"632","Canagliflozin",22295,FALSE,"","","Canagliflozin"
"633","DESMOPRESSIN ACETATE",2155,FALSE,"","","DESMOPRESSIN ACETATE"
"634","HYDROXOCOBALAMIN",4971,FALSE,"","","HYDROXOCOBALAMIN"
"635","HELIUM",2334,FALSE,"","","HELIUM"
"636","KETOCONAZOLE",1855,FALSE,"","","KETOCONAZOLE"
"637","GOLIMUMAB",20450,FALSE,"","","GOLIMUMAB"
"638","LANREOTIDE (LANREOTIDE ACETATE)",19728,FALSE,"","","LANREOTIDE (LANREOTIDE ACETATE)"
"639","PROXYMETACAINE HYDROCHLORIDE",20365,FALSE,NA,NA,NA
"640","HYDROXYETHYL STARCH 130/0.4",12794,FALSE,"","","HYDROXYETHYL STARCH 130/0.4"
"641","BENZYLPENICILLOYL-POLYLYSINE",8362,FALSE,"","","BENZYLPENICILLOYL-POLYLYSINE"
"642","AMCINONIDE",7508,FALSE,"","","AMCINONIDE"
"643","DICLOFENAC POTASSIUM",1205,FALSE,"Y","DICLOFENAC","DICLOFENAC"
"644","NEOMYCIN SULFATE",8636,FALSE,"","","NEOMYCIN SULFATE"
"645","DACARBAZINE",2264,FALSE,NA,NA,NA
"646","AMLODIPINE (AMLODIPINE BESYLATE)",11344,FALSE,"Y","AMLODIPINE","AMLODIPINE"
"647","Dapagliflozin (Dapagliflozin propanediol monohydrate)",22549,TRUE,"","","Dapagliflozin (Dapagliflozin propanediol monohydrate)"
"648","VERTEPORFIN",11996,FALSE,"","","VERTEPORFIN"
"649","ETAFEDRIN HYDROCHLORIDE",8936,FALSE,"","","ETAFEDRIN HYDROCHLORIDE"
"650","NORGESTIMATE",7492,FALSE,"Y","NORGESTIMATE","NORGESTIMATE"
"651","MUPIROCIN (MUPIROCIN CALCIUM DIHYDRATE)",1832,TRUE,"","","MUPIROCIN (MUPIROCIN CALCIUM DIHYDRATE)"
"652","FENTANYL",10075,FALSE,"Y","FENTANYL","FENTANYL"
"653","RASAGILINE (RASAGILINE MESYLATE)",19840,FALSE,"","","RASAGILINE (RASAGILINE MESYLATE)"
"654","TRYPTOPHAN",10238,FALSE,"","","TRYPTOPHAN"
"655","BUTAMBEN",5954,FALSE,"","","BUTAMBEN"
"656","HAEMAGGLUTININ-STRAIN A(H1N1)",744,FALSE,"","","HAEMAGGLUTININ-STRAIN A(H1N1)"
"657","BEPOTASTINE BESILATE",22757,FALSE,"","","BEPOTASTINE BESILATE"
"658","TRYPAN BLUE",18848,FALSE,"","","TRYPAN BLUE"
"659","L-PHENYLALANINE HYDROCHLORIDE",750,FALSE,"","","L-PHENYLALANINE HYDROCHLORIDE"
"660","TIOTROPIUM (TIOTROPIUM BROMIDE MONOHYDRATE)",13057,TRUE,"Y","TIOTROPIUM BROMIDE","TIOTROPIUM"
"661","DESLORATADINE",12210,FALSE,"","","DESLORATADINE"
"662","Aflibercept",22163,FALSE,"","","Aflibercept"
"663","VESPULA SPP VENOM PROTEIN EXTRACT",7637,FALSE,"","","VESPULA SPP VENOM PROTEIN EXTRACT"
"664","SEVELAMER HYDROCHLORIDE",11777,FALSE,"","","SEVELAMER HYDROCHLORIDE"
"665","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19F",20531,FALSE,"","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19F"
"666","LEVETIRACETAM",13107,FALSE,"Y","LEVETIRACETAM","LEVETIRACETAM"
"667","LEVOMILNACIPRAN (LEVOMILNACIPRAN HYDROCHLORIDE)",22602,FALSE,"","","LEVOMILNACIPRAN (LEVOMILNACIPRAN HYDROCHLORIDE)"
"668","VARENICLINE (VARENICLINE TARTRATE)",20097,FALSE,"Y","VARENICLINE","VARENICLINE"
"669","Guanfacine (GUANFACINE HYDROCHLORIDE)",22124,FALSE,"","","Guanfacine (GUANFACINE HYDROCHLORIDE)"
"670","SULFISOXAZOLE (SULFISOXAZOLE ACETYL)",8178,FALSE,"","","SULFISOXAZOLE (SULFISOXAZOLE ACETYL)"
"671","VALPROIC ACID (DIVALPROEX SODIUM)",2115,FALSE,"Y","DIVALPROEX","VALPROIC ACID (DIVALPROEX)"
"672","GRAMICIDIN",8523,FALSE,"","","GRAMICIDIN"
"673","AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE HEMIETHANOLATE)",424,TRUE,"Y","AZITHROMYCIN","AZITHROMYCIN"
"674","DICLOFENAC SODIUM",2013,FALSE,"Y","DICLOFENAC","DICLOFENAC"
"675","DROSPIRENONE",13375,FALSE,"Y","DROSPIRENONE","DROSPIRENONE"
"676","CICLOPIROX",12378,FALSE,"Y","CICLOPIROX","CICLOPIROX"
"677","PREDNISOLONE SODIUM PHOSPHATE",7627,FALSE,"Y","PREDNISOLONE","PREDNISOLONE"
"678","CALCIPOTRIOL",894,FALSE,"","","CALCIPOTRIOL"
"679","APRACLONIDINE (APRACLONIDINE HYDROCHLORIDE)",11372,FALSE,"","","APRACLONIDINE (APRACLONIDINE HYDROCHLORIDE)"
"680","BISMUTH SUBSALICYLATE",6404,FALSE,"","","BISMUTH SUBSALICYLATE"
"681","ONDANSETRON",11104,FALSE,"","","ONDANSETRON"
"682","BRIMONIDINE TARTRATE",11710,FALSE,"","","BRIMONIDINE TARTRATE"
"683","BISMUTH DIPROPYLACETATE",4161,FALSE,"","","BISMUTH DIPROPYLACETATE"
"684","NELFINAVIR (NELFINAVIR MESYLATE)",11789,FALSE,"","","NELFINAVIR (NELFINAVIR MESYLATE)"
"685","VORINOSTAT",20475,FALSE,"","","VORINOSTAT"
"686","RILUZOLE",12026,FALSE,"","","RILUZOLE"
"687","Pembrolizumab",22604,FALSE,"","","Pembrolizumab"
"688","DACTINOMYCIN",8486,FALSE,"","","DACTINOMYCIN"
"689","RILPIVIRINE (RILPIVIRINE HYDROCHLORIDE)",20874,FALSE,"","","RILPIVIRINE (RILPIVIRINE HYDROCHLORIDE)"
"690","PIZOTIFEN (PIZOTIFEN MALATE)",12057,FALSE,"","","PIZOTIFEN (PIZOTIFEN MALATE)"
"691","ALLERGEN EXTRACT - DIAGNOSTIC",12022,FALSE,"","","ALLERGEN EXTRACT - DIAGNOSTIC"
"692","BRETYLIUM TOSYLATE",5917,FALSE,"","","BRETYLIUM TOSYLATE"
"693","TITANIUM DIOXIDE",727,FALSE,"","","TITANIUM DIOXIDE"
"694","ACETAMINOPHEN",270,FALSE,"Y","ACETAMINOPHEN","ACETAMINOPHEN"
"695","ALDESLEUKIN",278,FALSE,"","","ALDESLEUKIN"
"696","BISACODYL",10193,FALSE,"","","BISACODYL"
"697","Alogliptin (Alogliptin benzoate)",22181,FALSE,"","","Alogliptin (Alogliptin benzoate)"
"698","SODIUM NITRITE",9134,FALSE,"","","SODIUM NITRITE"
"699","VITAMIN K1",4918,FALSE,"","","VITAMIN K1"
"700","OXALIPLATIN",20139,FALSE,"","","OXALIPLATIN"
"701","KETOPROFEN",2327,FALSE,"","","KETOPROFEN"
"702","CLOZAPINE",1196,FALSE,"Y","CLOZAPINE","CLOZAPINE"
"703","BRIVARACETAM",22702,FALSE,"","","BRIVARACETAM"
"704","SCOPOLAMINE HYDROBROMIDE",9011,FALSE,"","","SCOPOLAMINE HYDROBROMIDE"
"705","STREPTOZOCIN",8564,FALSE,"","","STREPTOZOCIN"
"706","SILICONE",6410,FALSE,"","","SILICONE"
"707","DORNASE ALFA",650,FALSE,"","","DORNASE ALFA"
"708","C1 Esterase Inhibitor (Human)",20597,FALSE,"","","C1 Esterase Inhibitor (Human)"
"709","FOSAMPRENAVIR (FOSAMPRENAVIR CALCIUM)",13372,FALSE,"","","FOSAMPRENAVIR (FOSAMPRENAVIR CALCIUM)"
"710","ATOVAQUONE",8317,FALSE,"","","ATOVAQUONE"
"711","VALSARTAN",11702,FALSE,"Y","VALSARTAN","VALSARTAN"
"712","IRINOTECAN HYDROCHLORIDE",11461,FALSE,"","","IRINOTECAN HYDROCHLORIDE"
"713","COPPER (COPPER SULFATE)",582,FALSE,"","","COPPER (COPPER SULFATE)"
"714","OXCARBAZEPINE",11984,FALSE,"","","OXCARBAZEPINE"
"715","PIRFENIDONE",21466,FALSE,"","","PIRFENIDONE"
"716","IODINE (ETHIODIZED OIL)",7218,FALSE,"","","IODINE (ETHIODIZED OIL)"
"717","SODIUM IODIDE",9240,FALSE,"","","SODIUM IODIDE"
"718","NIMODIPINE",1910,FALSE,"","","NIMODIPINE"
"719","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 52 L1 PROTEIN",22573,FALSE,"","","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 52 L1 PROTEIN"
"720","DERMATOPHAGOIDES PTERONYSSINUS",7661,FALSE,"","","DERMATOPHAGOIDES PTERONYSSINUS"
"721","ALMOTRIPTAN (ALMOTRIPTAN MALATE)",13247,FALSE,"","","ALMOTRIPTAN (ALMOTRIPTAN MALATE)"
"722","LOXAPINE (LOXAPINE HYDROCHLORIDE)",2189,FALSE,"","","LOXAPINE (LOXAPINE HYDROCHLORIDE)"
"723","Recombinant Neisseria meningitidis group B fHBP fusion protein",22178,FALSE,"","","Recombinant Neisseria meningitidis group B fHBP fusion protein"
"724","FELODIPINE",1249,FALSE,"Y","FELODIPINE","FELODIPINE"
"725","LEVOBUNOLOL HYDROCHLORIDE",1848,FALSE,"","","LEVOBUNOLOL HYDROCHLORIDE"
"726","MYCOPHENOLATE MOFETIL (MYCOPHENOLATE MOFETIL HYDROCHLORIDE)",118,FALSE,"","","MYCOPHENOLATE MOFETIL (MYCOPHENOLATE MOFETIL HYDROCHLORIDE)"
"727","PERTUSSIS TOXOID",20,FALSE,"","","PERTUSSIS TOXOID"
"728","DESMOPRESSIN ACETATE (DESMOPRESSIN ACETATE TRIHYDRATE)",2155,TRUE,"","","DESMOPRESSIN ACETATE (DESMOPRESSIN ACETATE TRIHYDRATE)"
"729","ADENINE",5028,FALSE,"","","ADENINE"
"730","LATANOPROST",11458,FALSE,"Y","LATANOPROST","LATANOPROST"
"731","TIMOLOL MALEATE",2292,FALSE,"Y","TIMOLOL","TIMOLOL"
"732","ETRAVIRINE",20195,FALSE,"","","ETRAVIRINE"
"733","TETRACAINE (TETRACAINE HYDROCHLORIDE)",2958,FALSE,"","","TETRACAINE (TETRACAINE HYDROCHLORIDE)"
"734","FOLIC ACID",4991,FALSE,"Y","FOLIC ACID","FOLIC ACID"
"735","TAMSULOSIN HYDROCHLORIDE",11780,FALSE,"Y","TAMSULOSIN","TAMSULOSIN"
"736","CETRORELIX (CETRORELIX ACETATE)",13224,FALSE,"","","CETRORELIX (CETRORELIX ACETATE)"
"737","DIDANOSINE",916,FALSE,"","","DIDANOSINE"
"738","SARILUMAB",22840,FALSE,"","","SARILUMAB"
"739","METHYLNALTREXONE BROMIDE",20208,FALSE,"","","METHYLNALTREXONE BROMIDE"
"740","PHENYTOIN",10209,FALSE,"Y","PHENYTOIN","PHENYTOIN (BASE)"
"741","ANTIHEMOPHILIC FACTOR (RECOMBINANT)",745,FALSE,"","","ANTIHEMOPHILIC FACTOR (RECOMBINANT)"
"742","ECULIZUMAB",20432,FALSE,"","","ECULIZUMAB"
"743","VITAMIN C",646,FALSE,"","","VITAMIN C"
"744","FLUDROCORTISONE 21-ACETATE",7526,FALSE,"","","FLUDROCORTISONE 21-ACETATE"
"745","ERLOTINIB (ERLOTINIB HYDROCHLORIDE)",12481,FALSE,"","","ERLOTINIB (ERLOTINIB HYDROCHLORIDE)"
"746","DIPIVEFRIN HYDROCHLORIDE",1239,FALSE,"","","DIPIVEFRIN HYDROCHLORIDE"
"747","PROCHLORPERAZINE (PROCHLORPERAZINE MALEATE)",7991,FALSE,"","","PROCHLORPERAZINE (PROCHLORPERAZINE MALEATE)"
"748","METHENAMINE MANDELATE",7068,FALSE,"","","METHENAMINE MANDELATE"
"749","VANCOMYCIN HYDROCHLORIDE",8540,FALSE,"","","VANCOMYCIN HYDROCHLORIDE"
"750","VENETOCLAX",22812,FALSE,"","","VENETOCLAX"
"751","AMYLMETACRESOL",7095,FALSE,"","","AMYLMETACRESOL"
"752","LOXAPINE (LOXAPINE SUCCINATE)",2189,FALSE,"","","LOXAPINE (LOXAPINE SUCCINATE)"
"753","Dienogest",21018,FALSE,"","","Dienogest"
"754","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 9N",20648,FALSE,"","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 9N"
"755","ENOXAPARIN SODIUM",763,FALSE,"","","ENOXAPARIN SODIUM"
"756","BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT",217,FALSE,"","","BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT"
"757","Axitinib",21398,FALSE,"","","Axitinib"
"758","VINBLASTINE SULFATE",9407,FALSE,"","","VINBLASTINE SULFATE"
"759","BACITRACIN ZINC",8500,FALSE,"","","BACITRACIN ZINC"
"760","LEVOCARNITINE",233,FALSE,"","","LEVOCARNITINE"
"761","MEGLUMINE IODIPAMIDE",9697,FALSE,"","","MEGLUMINE IODIPAMIDE"
"762","PANTOPRAZOLE (PANTOPRAZOLE SODIUM)",11086,FALSE,"Y","PANTOPRAZOLE","PANTOPRAZOLE"
"763","DICHLOROBENZYL ALCOHOL",7097,FALSE,"","","DICHLOROBENZYL ALCOHOL"
"764","VALGANCICLOVIR (VALGANCICLOVIR HYDROCHLORIDE)",12759,FALSE,"","","VALGANCICLOVIR (VALGANCICLOVIR HYDROCHLORIDE)"
"765","NEDOCROMIL SODIUM",1324,FALSE,"","","NEDOCROMIL SODIUM"
"766","CLORAZEPATE DIPOTASSIUM",2495,FALSE,"","","CLORAZEPATE DIPOTASSIUM"
"767","Hexaminolevulinate hydrochloride",22564,FALSE,"","","Hexaminolevulinate hydrochloride"
"768","INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 1 MAHONEY",129,FALSE,"","","INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 1 MAHONEY"
"769","BELLADONNA",672,FALSE,"","","BELLADONNA"
"770","TRIMETHOPRIM (TRIMETHOPRIM SULFATE)",8452,FALSE,"Y","TRIMETHOPRIM","TRIMETHOPRIM"
"771","LEVODOPA",4068,FALSE,"Y","LEVODOPA","LEVODOPA"
"772","ZANAMIVIR",11911,FALSE,"","","ZANAMIVIR"
"773","PROPYLTHIOURACIL",9439,FALSE,"","","PROPYLTHIOURACIL"
"774","ARGININE",10242,FALSE,"","","ARGININE"
"775","CASPOFUNGIN (CASPOFUNGIN ACETATE)",12330,FALSE,"","","CASPOFUNGIN (CASPOFUNGIN ACETATE)"
"776","MYROXYLON BALSAMUM",11977,FALSE,"","","MYROXYLON BALSAMUM"
"777","HAEMAGGLUTININ-STRAIN B",742,FALSE,"","","HAEMAGGLUTININ-STRAIN B"
"778","ISOTRETINOIN",5044,FALSE,"","","ISOTRETINOIN"
"779","ARSENIC TRIOXIDE",3812,FALSE,"","","ARSENIC TRIOXIDE"
"780","L-LEUCINE",943,FALSE,"","","L-LEUCINE"
"781","PANCURONIUM BROMIDE",2497,FALSE,"","","PANCURONIUM BROMIDE"
"782","CHLORHEXIDINE ACETATE",5280,FALSE,"Y","CHLORHEXIDINE","CHLORHEXIDINE"
"783","CAFFEINE",9358,FALSE,"Y","CAFFEINE","CAFFEINE"
"784","CLAVULANIC ACID (POTASSIUM CLAVULANATE)",11247,FALSE,"Y","CLAVULANIC ACID","CLAVULANIC ACID"
"785","LOVASTATIN",1290,FALSE,"","","LOVASTATIN"
"786","L-ALANINE",2959,FALSE,"","","L-ALANINE"
"787","ZINC (ZINC SULFATE)",331,FALSE,"","","ZINC (ZINC SULFATE)"
"788","ANTIPYRINE",8859,FALSE,"","","ANTIPYRINE"
"789","PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE",11733,TRUE,"Y","PRAMIPEXOLE","PRAMIPEXOLE"
"790","CARBIDOPA (CARBIDOPA MONOHYDRATE)",2370,TRUE,"Y","CARBIDOPA","CARBIDOPA"
"791","HYDROCHLOROTHIAZIDE",10234,FALSE,"Y","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE"
"792","EDOXABAN (EDOXABAN TOSYLATE)",22816,FALSE,"","","EDOXABAN (EDOXABAN TOSYLATE)"
"793","GRAZOPREVIR",22679,FALSE,"","","GRAZOPREVIR"
"794","VORICONAZOLE",13348,FALSE,"","","VORICONAZOLE"
"795","CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)",93,FALSE,"Y","CIPROFLOXACIN","CIPROFLOXACIN"
"796","IDURSULFASE",20141,FALSE,"","","IDURSULFASE"
"797","VITAMIN C (CALCIUM ASCORBATE)",646,FALSE,"","","VITAMIN C (CALCIUM ASCORBATE)"
"798","AMBRISENTAN",13310,FALSE,"","","AMBRISENTAN"
"799","TOCILIZUMAB",20590,FALSE,"","","TOCILIZUMAB"
"800","Sinecatechins",22143,FALSE,"","","Sinecatechins"
"801","TERBINAFINE (TERBINAFINE HYDROCHLORIDE)",11385,FALSE,"Y","TERBINAFINE","TERBINAFINE"
"802","Obinutuzumab",22546,FALSE,"","","Obinutuzumab"
"803","DEXTROSE ANHYDROUS",20521,FALSE,"","","DEXTROSE ANHYDROUS"
"804","CYCLOSPORINE",1915,FALSE,"","","CYCLOSPORINE"
"805","Idelalisib",22590,FALSE,"","","Idelalisib"
"806","VITAMIN A (RETINOL PALMITATE)",704,FALSE,"","","VITAMIN A (RETINOL PALMITATE)"
"807","LEUCOVORIN (LEUCOVORIN CALCIUM)",11389,FALSE,"","","LEUCOVORIN (LEUCOVORIN CALCIUM)"
"808","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP A",19042,FALSE,"","","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP A"
"809","Catridecacog",21399,FALSE,"","","Catridecacog"
"810","MEXILETINE HYDROCHLORIDE",1901,FALSE,NA,NA,NA
"811","ORPHENADRINE CITRATE",10058,FALSE,"","","ORPHENADRINE CITRATE"
"812","PINDOLOL",2144,FALSE,"","","PINDOLOL"
"813","DEQUALINIUM CHLORIDE",5913,FALSE,"","","DEQUALINIUM CHLORIDE"
"814","SELENIUM (SELENIUM HVP CHELATE)",2295,FALSE,"","","SELENIUM (SELENIUM HVP CHELATE)"
"815","PENTAZOCINE (PENTAZOCINE LACTATE)",9401,FALSE,"","","PENTAZOCINE (PENTAZOCINE LACTATE)"
"816","FLUCONAZOLE",1204,FALSE,"","","FLUCONAZOLE"
