"route_of_administration_code","pharm_form_code","route_of_administration","pharmaceutical_form","n_human_din","n_any_ccdd","n_all_ccdd","n_tm","ntp_dosage_form_code","ntp_dosage_form","route_of_administration_f","pharmaceutical_form_f"
"57","114","OTIC","GEL",NA,NA,NA,NA,40087,"otic gel","Otique","Gel"
"29","2","INHALATION","AEROSOL",NA,NA,NA,NA,40026,"powder for nebuliser solution","Inhalation","Aérosol"
"29","88","INHALATION","TINCTURE",NA,NA,NA,NA,40027,"inhalation solution","Inhalation","Teinture"
"12","34","INTRA-ARTERIAL","LIQUID",NA,NA,NA,NA,40001,"solution for injection",NA,"Liquide"
"12","56","INTRA-ARTERIAL","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection",NA,"Poudre pour solution"
"12","134","INTRA-ARTERIAL","SOLUTION",NA,NA,NA,NA,40001,"solution for injection",NA,"Solution"
"12-17-22-49-50","19","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection",NA,"Émulsion"
"12-17-22-49-50","34","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","LIQUID",NA,NA,NA,NA,40001,"solution for injection",NA,"Liquide"
"12-17-22-49-50","55","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection",NA,"Poudre"
"12-17-22-49-50","56","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection",NA,"Poudre pour solution"
"12-17-22-49-50","126","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","POWDER FOR SUSPENSION",NA,NA,NA,NA,40016,"powder for suspension for injection",NA,"Poudre pour suspension"
"12-17-22-49-50","118","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection",NA,"Poudre pour suspension, à libération prolongée"
"12-17-22-49-50","134","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","SOLUTION",NA,NA,NA,NA,40001,"solution for injection",NA,"Solution"
"12-17-22-49-50","79","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","SUSPENSION",NA,NA,NA,NA,40019,"suspension for injection",NA,"Suspension"
"12-17-22-49-50","143","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection",NA,"Suspension (à libération prolongée)"
"12-22-31-49","34","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","LIQUID",NA,NA,NA,NA,40001,"solution for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","Liquide"
"12-22-31-49","56","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","Poudre pour solution"
"12-22-31-49","19","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","Émulsion"
"12-22-31-49","55","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","Poudre"
"12-22-31-49","126","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","POWDER FOR SUSPENSION",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","Poudre pour suspension"
"12-22-31-49","118","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","Poudre pour suspension, à libération prolongée"
"12-22-31-49","79","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","SUSPENSION",NA,NA,NA,NA,40019,"suspension for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","Suspension"
"12-22-31-49","143","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","Suspension (à libération prolongée)"
"12-22-31-49-50","19","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","Émulsion"
"12-22-31-49-50","34","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","LIQUID",NA,NA,NA,NA,40001,"solution for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","Liquide"
"12-22-31-49-50","55","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","Poudre"
"12-22-31-49-50","56","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","Poudre pour solution"
"12-22-31-49-50","126","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","POWDER FOR SUSPENSION",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","Poudre pour suspension"
"12-22-31-49-50","118","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","Poudre pour suspension, à libération prolongée"
"12-22-31-49-50","79","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","SUSPENSION",NA,NA,NA,NA,40019,"suspension for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","Suspension"
"12-22-31-49-50","143","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","Suspension (à libération prolongée)"
"12-22-49","19","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection","Intra-artérielle, Intramusculaire, Intraveineuse","Émulsion"
"12-22-49","34","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","LIQUID",NA,NA,NA,NA,40001,"solution for injection","Intra-artérielle, Intramusculaire, Intraveineuse","Liquide"
"12-22-49","55","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-artérielle, Intramusculaire, Intraveineuse","Poudre"
"12-22-49","56","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection","Intra-artérielle, Intramusculaire, Intraveineuse","Poudre pour solution"
"12-22-49","126","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","POWDER FOR SUSPENSION",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-artérielle, Intramusculaire, Intraveineuse","Poudre pour suspension"
"12-22-49","118","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection","Intra-artérielle, Intramusculaire, Intraveineuse","Poudre pour suspension, à libération prolongée"
"12-22-49","79","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","SUSPENSION",NA,NA,NA,NA,40019,"suspension for injection","Intra-artérielle, Intramusculaire, Intraveineuse","Suspension"
"12-22-49","143","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection","Intra-artérielle, Intramusculaire, Intraveineuse","Suspension (à libération prolongée)"
"12-49","56","INTRA-ARTERIAL, INTRAVENOUS","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection","Intra-artérielle, Intraveineuse","Poudre pour solution"
"10","34","INTRA-ARTICULAR","LIQUID",NA,NA,NA,NA,40001,"solution for injection","Intra-articulaire","Liquide"
"10","134","INTRA-ARTICULAR","SOLUTION",NA,NA,NA,NA,40001,"solution for injection","Intra-articulaire","Solution"
"10-13","79","INTRA-ARTICULAR, INTRABURSAL","SUSPENSION",NA,NA,NA,NA,40019,"suspension for injection","Intra-articulaire, Intrabursique","Suspension"
"10-13-19-22","19","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","Émulsion"
"10-13-19-22","34","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","LIQUID",NA,NA,NA,NA,40001,"solution for injection","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","Liquide"
"10-13-19-22","55","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","Poudre"
"10-13-19-22","56","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","Poudre pour solution"
"10-13-19-22","118","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","Poudre pour suspension, à libération prolongée"
"10-13-19-22","134","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","SOLUTION",NA,NA,NA,NA,40001,"solution for injection","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","Solution"
"10-13-19-22","143","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","Suspension (à libération prolongée)"
"10-13-19-42","34","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","LIQUID",NA,NA,NA,NA,40001,"solution for injection","Intra-articulaire, Intrabursique, Intradermique, Intrasynoviale","Liquide"
"10-13-19-42","56","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection","Intra-articulaire, Intrabursique, Intradermique, Intrasynoviale","Poudre pour solution"
"10-13-19-42","134","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","SOLUTION",NA,NA,NA,NA,40001,"solution for injection","Intra-articulaire, Intrabursique, Intradermique, Intrasynoviale","Solution"
"10-13-22","19","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection","Intra-articulaire, Intrabursique, Intramusculaire","Émulsion"
"10-13-22","55","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-articulaire, Intrabursique, Intramusculaire","Poudre"
"10-13-22","56","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection","Intra-articulaire, Intrabursique, Intramusculaire","Poudre pour solution"
"10-13-22","126","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","POWDER FOR SUSPENSION",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-articulaire, Intrabursique, Intramusculaire","Poudre pour suspension"
"10-13-22","118","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection","Intra-articulaire, Intrabursique, Intramusculaire","Poudre pour suspension, à libération prolongée"
"10-13-22","134","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","SOLUTION",NA,NA,NA,NA,40001,"solution for injection","Intra-articulaire, Intrabursique, Intramusculaire","Solution"
"10-13-22","143","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection","Intra-articulaire, Intrabursique, Intramusculaire","Suspension (à libération prolongée)"
"10-19-21-22","19","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection",NA,"Émulsion"
"10-19-21-22","34","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","LIQUID",NA,NA,NA,NA,40001,"solution for injection",NA,"Liquide"
"10-19-21-22","55","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection",NA,"Poudre"
"10-19-21-22","56","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection",NA,"Poudre pour solution"
"10-19-21-22","126","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","POWDER FOR SUSPENSION",NA,NA,NA,NA,40016,"powder for suspension for injection",NA,"Poudre pour suspension"
"10-19-21-22","118","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection",NA,"Poudre pour suspension, à libération prolongée"
"10-19-21-22","134","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","SOLUTION",NA,NA,NA,NA,40001,"solution for injection",NA,"Solution"
"10-19-21-22","143","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection",NA,"Suspension (à libération prolongée)"
"10-21-22","134","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","SOLUTION",NA,NA,NA,NA,40001,"solution for injection",NA,"Solution"
"10-21-22","19","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection",NA,"Émulsion"
"10-21-22","34","INTRA-ARTICULAR,  INTRALESIONAL, INTRAMUSCULAR","LIQUID",NA,NA,NA,NA,40001,"solution for injection",NA,"Liquide"
"10-21-22","55","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection",NA,"Poudre"
"10-21-22","56","INTRA-ARTICULAR,  INTRALESIONAL, INTRAMUSCULAR","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection",NA,"Poudre pour solution"
"10-21-22","126","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","POWDER FOR SUSPENSION",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-articulaire, Intralésionnelle, Intramusculaire","Poudre pour suspension"
"10-21-22","118","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection","Intra-articulaire, Intralésionnelle, Intramusculaire","Poudre pour suspension, à libération prolongée"
"10-21-22","143","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection","Intra-articulaire, Intralésionnelle, Intramusculaire","Suspension (à libération prolongée)"
"10-21-22-42","19","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection",NA,"Émulsion"
"10-21-22-42","34","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","LIQUID",NA,NA,NA,NA,40001,"solution for injection",NA,"Liquide"
"10-21-22-42","55","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection",NA,"Poudre"
"10-21-22-42","56","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection",NA,"Poudre pour solution"
"10-21-22-42","126","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","POWDER FOR SUSPENSION",NA,NA,NA,NA,40016,"powder for suspension for injection",NA,"Poudre pour suspension"
"10-21-22-42","118","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection",NA,"Poudre pour suspension, à libération prolongée"
"10-21-22-42","134","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","SOLUTION",NA,NA,NA,NA,40001,"solution for injection",NA,"Solution"
"10-21-22-42","79","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","SUSPENSION",NA,NA,NA,NA,40019,"suspension for injection",NA,"Suspension"
"10-21-22-42","143","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection",NA,"Suspension (à libération prolongée)"
"10-21-22-49-63","19","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection",NA,"Émulsion"
"10-21-22-49-63","55","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection",NA,"Poudre"
"10-21-22-49-63","56","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection",NA,"Poudre pour solution"
"10-21-22-49-63","126","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","POWDER FOR SUSPENSION",NA,NA,NA,NA,40016,"powder for suspension for injection",NA,"Poudre pour suspension"
"10-21-22-49-63","118","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection",NA,"Poudre pour suspension, à libération prolongée"
"10-21-22-49-63","134","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","SOLUTION",NA,NA,NA,NA,40001,"solution for injection",NA,"Solution"
"10-21-22-49-63","79","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","SUSPENSION",NA,NA,NA,NA,40019,"suspension for injection",NA,"Suspension"
"10-21-22-49-63","143","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection",NA,"Suspension (à libération prolongée)"
"10-22","34","INTRA-ARTICULAR, INTRAMUSCULAR","LIQUID",NA,NA,NA,NA,40001,"solution for injection","Intra-articulaire, Intramusculaire","Liquide"
"10-22","19","INTRA-ARTICULAR, INTRAMUSCULAR","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection","Intra-articulaire, Intramusculaire","Émulsion"
"10-22","55","INTRA-ARTICULAR, INTRAMUSCULAR","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-articulaire, Intramusculaire","Poudre"
"10-22","56","INTRA-ARTICULAR, INTRAMUSCULAR","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection","Intra-articulaire, Intramusculaire","Poudre pour solution"
"10-22","126","INTRA-ARTICULAR, INTRAMUSCULAR","POWDER FOR SUSPENSION",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-articulaire, Intramusculaire","Poudre pour suspension"
"10-22","118","INTRA-ARTICULAR, INTRAMUSCULAR","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection","Intra-articulaire, Intramusculaire","Poudre pour suspension, à libération prolongée"
"10-22","134","INTRA-ARTICULAR, INTRAMUSCULAR","SOLUTION",NA,NA,NA,NA,40001,"solution for injection","Intra-articulaire, Intramusculaire","Solution"
"10-22","143","INTRA-ARTICULAR, INTRAMUSCULAR","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection","Intra-articulaire, Intramusculaire","Suspension (à libération prolongée)"
"10-22-42-63","19","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","Émulsion"
"10-22-42-63","34","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","LIQUID",NA,NA,NA,NA,40001,"solution for injection","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","Liquide"
"10-22-42-63","55","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","Poudre"
"10-22-42-63","56","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","Poudre pour solution"
"10-22-42-63","126","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","POWDER FOR SUSPENSION",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","Poudre pour suspension"
"10-22-42-63","118","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","Poudre pour suspension, à libération prolongée"
"10-22-42-63","134","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","SOLUTION",NA,NA,NA,NA,40001,"solution for injection","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","Solution"
"10-22-42-63","143","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","Suspension (à libération prolongée)"
"10-22-49","19","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection","Intra-articulaire, Intramusculaire, Intraveineuse","Émulsion"
"10-22-49","55","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-articulaire, Intramusculaire, Intraveineuse","Poudre"
"10-22-49","56","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection","Intra-articulaire, Intramusculaire, Intraveineuse","Poudre pour solution"
"10-22-49","126","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","POWDER FOR SUSPENSION",NA,NA,NA,NA,40016,"powder for suspension for injection","Intra-articulaire, Intramusculaire, Intraveineuse","Poudre pour suspension"
"10-22-49","118","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection","Intra-articulaire, Intramusculaire, Intraveineuse","Poudre pour suspension, à libération prolongée"
"10-22-49","79","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","SUSPENSION",NA,NA,NA,NA,40019,"suspension for injection","Intra-articulaire, Intramusculaire, Intraveineuse","Suspension"
"10-22-49","143","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection","Intra-articulaire, Intramusculaire, Intraveineuse","Suspension (à libération prolongée)"
"10-13-22","34","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","LIQUID",NA,NA,NA,NA,40001,"solution for injection",NA,"Liquide"
"13","134","INTRABURSAL","SOLUTION",NA,NA,NA,NA,40001,"solution for injection",NA,"Solution"
"13","79","INTRABURSAL","SUSPENSION",NA,NA,NA,NA,40019,"suspension for injection",NA,"Suspension"
