"","Active Ingredient","ACTIVE_INGREDIENT_CODE","n_names","ingredient_names","basis_of_strength_ing","precise_ing","AI UNII","AM UNII","Active Moiety","Basis of Strength","RD UNII","Referenced Drug"
"883","LEVOMEFOLATE CALCIUM","21354",1,"Levomefolate Calcium","Levomefolate Calcium","Levomefolate Calcium","A9R10K3F2F","8S95DH25XC","LEVOMEFOLIC ACID","Active Ingredient","",""
"884","LEVOMILNACIPRAN","22602",1,"LEVOMILNACIPRAN (LEVOMILNACIPRAN HYDROCHLORIDE)","LEVOMILNACIPRAN","LEVOMILNACIPRAN HYDROCHLORIDE","UGM0326TXX","UGM0326TXX","LEVOMILNACIPRAN","Active Ingredient","",""
"885","LEVONORGESTREL","7490",1,"LEVONORGESTREL","LEVONORGESTREL","LEVONORGESTREL","5W7SIA7YZW","5W7SIA7YZW","LEVONORGESTREL","Active Ingredient","",""
"886","LEVOTHYROXINE SODIUM","5325",1,"LEVOTHYROXINE SODIUM","LEVOTHYROXINE SODIUM","LEVOTHYROXINE SODIUM","9J765S329G","Q51BO43MG4","LEVOTHYROXINE","Reference Drug","054I36CPMN","LEVOTHYROXINE SODIUM ANHYDROUS"
"887","LIDOCAINE","9471",2,"LIDOCAINE|LIDOCAINE (LIDOCAINE HYDROCHLORIDE)","LIDOCAINE","LIDOCAINE HYDROCHLORIDE","98PI200987","98PI200987","LIDOCAINE","Active Ingredient","",""
"888","LIDOCAINE HYDROCHLORIDE","10225",2,"LIDOCAINE HYDROCHLORIDE|LIDOCAINE HYDROCHLORIDE (LIDOCAINE HYDROCHLORIDE MONOHYDRATE)","LIDOCAINE HYDROCHLORIDE","LIDOCAINE HYDROCHLORIDE MONOHYDRATE","V13007Z41A","98PI200987","LIDOCAINE","Reference Drug","EC2CNF7XFP","LIDOCAINE HYDROCHLORIDE ANHYDROUS"
"889","LINACLOTIDE","22180",1,"Linaclotide","Linaclotide","Linaclotide","N0TXR0XR5X","N0TXR0XR5X","LINACLOTIDE","Active Ingredient","",""
"890","LINAGLIPTIN","20882",1,"Linagliptin","Linagliptin","Linagliptin","3X29ZEJ4R2","3X29ZEJ4R2","LINAGLIPTIN","Active Ingredient","",""
"891","LINCOMYCIN","8553",1,"LINCOMYCIN (LINCOMYCIN HYDROCHLORIDE)","LINCOMYCIN","LINCOMYCIN HYDROCHLORIDE","BOD072YW0F","BOD072YW0F","LINCOMYCIN","Active Ingredient","",""
"892","LINEZOLID","12110",1,"LINEZOLID","LINEZOLID","LINEZOLID","ISQ9I6J12J","ISQ9I6J12J","LINEZOLID","Active Ingredient","",""
"893","LIOTHYRONINE","9954",1,"LIOTHYRONINE (LIOTHYRONINE SODIUM)","LIOTHYRONINE","LIOTHYRONINE SODIUM","06LU7C9H1V","06LU7C9H1V","LIOTHYRONINE","Active Ingredient","",""
"894","LIPASE","649",1,"LIPASE","LIPASE","LIPASE",NA,NA,NA,NA,NA,NA
"895","LIRAGLUTIDE","20592",1,"LIRAGLUTIDE","LIRAGLUTIDE","LIRAGLUTIDE","839I73S42A","839I73S42A","LIRAGLUTIDE","Active Ingredient","",""
"896","LISDEXAMFETAMINE DIMESYLATE","20437",1,"LISDEXAMFETAMINE DIMESYLATE","LISDEXAMFETAMINE DIMESYLATE","LISDEXAMFETAMINE DIMESYLATE","SJT761GEGS","H645GUL8KJ","LISDEXAMFETAMINE","Active Ingredient","",""
"897","LISINOPRIL","1253",2,"LISINOPRIL|LISINOPRIL (LISINOPRIL DIHYDRATE)","LISINOPRIL","LISINOPRIL DIHYDRATE","E7199S1YWR","7Q3P4BS2FD","LISINOPRIL ANHYDROUS","Active Ingredient","",""
"898","LITHIUM","1399",1,"LITHIUM (LITHIUM CITRATE)","LITHIUM","LITHIUM CITRATE","9FN79X2M3F","8H8Z5UER66","LITHIUM CATION","","",""
"899","LITHIUM CARBONATE","10227",1,"LITHIUM CARBONATE","LITHIUM CARBONATE","LITHIUM CARBONATE","2BMD2GNA4V","8H8Z5UER66","LITHIUM CATION","Active Ingredient","",""
"900","LODOXAMIDE","11177",1,"LODOXAMIDE (LODOXAMIDE TROMETHAMINE)","LODOXAMIDE","LODOXAMIDE TROMETHAMINE","SPU695OD73","SPU695OD73","LODOXAMIDE","Active Ingredient","",""
"901","LOMITAPIDE","22241",1,"Lomitapide (Lomitapide Mesylate)","Lomitapide","Lomitapide Mesylate","82KUB0583F","82KUB0583F","LOMITAPIDE","Active Ingredient","",""
"902","LOMUSTINE","2275",1,"LOMUSTINE","LOMUSTINE","LOMUSTINE","7BRF0Z81KG","7BRF0Z81KG","LOMUSTINE","Active Ingredient","",""
"903","LOPERAMIDE HYDROCHLORIDE","2251",1,"LOPERAMIDE HYDROCHLORIDE","LOPERAMIDE HYDROCHLORIDE","LOPERAMIDE HYDROCHLORIDE","77TI35393C","6X9OC3H4II","LOPERAMIDE","Active Ingredient","",""
"904","LOPINAVIR","12093",1,"LOPINAVIR","LOPINAVIR","LOPINAVIR","2494G1JF75","2494G1JF75","LOPINAVIR","Active Ingredient","",""
"905","LORATADINE","1299",1,"LORATADINE","LORATADINE","LORATADINE","7AJO3BO7QN","7AJO3BO7QN","LORATADINE","Active Ingredient","",""
"906","LORAZEPAM","2300",1,"LORAZEPAM","LORAZEPAM","LORAZEPAM","O26FZP769L","O26FZP769L","LORAZEPAM","Active Ingredient","",""
"907","LOSARTAN POTASSIUM","144",1,"LOSARTAN POTASSIUM","LOSARTAN POTASSIUM","LOSARTAN POTASSIUM","3ST302B24A","JMS50MPO89","LOSARTAN","Active Ingredient","",""
"908","LOTEPREDNOL ETABONATE","20429",1,"LOTEPREDNOL ETABONATE","LOTEPREDNOL ETABONATE","LOTEPREDNOL ETABONATE","YEH1EZ96K6","Z8CBU6KR16","LOTEPREDNOL","Active Ingredient","",""
"909","LOVASTATIN","1290",1,"LOVASTATIN","LOVASTATIN","LOVASTATIN","9LHU78OQFD","9LHU78OQFD","LOVASTATIN","Active Ingredient","",""
"910","LOXAPINE","2189",2,"LOXAPINE (LOXAPINE HYDROCHLORIDE)|LOXAPINE (LOXAPINE SUCCINATE)","LOXAPINE","LOXAPINE HYDROCHLORIDE|LOXAPINE SUCCINATE","LER583670J","LER583670J","LOXAPINE","Active Ingredient","",""
"911","LUMACAFTOR","22685",1,"LUMACAFTOR","LUMACAFTOR","LUMACAFTOR","EGP8L81APK","EGP8L81APK","LUMACAFTOR","Active Ingredient","",""
"912","LURASIDONE HYDROCHLORIDE","21372",1,"Lurasidone Hydrochloride","Lurasidone Hydrochloride","Lurasidone Hydrochloride","O0P4I5851I","22IC88528T","LURASIDONE","Active Ingredient","",""
"913","LUTROPIN ALFA","15875",1,"LUTROPIN ALFA","LUTROPIN ALFA","LUTROPIN ALFA","3JGY52XJNA","3JGY52XJNA","LUTROPIN ALFA","Active Ingredient","",""
"914","LYMPHOCYTE IMMUNE GLOBULIN ANTI-THYMOCYTE GLOBULIN","7645",1,"LYMPHOCYTE IMMUNE GLOBULIN ANTI-THYMOCYTE GLOBULIN (EQUINE)","LYMPHOCYTE IMMUNE GLOBULIN ANTI-THYMOCYTE GLOBULIN","EQUINE",NA,NA,NA,NA,NA,NA
"915","LYSINE","9806",4,"LYSINE (L-LYSINE ACETATE)|LYSINE (L-LYSINE HYDROCHLORIDE)|LYSINE (LYSINE ACETATE)|LYSINE (LYSINE MONOHYDROCHLORIDE)","LYSINE","L-LYSINE ACETATE|L-LYSINE HYDROCHLORIDE|LYSINE ACETATE|LYSINE MONOHYDROCHLORIDE","K3Z4F929H6","K3Z4F929H6","LYSINE","Active Ingredient","",""
"916","MACITENTAN","22162",1,"MACITENTAN","MACITENTAN","MACITENTAN","Z9K9Y9WMVL","Z9K9Y9WMVL","MACITENTAN","Active Ingredient","",""
"917","MACROGOL","13418",1,"MACROGOL","MACROGOL","MACROGOL",NA,NA,NA,NA,NA,NA
"918","MAGNESIUM","6487",1,"MAGNESIUM (MAGNESIUM OXIDE)","MAGNESIUM","MAGNESIUM OXIDE","I38ZP9992A","I38ZP9992A","MAGNESIUM","Active Ingredient","",""
"919","MAGNESIUM ACETATE","5253",1,"MAGNESIUM ACETATE","MAGNESIUM ACETATE","MAGNESIUM ACETATE","0E95JZY48K","T6V3LHY838","MAGNESIUM CATION","Active Ingredient","",""
"920","MAGNESIUM CHLORIDE","49",1,"MAGNESIUM CHLORIDE","MAGNESIUM CHLORIDE","MAGNESIUM CHLORIDE","02F3473H9O","T6V3LHY838","MAGNESIUM CATION","Active Ingredient","",""
"921","MAGNESIUM CHLORIDE","49",1,"MAGNESIUM CHLORIDE","MAGNESIUM CHLORIDE","MAGNESIUM CHLORIDE","02F3473H9O","T6V3LHY838","MAGNESIUM CATION","Active Moiety","",""
"922","MAGNESIUM CHLORIDE","49",1,"MAGNESIUM CHLORIDE","MAGNESIUM CHLORIDE","MAGNESIUM CHLORIDE","02F3473H9O","Q32ZN48698","CHLORIDE ION","Active Ingredient","",""
"923","MAGNESIUM HYDROXIDE","720",2,"MAGNESIUM HYDROXIDE|MAGNESIUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)","MAGNESIUM HYDROXIDE","DRIED ALUMINUM HYDROXIDE GEL","NBZ3QY004S","T6V3LHY838","MAGNESIUM CATION","Active Ingredient","",""
"924","MAGNESIUM HYDROXIDE","720",2,"MAGNESIUM HYDROXIDE|MAGNESIUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)","MAGNESIUM HYDROXIDE","DRIED ALUMINUM HYDROXIDE GEL","NBZ3QY004S","9159UV381P","HYDROXIDE ION","Active Ingredient","",""
"925","MAGNESIUM OXIDE","778",1,"MAGNESIUM OXIDE","MAGNESIUM OXIDE","MAGNESIUM OXIDE","3A3U0GI71G","T6V3LHY838","MAGNESIUM CATION","Active Moiety","",""
"926","MAGNESIUM OXIDE","778",1,"MAGNESIUM OXIDE","MAGNESIUM OXIDE","MAGNESIUM OXIDE","3A3U0GI71G","T6V3LHY838","MAGNESIUM CATION","Active Ingredient","",""
"927","MAGNESIUM SULFATE","8750",1,"MAGNESIUM SULFATE","MAGNESIUM SULFATE","MAGNESIUM SULFATE","DE08037SAB","T6V3LHY838","MAGNESIUM CATION","Active Ingredient","",""
"928","MANGANESE","10194",2,"MANGANESE (MANGANESE GLUCONATE)|MANGANESE (MANGANESE SULFATE)","MANGANESE","MANGANESE GLUCONATE|MANGANESE SULFATE","42Z2K6ZL8P","42Z2K6ZL8P","MANGANESE","Active Ingredient","",""
"929","MANGANESE CHLORIDE","9229",1,"MANGANESE CHLORIDE","MANGANESE CHLORIDE","MANGANESE CHLORIDE","QQE170PANO","H6EP7W5457","MANGANESE CATION (2+)","Active Moiety","",""
"930","MANNITOL","9547",1,"MANNITOL","MANNITOL","MANNITOL","3OWL53L36A","3OWL53L36A","MANNITOL","Active Ingredient","",""
"931","MAPROTILINE HYDROCHLORIDE","2274",1,"MAPROTILINE HYDROCHLORIDE","MAPROTILINE HYDROCHLORIDE","MAPROTILINE HYDROCHLORIDE","7C8J54PVFI","2U1W68TROF","MAPROTILINE","Active Ingredient","",""
"932","MARAVIROC","20160",1,"MARAVIROC","MARAVIROC","MARAVIROC","MD6P741W8A","MD6P741W8A","MARAVIROC","Active Ingredient","",""
"933","MEASLES VIRUS VACCINE LIVE ATTENUATED","7908",1,"MEASLES VIRUS VACCINE LIVE ATTENUATED","MEASLES VIRUS VACCINE LIVE ATTENUATED","MEASLES VIRUS VACCINE LIVE ATTENUATED",NA,NA,NA,NA,NA,NA
"934","MEASLES VIRUS VACCINE LIVE ATTENUATED","21537",1,"MEASLES VIRUS VACCINE LIVE ATTENUATED (EDMONSTON B STRAIN)","MEASLES VIRUS VACCINE LIVE ATTENUATED","EDMONSTON B STRAIN",NA,NA,NA,NA,NA,NA
"935","MEBENDAZOLE","2434",1,"MEBENDAZOLE","MEBENDAZOLE","MEBENDAZOLE","81G6I5V05I","81G6I5V05I","MEBENDAZOLE","Active Ingredient","",""
"936","MEDIUM CHAIN TRIGLYCERIDES","11369",1,"MEDIUM CHAIN TRIGLYCERIDES (MCT)","MEDIUM CHAIN TRIGLYCERIDES","MCT",NA,NA,NA,NA,NA,NA
"937","MEDROXYPROGESTERONE ACETATE","7538",1,"MEDROXYPROGESTERONE ACETATE","MEDROXYPROGESTERONE ACETATE","MEDROXYPROGESTERONE ACETATE","C2QI4IOI2G","HSU1C9YRES","MEDROXYPROGESTERONE","Active Ingredient","",""
"938","MEFENAMIC ACID","10002",1,"MEFENAMIC ACID","MEFENAMIC ACID","MEFENAMIC ACID","367589PJ2C","367589PJ2C","MEFENAMIC ACID","Active Ingredient","",""
"939","MEFLOQUINE","11386",1,"MEFLOQUINE (MEFLOQUINE HYDROCHLORIDE)","MEFLOQUINE","MEFLOQUINE HYDROCHLORIDE","TML814419R","TML814419R","MEFLOQUINE","Active Ingredient","",""
"940","MEGESTROL ACETATE","7534",1,"MEGESTROL ACETATE","MEGESTROL ACETATE","MEGESTROL ACETATE","TJ2M0FR8ES","EA6LD1M70M","MEGESTROL","Active Ingredient","",""
"941","MEGLUMINE IODIPAMIDE","9697",1,"MEGLUMINE IODIPAMIDE","MEGLUMINE IODIPAMIDE","MEGLUMINE IODIPAMIDE",NA,NA,NA,NA,NA,NA
"942","MEGLUMINE IOXITALAMATE","271",1,"MEGLUMINE IOXITALAMATE","MEGLUMINE IOXITALAMATE","MEGLUMINE IOXITALAMATE",NA,NA,NA,NA,NA,NA
"943","MELOXICAM","11764",1,"MELOXICAM","MELOXICAM","MELOXICAM","VG2QF83CGL","VG2QF83CGL","MELOXICAM","Active Ingredient","",""
"944","MELPHALAN","9872",2,"MELPHALAN|MELPHALAN (MELPHALAN HYDROCHLORIDE)","MELPHALAN","MELPHALAN HYDROCHLORIDE","Q41OR9510P","Q41OR9510P","MELPHALAN","Active Ingredient","",""
"945","MEMANTINE HYDROCHLORIDE","13366",1,"MEMANTINE HYDROCHLORIDE","MEMANTINE HYDROCHLORIDE","MEMANTINE HYDROCHLORIDE","JY0WD0UA60","W8O17SJF3T","MEMANTINE","Active Ingredient","",""
"946","MENINGOCOCCAL GROUP A OLIGOSACCHARIDE","20580",1,"MENINGOCOCCAL GROUP A OLIGOSACCHARIDE","MENINGOCOCCAL GROUP A OLIGOSACCHARIDE","MENINGOCOCCAL GROUP A OLIGOSACCHARIDE",NA,NA,NA,NA,NA,NA
"947","MENINGOCOCCAL GROUP C OLIGOSACCHARIDE","12152",1,"MENINGOCOCCAL GROUP C OLIGOSACCHARIDE","MENINGOCOCCAL GROUP C OLIGOSACCHARIDE","MENINGOCOCCAL GROUP C OLIGOSACCHARIDE",NA,NA,NA,NA,NA,NA
"948","MENINGOCOCCAL GROUP W-135 OLIGOSACCHARIDE","20582",1,"MENINGOCOCCAL GROUP W-135 OLIGOSACCHARIDE","MENINGOCOCCAL GROUP W-135 OLIGOSACCHARIDE","MENINGOCOCCAL GROUP W-135 OLIGOSACCHARIDE",NA,NA,NA,NA,NA,NA
"949","MENINGOCOCCAL GROUP Y OLIGOSACCHARIDE","20581",1,"MENINGOCOCCAL GROUP Y OLIGOSACCHARIDE","MENINGOCOCCAL GROUP Y OLIGOSACCHARIDE","MENINGOCOCCAL GROUP Y OLIGOSACCHARIDE",NA,NA,NA,NA,NA,NA
"950","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP A","7670",1,"MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP A","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP A","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP A",NA,NA,NA,NA,NA,NA
"951","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C","7669",1,"MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C",NA,NA,NA,NA,NA,NA
"952","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP W-135","7667",1,"MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP W-135","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP W-135","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP W-135",NA,NA,NA,NA,NA,NA
"953","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y","7668",1,"MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y",NA,NA,NA,NA,NA,NA
"954","MENINGOCOCCAL POLYSACCHARIDE VACCINE GRP C","7920",1,"MENINGOCOCCAL POLYSACCHARIDE VACCINE GRP C","MENINGOCOCCAL POLYSACCHARIDE VACCINE GRP C","MENINGOCOCCAL POLYSACCHARIDE VACCINE GRP C",NA,NA,NA,NA,NA,NA
"955","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP A","19042",1,"MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP A","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP A","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP A",NA,NA,NA,NA,NA,NA
"956","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP C","19043",1,"MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP C","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP C","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP C",NA,NA,NA,NA,NA,NA
"957","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP W 135","19045",1,"MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP W 135","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP W 135","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP W 135",NA,NA,NA,NA,NA,NA
"958","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP Y","19044",1,"MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP Y","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP Y","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP Y",NA,NA,NA,NA,NA,NA
"959","MENOTROPINS","7369",1,"MENOTROPINS","MENOTROPINS","MENOTROPINS","5Y9QQM372Q","5Y9QQM372Q","MENOTROPINS","Active Ingredient","",""
"960","MENTHOL","265",1,"MENTHOL","MENTHOL","MENTHOL","L7T10EIP3A","L7T10EIP3A","MENTHOL","Active Ingredient","",""
"961","MEPERIDINE","11358",1,"MEPERIDINE (MEPERIDINE HYDROCHLORIDE)","MEPERIDINE","MEPERIDINE HYDROCHLORIDE","9E338QE28F","9E338QE28F","MEPERIDINE","Active Ingredient","",""
"962","MEPERIDINE HYDROCHLORIDE","9118",1,"MEPERIDINE HYDROCHLORIDE","MEPERIDINE HYDROCHLORIDE","MEPERIDINE HYDROCHLORIDE","N8E7F7Q170","9E338QE28F","MEPERIDINE","Active Ingredient","",""
"963","MEPIVACAINE HYDROCHLORIDE","10271",1,"MEPIVACAINE HYDROCHLORIDE","MEPIVACAINE HYDROCHLORIDE","MEPIVACAINE HYDROCHLORIDE","4VFX2L7EM5","B6E06QE59J","MEPIVACAINE","Active Ingredient","",""
"964","MEPOLIZUMAB","12884",1,"MEPOLIZUMAB","MEPOLIZUMAB","MEPOLIZUMAB","90Z2UF0E52","90Z2UF0E52","MEPOLIZUMAB","Active Ingredient","",""
"965","MERADIMATE","13124",1,"MERADIMATE","MERADIMATE","MERADIMATE","J9QGD60OUZ","J9QGD60OUZ","MERADIMATE","Active Ingredient","",""
"966","MERCAPTOPURINE","11804",1,"MERCAPTOPURINE","MERCAPTOPURINE","MERCAPTOPURINE","E7WED276I5","PKK6MUZ20G","MERCAPTOPURINE ANHYDROUS","Active Ingredient","",""
"967","MEROPENEM","41",2,"MEROPENEM|MEROPENEM (MEROPENEM TRIHYDRATE)","MEROPENEM","MEROPENEM TRIHYDRATE","FV9J3JU8B1","YOP6PX0BAO","MEROPENEM ANHYDROUS","Active Ingredient","",""
"968","MESALAZINE","14088",1,"MESALAZINE","MESALAZINE","MESALAZINE",NA,NA,NA,NA,NA,NA
"969","MESNA","1281",1,"MESNA","MESNA","MESNA","NR7O1405Q9","VHD28S0H7F","2-MERCAPTOETHANESULFONIC ACID","Active Ingredient","",""
"970","METFORMIN HYDROCHLORIDE","10147",1,"METFORMIN HYDROCHLORIDE","METFORMIN HYDROCHLORIDE","METFORMIN HYDROCHLORIDE","786Z46389E","9100L32L2N","METFORMIN","Active Ingredient","",""
"971","METHACHOLINE CHLORIDE","9543",1,"METHACHOLINE CHLORIDE","METHACHOLINE CHLORIDE","METHACHOLINE CHLORIDE","0W5ETF9M2K","03V657ZD3V","METHACHOLINE","","",""
"972","METHADONE HYDROCHLORIDE","6417",1,"METHADONE HYDROCHLORIDE","METHADONE HYDROCHLORIDE","METHADONE HYDROCHLORIDE","229809935B","UC6VBE7V1Z","METHADONE","Active Ingredient","",""
"973","METHAZOLAMIDE","5863",1,"METHAZOLAMIDE","METHAZOLAMIDE","METHAZOLAMIDE","W733B0S9SD","W733B0S9SD","METHAZOLAMIDE","Active Ingredient","",""
"974","METHENAMINE MANDELATE","7068",1,"METHENAMINE MANDELATE","METHENAMINE MANDELATE","METHENAMINE MANDELATE","695N30CINR","J50OIX95QV","METHENAMINE","Active Ingredient","",""
"975","METHIONINE","7217",1,"METHIONINE","METHIONINE","METHIONINE","AE28F7PNPL","AE28F7PNPL","METHIONINE","Active Ingredient","",""
"976","METHOCARBAMOL","6340",1,"METHOCARBAMOL","METHOCARBAMOL","METHOCARBAMOL","125OD7737X","125OD7737X","METHOCARBAMOL","Active Ingredient","",""
"977","METHOTREXATE","5900",2,"METHOTREXATE|METHOTREXATE (METHOTREXATE SODIUM)","METHOTREXATE","METHOTREXATE SODIUM","YL5FZ2Y5U1","YL5FZ2Y5U1","METHOTREXATE","Active Ingredient","",""
"978","METHOTRIMEPRAZINE","8029",2,"METHOTRIMEPRAZINE (METHOTRIMEPRAZINE HYDROCHLORIDE)|METHOTRIMEPRAZINE (METHOTRIMEPRAZINE MALEATE)","METHOTRIMEPRAZINE","METHOTRIMEPRAZINE HYDROCHLORIDE|METHOTRIMEPRAZINE MALEATE",NA,NA,NA,NA,NA,NA
"979","METHOXSALEN","5303",1,"METHOXSALEN","METHOXSALEN","METHOXSALEN","U4VJ29L7BQ","U4VJ29L7BQ","METHOXSALEN","Active Ingredient","",""
"980","METHYL AMINOLEVULINATE","20439",1,"METHYL AMINOLEVULINATE (METHYL AMINOLEVULINATE HYDROCHLORIDE)","METHYL AMINOLEVULINATE","METHYL AMINOLEVULINATE HYDROCHLORIDE","585NM85KYM","585NM85KYM","METHYL AMINOLEVULINATE","Active Ingredient","",""
"981","METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL","4070",1,"METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL","METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL","METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL",NA,NA,NA,NA,NA,NA
"982","METHYLDOPA","10295",1,"METHYLDOPA","METHYLDOPA","METHYLDOPA","56LH93261Y","M4R0H12F6M","METHYLDOPA ANHYDROUS","Active Moiety","",""
"983","METHYLENE BLUE","7160",1,"METHYLENE BLUE","METHYLENE BLUE","METHYLENE BLUE","T42P99266K","ZMZ79891ZH","METHYLENE BLUE CATION","Active Ingredient","",""
"984","METHYLNALTREXONE BROMIDE","20208",1,"METHYLNALTREXONE BROMIDE","METHYLNALTREXONE BROMIDE","METHYLNALTREXONE BROMIDE","RFO6IL3D3M","0RK7M7IABE","METHYLNALTREXONE","Active Ingredient","",""
"985","METHYLPHENIDATE HYDROCHLORIDE","6186",1,"METHYLPHENIDATE HYDROCHLORIDE","METHYLPHENIDATE HYDROCHLORIDE","METHYLPHENIDATE HYDROCHLORIDE","4B3SC438HI","207ZZ9QZ49","METHYLPHENIDATE","Active Ingredient","",""
"986","METHYLPREDNISOLONE","7626",2,"METHYLPREDNISOLONE|METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE)","METHYLPREDNISOLONE","METHYLPREDNISOLONE SODIUM SUCCINATE","X4W7ZR7023","X4W7ZR7023","METHYLPREDNISOLONE","Active Ingredient","",""
"987","METHYLPREDNISOLONE ACETATE","7624",1,"METHYLPREDNISOLONE ACETATE","METHYLPREDNISOLONE ACETATE","METHYLPREDNISOLONE ACETATE","43502P7F0P","X4W7ZR7023","METHYLPREDNISOLONE","Active Ingredient","",""
"988","METOCLOPRAMIDE HYDROCHLORIDE","3776",1,"METOCLOPRAMIDE HYDROCHLORIDE","METOCLOPRAMIDE HYDROCHLORIDE","METOCLOPRAMIDE HYDROCHLORIDE","W1792A2RVD","L4YEB44I46","METOCLOPRAMIDE","Active Moiety","",""
"989","METOLAZONE","8133",1,"METOLAZONE","METOLAZONE","METOLAZONE","TZ7V40X7VX","TZ7V40X7VX","METOLAZONE","Active Ingredient","",""
"990","METOPROLOL TARTRATE","2167",1,"METOPROLOL TARTRATE","METOPROLOL TARTRATE","METOPROLOL TARTRATE","W5S57Y3A5L","GEB06NHM23","METOPROLOL","Active Ingredient","",""
"991","METRONIDAZOLE","9880",1,"METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE","140QMO216E","140QMO216E","METRONIDAZOLE","Active Ingredient","",""
"992","MEXILETINE HYDROCHLORIDE","1901",1,"MEXILETINE HYDROCHLORIDE","MEXILETINE HYDROCHLORIDE","MEXILETINE HYDROCHLORIDE","606D60IS38","1U511HHV4Z","MEXILETINE","Active Ingredient","",""
"993","MICAFUNGIN SODIUM","20128",1,"MICAFUNGIN SODIUM","MICAFUNGIN SODIUM","MICAFUNGIN SODIUM","IS1UP79R56","R10H71BSWG","MICAFUNGIN","Active Ingredient","",""
"994","MICONAZOLE NITRATE","2373",1,"MICONAZOLE NITRATE","MICONAZOLE NITRATE","MICONAZOLE NITRATE","VW4H1CYW1K","7NNO0D7S5M","MICONAZOLE","Active Ingredient","",""
"995","MIDAZOLAM","11188",2,"MIDAZOLAM|MIDAZOLAM (MIDAZOLAM HYDROCHLORIDE)","MIDAZOLAM","MIDAZOLAM HYDROCHLORIDE","R60L0SM5BC","R60L0SM5BC","MIDAZOLAM","Active Ingredient","",""
"996","MIDODRINE HYDROCHLORIDE","918",1,"MIDODRINE HYDROCHLORIDE","MIDODRINE HYDROCHLORIDE","MIDODRINE HYDROCHLORIDE","59JV96YTXV","6YE7PBM15H","MIDODRINE","Active Ingredient","",""
"997","MIGLUSTAT","13313",1,"MIGLUSTAT","MIGLUSTAT","MIGLUSTAT","ADN3S497AZ","ADN3S497AZ","MIGLUSTAT","Active Ingredient","",""
"998","MILRINONE","1216",1,"MILRINONE (MILRINONE LACTATE)","MILRINONE","MILRINONE LACTATE","JU9YAX04C7","JU9YAX04C7","MILRINONE","Active Ingredient","",""
